"food_category","food_category_label","outcome","conceptual_outcome","n","n_clusters","outcome_mean","r_squared","hhcomp_wald_chisq","hhcomp_wald_df","hhcomp_wald_p","household_size_reconstructed_coef","household_size_reconstructed_se","household_size_reconstructed_t","household_size_reconstructed_p","child_share_coef","child_share_se","child_share_t","child_share_p","elderly_share_coef","elderly_share_se","elderly_share_t","elderly_share_p","female_share_coef","female_share_se","female_share_t","female_share_p","main_coefficient_drivers","nsi","signal_label"
"zhushi","主食","production_participation","self_provisioning_participation",3446,350,0.841265235055136,0.231541262038125,4.52555508512937,4,0.33952805369335,-0.0104071537899073,0.00596706658742534,-1.74409881931581,0.0811418599150358,0.0101635264037933,0.044109108898152,0.230417858299085,0.817767085540352,0.00522751761457932,0.0258787936952303,0.202000049775999,0.839916685267373,0.0267145011130772,0.0335095760949575,0.797219906255311,0.42532332696711,"household_size_reconstructed",0.418753167973085,"Weak"
"doulei","豆类","production_participation","self_provisioning_participation",3446,350,0.239408009286129,0.115080870146735,10.2714334805993,4,0.0360954001699793,0.01070916240968,0.00695126966734327,1.54060523072369,0.123412894103545,0.044532034757684,0.052544039630104,0.847518292677487,0.396706295367733,0.0569135452029962,0.0315150791985991,1.80591471290118,0.070931662553767,0.0411818497087839,0.0388068645284419,1.06120013067795,0.288598960028387,"elderly_share",0.950423810718641,"Moderate"
"roulei","肉类和水产品及加工品","production_participation","self_provisioning_participation",3446,350,0.352872896111434,0.324094912953497,6.79057262368277,4,0.14737813649758,-0.00141342378175873,0.00783798270562285,-0.180330045988078,0.856893469016901,0.0756524076526185,0.0494910577742687,1.52860761226145,0.12636174777329,0.0644667876492653,0.0286820825148913,2.24763273781795,0.0245996182358689,0.0135154957689842,0.0406292401459011,0.332654406541928,0.739395169480219,"elderly_share",0.628337020548535,"Weak"
"danlei","蛋类","production_participation","self_provisioning_participation",3446,350,0.445443993035403,0.281219632592748,19.8134271592475,4,0.000543579245982473,0.000289731545442162,0.00771970747958479,0.0375314150449837,0.97006129220161,0.0146027709815426,0.0536261760836673,0.272306773445107,0.785386148492002,0.135860672986403,0.0318571312889479,4.26468635088737,2.00183209012714e-05,0.0466726921083156,0.0407514351220553,1.14530180271015,0.252084159482746,"elderly_share",1.83335198340684,"Strong"
"nailei","奶类","production_participation","self_provisioning_participation",3446,350,0.00116076610562972,0.0178702238274943,4.02316852655332,4,0.40287941117519,-0.000895220021706857,0.000469296986751217,-1.90757675199272,0.056445942267069,0.00189437372216852,0.00146364958325096,1.29428091521802,0.195568406177467,-0.0013466567982973,0.00225525172026768,-0.59712039511823,0.550427002070001,0.00885624619229079,0.00484947496495497,1.82622784039324,0.0678159494017615,"household_size_reconstructed;female_share",0.372266944958786,"Weak"
"youzhi","油脂","production_participation","self_provisioning_participation",3446,350,0.397562391178178,0.196880962632927,15.8697153577704,4,0.00319906257022962,-0.0208986869045903,0.00764792757633594,-2.73259477106643,0.00628375906790551,0.167472520514745,0.056847392214331,2.94600181277139,0.00321910513567645,0.0196355617108857,0.0334017523934964,0.587860226001463,0.556626115311524,-0.0863830184467651,0.0427319520394771,-2.02150883177445,0.0432271190314424,"household_size_reconstructed;child_share;female_share",1.46843723165232,"Strong"
"shucai","蔬菜","production_participation","self_provisioning_participation",3446,350,0.934997098084736,0.189275410562508,13.9195888388949,4,0.00755616685884164,-0.011129963048439,0.00461849794362115,-2.4098664077162,0.0159583627488827,0.032743559658116,0.031759061493615,1.0309989690564,0.302541303254371,0.0451416101135129,0.0169560503192521,2.66227153514983,0.00776152386018769,-0.0154073030010438,0.0192159368456835,-0.801798170173772,0.422669717303533,"household_size_reconstructed;elderly_share",1.28799049255267,"Strong"
"shuiguo","水果","production_participation","self_provisioning_participation",3446,350,0.310214741729541,0.154741809790932,11.2442506542867,4,0.023951868000469,-0.0197686210232007,0.00703160615166267,-2.81139480750444,0.00493272173023394,-0.00996308865805723,0.054190636368717,-0.183852586455484,0.854129101184608,0.0202540068213165,0.0332323857737922,0.609465927579876,0.542215650435926,0.0586907326806563,0.0407193595378998,1.44134714658342,0.149486634006972,"household_size_reconstructed",1.04043934818912,"Moderate"
