"food_category","n_rows","food_category_label"
"danlei",3523,"蛋类"
"doulei",3524,"豆类"
"nailei",3538,"奶类"
"roulei",3524,"肉类和水产品及加工品"
"shucai",3522,"蔬菜"
"shuiguo",3522,"水果"
"youzhi",3528,"油脂"
"zhushi",3527,"主食"
