"label","outcome","n","n_clusters","r_squared","wald_chisq","wald_df","wald_p","diagnostic_family","common_sample","spec_order"
"B0_composition_category_year","ihs_selfprod_amount",27568,350,0.357839426427673,22.4553216915131,4,0.000162641823311938,"add_one_block","M3_complete_case",1
"B1_plus_household_resources","ihs_selfprod_amount",27568,350,0.365383435776913,5.4421774377357,4,0.244859077686951,"add_one_block","M3_complete_case",2
"B1a_M1_plus_market","ihs_selfprod_amount",27568,350,0.369978751678359,5.61782718564425,4,0.229564879385382,"add_one_block","M3_complete_case",3
"B1b_M1_plus_GAEZ","ihs_selfprod_amount",27568,350,0.372230448847352,5.12938393843426,4,0.274277661316399,"add_one_block","M3_complete_case",4
"B1c_M1_plus_province_FE","ihs_selfprod_amount",27568,350,0.403095671385668,5.72004291720209,4,0.221053899973839,"add_one_block","M3_complete_case",5
"B1d_M1_plus_market_GAEZ","ihs_selfprod_amount",27568,350,0.376804447320665,5.45689165690016,4,0.243544804921815,"add_one_block","M3_complete_case",6
"B1e_M1_plus_market_province_FE","ihs_selfprod_amount",27568,350,0.404063581312125,5.57255406101363,4,0.233425150457116,"add_one_block","M3_complete_case",7
"B1f_M1_plus_GAEZ_province_FE","ihs_selfprod_amount",27568,350,0.404383070595746,6.22041212283737,4,0.18328134587906,"add_one_block","M3_complete_case",8
"B2_full_market_GAEZ_province_FE","ihs_selfprod_amount",27568,350,0.40527775263945,5.89339073919394,4,0.207252638067429,"add_one_block","M3_complete_case",9
"B3_plus_unit_value_text","ihs_selfprod_amount",27568,350,0.416665003240574,6.28226397889053,4,0.179036996242159,"add_one_block","M3_complete_case",10
"B0_composition_category_year","log_selfprod_amount",27568,350,0.348252962556874,22.7960924185659,4,0.000139073593840466,"add_one_block","M3_complete_case",1
"B1_plus_household_resources","log_selfprod_amount",27568,350,0.355652108594062,5.4421386758111,4,0.244862547985872,"add_one_block","M3_complete_case",2
"B1a_M1_plus_market","log_selfprod_amount",27568,350,0.360096219879022,5.65632145447946,4,0.226326582549685,"add_one_block","M3_complete_case",3
"B1b_M1_plus_GAEZ","log_selfprod_amount",27568,350,0.362359115756758,5.11924958885254,4,0.275279137701086,"add_one_block","M3_complete_case",4
"B1c_M1_plus_province_FE","log_selfprod_amount",27568,350,0.393683082862854,5.86136173586998,4,0.209743859745374,"add_one_block","M3_complete_case",5
"B1d_M1_plus_market_GAEZ","log_selfprod_amount",27568,350,0.36686026879719,5.49318562233808,4,0.240329118519165,"add_one_block","M3_complete_case",6
"B1e_M1_plus_market_province_FE","log_selfprod_amount",27568,350,0.394594252959279,5.73989190414993,4,0.219433641017157,"add_one_block","M3_complete_case",7
"B1f_M1_plus_GAEZ_province_FE","log_selfprod_amount",27568,350,0.394882114274053,6.33510500485805,4,0.175481164117459,"add_one_block","M3_complete_case",8
"B2_full_market_GAEZ_province_FE","log_selfprod_amount",27568,350,0.395733454602577,6.0430841310414,4,0.195953745870852,"add_one_block","M3_complete_case",9
"B3_plus_unit_value_text","log_selfprod_amount",27568,350,0.406805496831276,6.53655327064042,4,0.162501753283594,"add_one_block","M3_complete_case",10
"B0_composition_category_year","production_participation",27568,350,0.343838183023016,6.2996005857031,4,0.177863285645125,"add_one_block","M3_complete_case",1
"B1_plus_household_resources","production_participation",27568,350,0.35938652583825,7.64024034136534,4,0.105681934755792,"add_one_block","M3_complete_case",2
"B1a_M1_plus_market","production_participation",27568,350,0.364080308758941,9.66614385976507,4,0.0464430638178484,"add_one_block","M3_complete_case",3
"B1b_M1_plus_GAEZ","production_participation",27568,350,0.363543180366861,11.497063823075,4,0.0215106541464052,"add_one_block","M3_complete_case",4
"B1c_M1_plus_province_FE","production_participation",27568,350,0.378385990969515,12.9083410699134,4,0.011732449015933,"add_one_block","M3_complete_case",5
"B1d_M1_plus_market_GAEZ","production_participation",27568,350,0.368012096144026,13.0471506973098,4,0.0110476904890204,"add_one_block","M3_complete_case",6
"B1e_M1_plus_market_province_FE","production_participation",27568,350,0.379457305304979,13.3308664111267,4,0.00976732959336724,"add_one_block","M3_complete_case",7
"B1f_M1_plus_GAEZ_province_FE","production_participation",27568,350,0.380373779485911,15.2842067810768,4,0.0041466380173093,"add_one_block","M3_complete_case",8
"B2_full_market_GAEZ_province_FE","production_participation",27568,350,0.381226679305863,15.1969360874964,4,0.00430971289487048,"add_one_block","M3_complete_case",9
"B3_plus_unit_value_text","production_participation",27568,350,0.386697140272122,16.7326151406376,4,0.00217834770929937,"add_one_block","M3_complete_case",10
