"food_category","outcome","food_category_label","term","estimate","std_error_cluster","t_stat","p_value","n","n_clusters","r_squared","hhcomp_wald_chisq","hhcomp_wald_df","hhcomp_wald_p","nsi"
"zhushi","production_participation","主食","household_size_reconstructed",-0.0102548390995936,0.00600823203627396,-1.70679811260305,0.0878595833692349,3409,350,0.23416149876865,4.50984190416318,4,0.341382079302489,0.424869940935533
"zhushi","production_participation","主食","child_share",0.0128056421335991,0.0441665099259437,0.289940096128741,0.771862066207478,3409,350,0.23416149876865,4.50984190416318,4,0.341382079302489,0.424869940935533
"zhushi","production_participation","主食","elderly_share",0.0031451724193454,0.0260658329003369,0.120662647971811,0.903958245369023,3409,350,0.23416149876865,4.50984190416318,4,0.341382079302489,0.424869940935533
"zhushi","production_participation","主食","female_share",0.0296647851406055,0.0335258450753101,0.884833330046375,0.376246530236228,3409,350,0.23416149876865,4.50984190416318,4,0.341382079302489,0.424869940935533
"zhushi","log_selfprod_amount","主食","household_size_reconstructed",0.0376202148437976,0.0213565146596966,1.76153344509876,0.078148157421714,3409,350,0.244288268957763,5.71488499361567,4,0.221476653132232,1.14408148635144
"zhushi","log_selfprod_amount","主食","child_share",-0.04248749959562,0.148368961273229,-0.286363800292279,0.774599497423527,3409,350,0.244288268957763,5.71488499361567,4,0.221476653132232,1.14408148635144
"zhushi","log_selfprod_amount","主食","elderly_share",0.0576581283825487,0.0825469777684279,0.698488665984832,0.484871643504509,3409,350,0.244288268957763,5.71488499361567,4,0.221476653132232,1.14408148635144
"zhushi","log_selfprod_amount","主食","female_share",0.159374815788001,0.107222819411268,1.48638896704158,0.137176266408042,3409,350,0.244288268957763,5.71488499361567,4,0.221476653132232,1.14408148635144
"zhushi","ihs_selfprod_amount","主食","household_size_reconstructed",0.0428824506021079,0.025345646643072,1.69190595947291,0.0906639055389566,3409,350,0.24921752743081,5.16553824542701,4,0.270730038275973,1.04884171348351
"zhushi","ihs_selfprod_amount","主食","child_share",-0.0442813428409915,0.176669573363401,-0.250644986558647,0.802088597404805,3409,350,0.24921752743081,5.16553824542701,4,0.270730038275973,1.04884171348351
"zhushi","ihs_selfprod_amount","主食","elderly_share",0.0659499908311969,0.0991956957173242,0.664847303648468,0.506148163444745,3409,350,0.24921752743081,5.16553824542701,4,0.270730038275973,1.04884171348351
"zhushi","ihs_selfprod_amount","主食","female_share",0.179565061500994,0.128714412812709,1.39506569293276,0.162996030457962,3409,350,0.24921752743081,5.16553824542701,4,0.270730038275973,1.04884171348351
"doulei","production_participation","豆类","household_size_reconstructed",0.00959108888590886,0.00690492985188038,1.38902046677519,0.164826526521205,3406,350,0.115145503563127,9.64009800131955,4,0.0469467959471139,0.908188791419149
"doulei","production_participation","豆类","child_share",0.0510124912704005,0.0522114289855316,0.977036872224599,0.328550898359027,3406,350,0.115145503563127,9.64009800131955,4,0.0469467959471139,0.908188791419149
"doulei","production_participation","豆类","elderly_share",0.0543818412795224,0.031278766751932,1.73861845995458,0.0821018972645148,3406,350,0.115145503563127,9.64009800131955,4,0.0469467959471139,0.908188791419149
"doulei","production_participation","豆类","female_share",0.0379653661249092,0.0387655485200264,0.979358414219167,0.327402917136829,3406,350,0.115145503563127,9.64009800131955,4,0.0469467959471139,0.908188791419149
"doulei","log_selfprod_amount","豆类","household_size_reconstructed",0.00397779573085737,0.00791824655576685,0.502358155033749,0.615415608259075,3406,350,0.0211138308019805,4.86969363109953,4,0.30093093690692,0.974879867883329
"doulei","log_selfprod_amount","豆类","child_share",-0.0274381850037128,0.0460270475199222,-0.596131763434023,0.551087206237463,3406,350,0.0211138308019805,4.86969363109953,4,0.30093093690692,0.974879867883329
"doulei","log_selfprod_amount","豆类","elderly_share",0.0627571585278704,0.0306501267166304,2.0475334117891,0.0406057397786017,3406,350,0.0211138308019805,4.86969363109953,4,0.30093093690692,0.974879867883329
"doulei","log_selfprod_amount","豆类","female_share",-0.0103131533965524,0.0382042885846437,-0.269947531510842,0.787200619227169,3406,350,0.0211138308019805,4.86969363109953,4,0.30093093690692,0.974879867883329
"doulei","ihs_selfprod_amount","豆类","household_size_reconstructed",0.00455705768495327,0.0100325380161929,0.454227801339804,0.649664874932285,3406,350,0.0210133298821722,4.86599641605953,4,0.301325496273531,0.988020952771517
"doulei","ihs_selfprod_amount","豆类","child_share",-0.0331755072294371,0.0582656756764944,-0.569383377850722,0.569095994697919,3406,350,0.0210133298821722,4.86599641605953,4,0.301325496273531,0.988020952771517
"doulei","ihs_selfprod_amount","豆类","elderly_share",0.0798003032703732,0.0387752562387536,2.05802130046577,0.0395880887359888,3406,350,0.0210133298821722,4.86599641605953,4,0.301325496273531,0.988020952771517
"doulei","ihs_selfprod_amount","豆类","female_share",-0.0131172316747437,0.0483716292675961,-0.271176139264982,0.786255563746236,3406,350,0.0210133298821722,4.86599641605953,4,0.301325496273531,0.988020952771517
"roulei","production_participation","肉类和水产品及加工品","household_size_reconstructed",0.000549155347009803,0.00786789914289424,0.069796947957291,0.944355276432565,3405,350,0.325877073270149,5.88332514836936,4,0.208032706940314,0.55426510760493
"roulei","production_participation","肉类和水产品及加工品","child_share",0.0676848830964227,0.0495977896805445,1.36467539243938,0.172355097135465,3405,350,0.325877073270149,5.88332514836936,4,0.208032706940314,0.55426510760493
