"module","variable","n_rows","n_missing","missing_share"
"outcome","production_participation",28208,0,0
"outcome","log_selfprod_amount",28208,0,0
"outcome","ihs_selfprod_amount",28208,0,0
"outcome","self_suff_rate",28208,714,0.0253119682359614
"household_composition","household_size_reconstructed",28208,0,0
"household_composition","child_share",28208,144,0.00510493477027794
"household_composition","elderly_share",28208,144,0.00510493477027794
"household_composition","female_share",28208,144,0.00510493477027794
"market","market_friction_survey",28208,NA,NA
"market","poi_market_friction_lag1",28208,NA,NA
"market","combined_market_friction",28208,NA,NA
"price","price_hedonic_imputed_w99_yuan_per_jin",28208,0,0
"price","price_preferred_household_recalc_w99_yuan_per_jin",28208,7573,0.268469937606353
"price","village_price_category_median",28208,4920,0.174418604651163
"gaez","gaez_overall_si_10km",28208,NA,NA
"gaez","gaez_staple_si_10km",28208,NA,NA
"gaez","gaez_soil_terrain_constraint_10km",28208,NA,NA
"text","risk_salience_z_5yr_sum",28208,NA,NA
"text","governance_capacity_z_5yr_sum",28208,NA,NA
"text","trust_signal_z_5yr_sum",28208,NA,NA
"text","attention_z_5yr_sum",28208,NA,NA
