"food_category","food_category_label","variable","threshold_quantile","n_nonmissing","n_positive","threshold"
"danlei","蛋类","price_preferred_household_recalc_w99_yuan_per_kg",0.995,2305,2305,43.3066666666668
"doulei","豆类","price_preferred_household_recalc_w99_yuan_per_kg",0.995,2591,2591,24
"nailei","奶类","price_preferred_household_recalc_w99_yuan_per_kg",0.995,1709,1709,319.4
"roulei","肉类和水产品及加工品","price_preferred_household_recalc_w99_yuan_per_kg",0.995,2952,2952,74.35375
"shucai","蔬菜","price_preferred_household_recalc_w99_yuan_per_kg",0.995,2805,2805,32
"shuiguo","水果","price_preferred_household_recalc_w99_yuan_per_kg",0.995,2881,2881,20
"youzhi","油脂","price_preferred_household_recalc_w99_yuan_per_kg",0.995,2216,2216,59.3999999999996
"zhushi","主食","price_preferred_household_recalc_w99_yuan_per_kg",0.995,3402,3402,16.0425806451613
"danlei","蛋类","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,40
"doulei","豆类","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,21.66623655914
"nailei","奶类","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,200
"roulei","肉类和水产品及加工品","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,71.8766666666666
"shucai","蔬菜","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,30
"shuiguo","水果","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,18
"youzhi","油脂","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,45.3600000000002
"zhushi","主食","price_hedonic_imputed_w99_yuan_per_kg",0.995,3565,3565,15.9418181818182
"danlei","蛋类","village_price_category_median_yuan_per_kg",0.99,3002,3002,1000
"doulei","豆类","village_price_category_median_yuan_per_kg",0.99,2969,2969,1000
"nailei","奶类","village_price_category_median_yuan_per_kg",0.99,3012,3012,120
"roulei","肉类和水产品及加工品","village_price_category_median_yuan_per_kg",0.99,3345,3345,1300
"shucai","蔬菜","village_price_category_median_yuan_per_kg",0.99,3026,3026,2000
"shuiguo","水果","village_price_category_median_yuan_per_kg",0.99,2377,2377,51
"youzhi","油脂","village_price_category_median_yuan_per_kg",0.99,2859,2859,156
"zhushi","主食","village_price_category_median_yuan_per_kg",0.99,3151,3151,500
"danlei","蛋类","spend_sum_yuan",0.995,2305,2305,255.06
"doulei","豆类","spend_sum_yuan",0.995,2591,2591,177.100000000004
"nailei","奶类","spend_sum_yuan",0.995,1710,1710,1790.735
"roulei","肉类和水产品及加工品","spend_sum_yuan",0.995,2953,2953,3000
"shucai","蔬菜","spend_sum_yuan",0.995,2805,2805,341.308
"shuiguo","水果","spend_sum_yuan",0.995,2881,2881,411.1
"youzhi","油脂","spend_sum_yuan",0.995,2217,2217,1376.8
"zhushi","主食","spend_sum_yuan",0.995,3402,3402,1409.8985
