"price_spec","model_compatibility_variable","price_variable","price_unit","outcome","conceptual_outcome","n","n_clusters","r_squared","hhcomp_wald_chisq","hhcomp_wald_df","hhcomp_wald_p","price_observed_share"
"no_price_control","none","none","none","production_participation","self_provisioning_participation",27568,350,0.386031016060029,16.6142202151935,4,0.0022965863095048,0.735671793383633
"hedonic_price_main","price_hedonic_imputed_w99_yuan_per_jin","price_hedonic_imputed_w99_yuan_per_kg","yuan/kg","production_participation","self_provisioning_participation",27568,350,0.386697140272122,16.7326151406388,4,0.00217834770929815,0.735671793383633
"observed_price_only","price_preferred_household_recalc_w99_yuan_per_jin","price_preferred_household_recalc_w99_yuan_per_kg","yuan/kg","production_participation","self_provisioning_participation",20281,350,0.423493417777522,16.6564781317909,4,0.00225367557266587,1
"county_category_median_price","village_price_category_median","village_price_category_median_yuan_per_kg","yuan/kg","production_participation","self_provisioning_participation",23496,338,0.397742601707889,10.7950565826016,4,0.0289664626077432,0.744722505958461
