T1,wave,total_小麦,ratio_小麦
23,2006,2305.0,1.0
41,2006,2065.0,1.0
42,2006,845.0,0.40828404
32,2009,620.0,1.0
32,2009,1120.0,0.5089286
32,2009,4810.0,0.94802493
41,2009,1320.0,1.0
42,2009,550.0,0.36363637
43,2009,925.0,1.0
11,2011,100.0,1.0
11,2011,790.0,0.51265824
41,2011,580.0,1.0
42,2011,220.0,0.45454547
21,2006,2950.0,1.0
21,2006,1660.0,1.0
21,2006,560.0,1.0
21,2006,1200.0,1.0
21,2006,2530.0,1.0
21,2006,803.0,0.0
21,2006,2205.0,1.0
21,2006,100.0,1.0
21,2006,1305.0,1.0
21,2006,119.8,1.0
21,2006,490.0,1.0
21,2006,500.0,0.0
21,2006,1150.0,1.0
21,2006,481.0,0.99792099
21,2006,354.0,1.0
21,2006,450.0,1.0
21,2006,75.0,1.0
21,2006,750.0,1.0
21,2006,854.0,0.88290399
21,2006,1520.0,1.0
21,2006,400.0,0.0
21,2006,1256.5,1.0
21,2006,2.0,1.0
21,2006,250.0,1.0
21,2006,600.0,0.41666666
21,2006,2660.0,0.943609
21,2006,501.0,1.0
21,2006,475.0,0.63157892
21,2006,550.0,1.0
21,2006,535.0,1.0
21,2006,407.0,1.0
21,2006,325.1,0.93817288
21,2006,100.0,1.0
21,2006,400.0,0.0
21,2006,360.0,1.0
21,2006,110.0,1.0
21,2006,1615.0,0.34365326
21,2006,745.0,1.0
21,2006,1075.0,1.0
21,2006,50.0,1.0
21,2006,505.5,1.0
21,2006,1435.0,1.0
21,2006,989.0,1.0
21,2006,690.0,1.0
21,2006,350.0,1.0
21,2006,2210.0,1.0
21,2006,754.0,1.0
21,2006,660.0,1.0
21,2006,460.0,1.0
21,2006,2400.0,1.0
21,2006,200.0,1.0
21,2006,750.0,1.0
21,2006,250.0,1.0
21,2006,1554.5,0.93567061
21,2006,1870.0,1.0
21,2006,670.0,1.0
21,2006,545.0,1.0
21,2006,865.0,1.0
21,2006,220.0,1.0
21,2006,450.0,1.0
21,2006,659.0,1.0
21,2006,953.0,0.58027279
21,2006,404.0,0.62871289
21,2006,507.0,1.0
21,2006,1093.0,1.0
21,2006,300.0,0.66666669
21,2006,660.0,1.0
21,2006,550.0,1.0
21,2006,954.0,1.0
21,2006,330.0,0.60606062
21,2006,1035.0,0.80676329
21,2006,1153.0,0.35819602
21,2006,905.0,0.88950276
21,2006,1030.0,1.0
21,2006,1202.0,1.0
21,2006,940.0,1.0
21,2006,985.0,1.0
21,2006,2317.0,1.0
21,2006,1004.0,1.0
21,2006,601.0,1.0
21,2006,1300.0,1.0
21,2006,1800.0,1.0
21,2006,1100.0,1.0
21,2006,1004.0,1.0
21,2006,1740.0,1.0
21,2006,820.0,0.085365854
21,2006,1300.0,0.75384617
21,2006,445.0,1.0
21,2006,1400.0,1.0
21,2006,267.0,0.62546819
21,2006,400.0,0.625
21,2006,300.0,1.0
21,2006,2100.0,1.0
21,2006,100.0,1.0
21,2006,300.0,1.0
21,2006,1970.0,1.0
21,2006,890.0,1.0
21,2006,1205.0,1.0
21,2006,1280.0,1.0
21,2006,50.0,1.0
21,2006,240.0,1.0
21,2006,1603.0,1.0
21,2006,970.0,0.94845361
21,2006,810.0,1.0
21,2006,100.0,1.0
21,2006,878.0,1.0
21,2006,800.0,1.0
21,2006,100.0,0.0
21,2006,2091.0,1.0
21,2006,1600.0,1.0
21,2006,1600.0,1.0
21,2006,290.0,1.0
21,2006,1100.0,1.0
21,2006,1300.0,1.0
21,2006,780.0,1.0
21,2006,750.0,1.0
21,2006,1990.0,1.0
21,2006,750.0,1.0
21,2006,1130.0,1.0
21,2006,1735.0,1.0
21,2006,3651.0,0.56149
21,2006,1380.0,1.0
21,2006,152.0,1.0
21,2006,1661.0,1.0
21,2006,1006.6,1.0
21,2006,1468.0,1.0
21,2006,480.0,1.0
21,2006,275.0,0.0
21,2006,80.0,1.0
21,2006,1290.0,1.0
