T1,wave,total_水产品,ratio_水产品
23,2006,1300.0,1.0
42,2006,700.0,1.0
32,2009,90.0,0.0
32,2009,650.0,0.76923078
32,2009,900.0,1.0
41,2009,255.0,1.0
42,2009,1150.0,1.0
43,2009,480.0,1.0
11,2011,70.0,0.0
11,2011,290.0,1.0
41,2011,100.0,1.0
42,2011,440.0,1.0
21,2006,750.0,1.0
21,2006,200.0,1.0
21,2006,250.0,1.0
21,2006,175.0,1.0
21,2006,400.0,1.0
21,2006,970.0,0.74226803
21,2006,50.0,0.0
21,2006,300.0,1.0
21,2006,450.0,1.0
21,2006,220.0,0.86363637
21,2006,100.0,0.0
21,2006,500.0,1.0
21,2006,590.0,1.0
21,2006,500.0,1.0
21,2006,90.0,1.0
21,2006,40.0,1.0
21,2006,10.0,1.0
21,2006,100.0,1.0
21,2006,250.0,1.0
21,2006,2300.0,1.0
21,2006,1405.0,0.78647685
21,2006,1000.0,1.0
21,2006,100.0,1.0
21,2006,250.0,1.0
21,2006,200.0,1.0
21,2006,1190.0,1.0
21,2006,300.0,1.0
21,2006,300.0,1.0
21,2006,640.0,0.9375
21,2006,165.0,1.0
21,2006,650.0,1.0
21,2006,820.0,0.87804878
21,2006,250.0,1.0
21,2006,300.0,1.0
21,2006,425.0,1.0
21,2006,860.0,1.0
21,2006,425.0,1.0
21,2006,40.0,0.0
21,2006,157.0,1.0
21,2006,450.0,0.55555558
21,2006,400.0,0.875
21,2006,740.0,1.0
21,2006,889.0,1.0
21,2006,1600.0,0.75
21,2006,1765.0,1.0
21,2006,25.0,1.0
21,2006,250.0,1.0
21,2006,10.0,1.0
21,2006,1560.0,0.74358976
21,2006,50.0,1.0
21,2006,367.0,1.0
21,2006,150.0,1.0
21,2006,350.0,0.0
21,2006,1800.0,0.91666669
21,2006,250.0,1.0
21,2006,640.0,1.0
21,2006,1400.0,1.0
21,2006,670.0,1.0
21,2006,730.0,1.0
21,2006,220.0,1.0
21,2006,550.0,1.0
21,2006,185.0,1.0
21,2006,600.0,1.0
21,2006,550.0,1.0
21,2006,500.0,1.0
21,2006,500.0,1.0
21,2006,150.0,0.0
21,2006,240.0,1.0
21,2006,200.0,1.0
21,2006,100.0,1.0
21,2006,250.0,1.0
21,2006,500.0,1.0
21,2006,980.0,1.0
21,2006,300.0,1.0
21,2006,500.0,0.60000002
21,2006,200.0,1.0
21,2006,250.0,0.60000002
21,2006,635.0,1.0
21,2006,100.0,1.0
21,2006,250.0,1.0
21,2006,50.0,1.0
21,2006,295.0,1.0
21,2006,90.0,1.0
21,2006,100.0,0.0
21,2006,350.0,1.0
21,2006,1901.0,1.0
21,2006,200.0,1.0
21,2006,100.0,1.0
21,2006,380.0,1.0
21,2006,400.0,0.75
21,2006,175.0,1.0
21,2006,595.0,0.91596639
21,2006,400.0,1.0
21,2006,870.0,1.0
21,2006,400.0,1.0
21,2006,450.0,0.55555558
21,2006,200.0,1.0
21,2006,220.0,1.0
21,2006,400.0,1.0
21,2006,250.0,1.0
21,2006,1275.0,1.0
