T1,wave,total_禽肉,ratio_禽肉
41,2006,80.0,1.0
32,2009,300.0,0.0
32,2009,250.0,0.40000001
32,2009,450.0,1.0
43,2009,150.0,1.0
11,2011,50.0,1.0
21,2006,250.0,1.0
21,2006,150.0,1.0
21,2006,150.0,1.0
21,2006,180.0,1.0
21,2006,50.0,1.0
21,2006,20.0,0.0
21,2006,100.0,1.0
21,2006,50.0,1.0
21,2006,200.0,1.0
21,2006,200.0,1.0
21,2006,150.0,1.0
21,2006,100.0,1.0
21,2006,300.0,1.0
21,2006,250.0,1.0
21,2006,500.0,0.89999998
21,2006,200.0,1.0
21,2006,475.0,1.0
21,2006,150.0,1.0
21,2006,200.0,0.0
21,2006,835.0,1.0
21,2006,150.0,1.0
21,2006,400.0,1.0
21,2006,150.0,0.0
21,2006,150.0,0.66666669
21,2006,150.0,1.0
21,2006,350.0,1.0
21,2006,125.0,0.0
21,2006,200.0,1.0
21,2006,170.0,1.0
21,2006,50.0,1.0
21,2006,80.0,1.0
21,2006,200.0,1.0
21,2006,450.0,1.0
21,2006,300.0,1.0
21,2006,400.0,1.0
21,2006,100.0,1.0
21,2006,500.0,1.0
21,2006,150.0,0.0
21,2006,100.0,0.0
21,2006,100.0,0.0
21,2006,150.0,0.0
21,2006,30.0,1.0
21,2006,300.0,0.0
21,2006,152.0,1.0
21,2006,323.0,1.0
21,2006,100.0,1.0
21,2006,300.0,1.0
21,2006,200.0,1.0
21,2006,275.0,1.0
21,2006,400.0,0.0
21,2006,650.0,0.61538464
21,2006,30.0,0.0
21,2006,170.0,1.0
21,2006,200.0,1.0
21,2006,400.0,0.375
21,2006,300.0,1.0
21,2006,400.0,1.0
23,2006,260.0,1.0
23,2006,300.0,1.0
23,2006,1020.0,0.92156863
23,2006,50.0,0.0
23,2006,100.0,1.0
23,2006,400.0,1.0
23,2006,200.0,1.0
23,2006,170.0,1.0
23,2006,200.0,1.0
23,2006,80.0,0.0
23,2006,200.0,0.0
23,2006,20.0,0.0
23,2006,420.0,1.0
23,2006,100.0,0.0
23,2006,50.0,0.0
23,2006,150.0,0.0
23,2006,350.0,1.0
23,2006,500.0,1.0
23,2006,200.0,1.0
23,2006,100.0,0.0
23,2006,50.0,0.0
23,2006,100.0,0.0
23,2006,150.0,0.66666669
23,2006,370.0,0.0
23,2006,160.0,1.0
23,2006,250.0,1.0
23,2006,100.0,1.0
23,2006,370.0,1.0
23,2006,130.0,0.76923078
23,2006,150.0,1.0
23,2006,300.0,0.0
23,2006,100.0,1.0
23,2006,100.0,1.0
23,2006,300.0,1.0
23,2006,120.0,1.0
23,2006,200.0,1.0
23,2006,70.0,1.0
23,2006,1000.0,1.0
23,2006,350.0,1.0
23,2006,200.0,0.0
23,2006,250.0,1.0
23,2006,180.0,1.0
23,2006,730.0,1.0
23,2006,200.0,1.0
23,2006,440.0,1.0
23,2006,100.0,0.0
32,2006,150.0,0.0
32,2006,250.0,1.0
32,2006,173.0,1.0
32,2006,575.0,0.86956519
32,2006,720.0,0.31944445
32,2006,100.0,0.0
32,2006,500.0,1.0
32,2006,100.0,0.0
32,2006,335.0,1.0
32,2006,350.0,1.0
32,2006,100.0,1.0
32,2006,250.0,1.0
32,2006,400.0,0.75
32,2006,300.0,1.0
32,2006,130.0,0.23076923
32,2006,150.0,0.0
32,2006,100.0,1.0
32,2006,20.0,0.0
32,2006,400.0,1.0
32,2006,300.0,1.0
32,2006,300.0,0.66666669
32,2006,100.0,1.0
32,2006,750.0,0.89999998
32,2006,600.0,0.75
32,2006,300.0,0.66666669
32,2006,300.0,0.66666669
32,2006,1435.0,1.0
32,2006,50.0,0.0
32,2006,790.0,1.0
32,2006,500.0,1.0
32,2006,450.0,0.22222222
32,2006,50.0,1.0
32,2006,200.0,1.0
32,2006,350.0,1.0
32,2006,80.0,1.0
32,2006,460.0,1.0
32,2006,440.0,0.63636363
32,2006,200.0,1.0
32,2006,250.0,0.0
32,2006,50.0,1.0
32,2006,80.0,0.0
32,2006,100.0,0.0
32,2006,450.0,0.77777779
32,2006,400.0,1.0
32,2006,650.0,1.0
32,2006,100.0,1.0
32,2006,176.0,0.43181819
32,2006,851.0,1.0
32,2006,425.0,0.17647059
32,2006,200.0,1.0
