T1,wave,total_猪肉,ratio_猪肉
23,2006,2460.0,1.0
41,2006,450.0,1.0
42,2006,380.0,0.89473683
32,2009,460.0,0.54347825
32,2009,925.0,0.82702702
32,2009,230.0,1.0
41,2009,400.0,1.0
42,2009,490.0,1.0
43,2009,805.0,1.0
11,2011,50.0,0.0
11,2011,250.0,0.40000001
11,2011,880.0,1.0
41,2011,450.0,1.0
42,2011,360.0,0.8888889
21,2006,200.0,1.0
21,2006,50.0,1.0
21,2006,600.0,1.0
21,2006,180.0,0.55555558
21,2006,1240.0,1.0
21,2006,150.0,1.0
21,2006,518.0,1.0
21,2006,200.0,1.0
21,2006,140.0,0.78571427
21,2006,722.0,1.0
21,2006,90.0,1.0
21,2006,300.0,1.0
21,2006,100.0,1.0
21,2006,790.0,1.0
21,2006,270.0,0.74074072
21,2006,915.0,0.83606559
21,2006,260.0,1.0
21,2006,810.0,1.0
21,2006,1005.0,0.95024878
21,2006,735.0,1.0
21,2006,460.0,1.0
21,2006,100.0,1.0
21,2006,320.0,0.375
21,2006,625.0,1.0
21,2006,325.0,0.92307693
21,2006,150.0,1.0
21,2006,300.0,1.0
21,2006,195.0,0.48717949
21,2006,260.0,1.0
21,2006,1460.0,1.0
21,2006,150.0,1.0
21,2006,300.0,1.0
21,2006,470.0,1.0
21,2006,420.0,0.84523809
21,2006,490.0,1.0
21,2006,90.0,1.0
21,2006,500.0,1.0
21,2006,720.0,1.0
21,2006,200.0,1.0
21,2006,50.0,1.0
21,2006,200.0,1.0
21,2006,440.0,0.65909094
21,2006,180.0,1.0
21,2006,271.0,1.0
21,2006,130.0,1.0
21,2006,730.0,0.38356164
21,2006,910.0,1.0
21,2006,105.0,1.0
21,2006,1100.0,1.0
21,2006,500.0,1.0
21,2006,210.0,1.0
21,2006,50.0,1.0
21,2006,302.0,1.0
21,2006,300.0,1.0
21,2006,800.0,0.0
21,2006,290.0,0.86206895
21,2006,165.0,1.0
21,2006,730.0,1.0
21,2006,765.0,1.0
21,2006,610.0,0.55737704
21,2006,200.0,0.5
21,2006,245.0,1.0
21,2006,200.0,1.0
21,2006,200.0,1.0
21,2006,150.0,1.0
21,2006,695.0,1.0
21,2006,620.0,0.19354838
21,2006,230.0,0.78260869
21,2006,320.0,0.875
21,2006,460.0,1.0
21,2006,310.0,1.0
21,2006,597.0,0.83249581
21,2006,600.0,0.83333331
21,2006,820.0,1.0
21,2006,970.0,1.0
21,2006,160.0,1.0
21,2006,200.0,1.0
21,2006,500.0,1.0
21,2006,550.0,1.0
21,2006,810.0,1.0
21,2006,675.0,1.0
21,2006,865.0,1.0
21,2006,518.0,0.76833975
21,2006,360.0,1.0
21,2006,390.0,1.0
21,2006,300.0,0.83333331
21,2006,250.0,1.0
21,2006,100.0,1.0
21,2006,380.0,1.0
21,2006,100.0,1.0
21,2006,150.0,1.0
21,2006,895.0,1.0
21,2006,850.0,1.0
21,2006,524.0,1.0
21,2006,100.0,1.0
21,2006,350.0,1.0
21,2006,150.0,1.0
