T1,wave,total_水果,ratio_水果
21,2006,820.0,1.0
21,2006,2140.0,1.0
21,2006,1195.0,1.0
21,2006,450.0,0.55555558
21,2006,3158.0,1.0
21,2006,450.0,1.0
21,2006,5185.0,0.9479267
21,2006,750.0,1.0
21,2006,490.0,1.0
21,2006,450.0,1.0
21,2006,1890.0,1.0
21,2006,2360.0,1.0
21,2006,3367.0,1.0
21,2006,2490.0,1.0
21,2006,750.0,1.0
21,2006,1452.0,1.0
21,2006,2074.0,1.0
21,2006,860.0,0.85465115
21,2006,720.0,1.0
21,2006,2305.0,1.0
21,2006,2395.0,1.0
21,2006,790.0,1.0
21,2006,1290.0,1.0
21,2006,600.0,1.0
21,2006,540.0,1.0
21,2006,2720.0,1.0
21,2006,550.0,1.0
21,2006,650.0,1.0
21,2006,955.0,0.89528793
21,2006,490.0,1.0
21,2006,3060.0,0.95098037
21,2006,2546.0,1.0
21,2006,2630.0,1.0
21,2006,3529.0,0.55539811
21,2006,2112.0,0.87689394
21,2006,820.0,1.0
21,2006,730.0,1.0
21,2006,410.0,1.0
21,2006,700.0,1.0
21,2006,535.0,1.0
21,2006,205.0,1.0
21,2006,100.0,0.0
21,2006,1050.0,1.0
21,2006,220.0,0.90909094
21,2006,1616.0,1.0
21,2006,450.0,1.0
21,2006,2670.0,1.0
21,2006,300.0,1.0
21,2006,750.0,1.0
21,2006,500.0,1.0
21,2006,705.0,1.0
21,2006,1435.0,1.0
21,2006,3442.0,1.0
21,2006,530.0,1.0
23,2006,300.0,0.33333334
23,2006,300.0,1.0
23,2006,1700.0,1.0
23,2006,650.0,1.0
23,2006,1335.0,1.0
23,2006,1150.0,1.0
23,2006,1600.0,1.0
23,2006,2870.0,1.0
23,2006,500.0,1.0
23,2006,500.0,1.0
23,2006,4120.0,1.0
23,2006,2190.0,1.0
23,2006,850.0,1.0
23,2006,2380.0,1.0
23,2006,900.0,1.0
23,2006,400.0,0.75
23,2006,1800.0,1.0
23,2006,1050.0,1.0
23,2006,1400.0,1.0
23,2006,1510.0,1.0
23,2006,1020.0,1.0
23,2006,500.0,1.0
23,2006,340.0,1.0
23,2006,530.0,1.0
23,2006,750.0,1.0
23,2006,15.0,0.0
23,2006,1960.0,1.0
23,2006,1600.0,1.0
23,2006,460.0,1.0
23,2006,400.0,1.0
23,2006,3900.0,1.0
23,2006,100.0,1.0
23,2006,1000.0,1.0
23,2006,500.0,1.0
23,2006,1780.0,1.0
23,2006,200.0,1.0
23,2006,1190.0,0.0
23,2006,2950.0,0.98305082
23,2006,2550.0,1.0
23,2006,600.0,1.0
23,2006,770.0,1.0
23,2006,450.0,1.0
23,2006,810.0,0.7037037
23,2006,4150.0,1.0
23,2006,850.0,1.0
23,2006,1500.0,1.0
23,2006,1150.0,1.0
23,2006,180.0,1.0
23,2006,40.0,1.0
23,2006,900.0,1.0
23,2006,480.0,1.0
23,2006,2250.0,1.0
23,2006,1100.0,1.0
23,2006,1800.0,1.0
23,2006,3545.0,0.99294782
23,2006,500.0,1.0
23,2006,2600.0,1.0
23,2006,100.0,1.0
23,2006,300.0,1.0
23,2006,1530.0,0.80392158
23,2006,1670.0,0.98802394
23,2006,1000.0,1.0
23,2006,360.0,1.0
23,2006,2912.0,0.34752747
23,2006,300.0,1.0
23,2006,800.0,1.0
23,2006,2000.0,1.0
23,2006,210.0,1.0
23,2006,2415.0,1.0
23,2006,750.0,1.0
23,2006,1540.0,0.87012988
23,2006,150.0,1.0
23,2006,1050.0,1.0
23,2006,1360.0,0.74264705
23,2006,900.0,1.0
23,2006,850.0,1.0
23,2006,1500.0,1.0
23,2006,400.0,1.0
23,2006,300.0,1.0
23,2006,40.0,1.0
23,2006,1550.0,1.0
23,2006,1100.0,1.0
23,2006,950.0,0.7368421
23,2006,340.0,1.0
23,2006,250.0,1.0
23,2006,700.0,1.0
23,2006,3500.0,1.0
23,2006,4610.0,1.0
23,2006,1000.0,1.0
23,2006,1190.0,1.0
23,2006,2530.0,0.68379444
23,2006,200.0,1.0
23,2006,3420.0,0.89766079
23,2006,2271.0,1.0
23,2006,400.0,1.0
23,2006,1650.0,1.0
23,2006,2070.0,1.0
23,2006,1370.0,1.0
23,2006,590.0,1.0
23,2006,700.0,1.0
23,2006,100.0,1.0
23,2006,150.0,1.0
23,2006,300.0,1.0
23,2006,950.0,1.0
23,2006,1050.0,1.0
23,2006,100.0,1.0
23,2006,1140.0,1.0
23,2006,300.0,1.0
23,2006,550.0,1.0
23,2006,400.0,1.0
23,2006,1360.0,1.0
23,2006,40.0,0.0
23,2006,2975.0,1.0
23,2006,1730.0,1.0
23,2006,900.0,1.0
23,2006,2965.0,1.0
23,2006,740.0,1.0
23,2006,3300.0,1.0
23,2006,2480.0,1.0
23,2006,502.0,1.0
23,2006,300.0,1.0
23,2006,1130.0,1.0
23,2006,1560.0,1.0
23,2006,1120.0,1.0
23,2006,1870.0,1.0
23,2006,1390.0,1.0
23,2006,300.0,1.0
23,2006,100.0,1.0
23,2006,1470.0,1.0
23,2006,700.0,1.0
23,2006,500.0,1.0
23,2006,2830.0,1.0
23,2006,2070.0,1.0
23,2006,750.0,1.0
23,2006,620.0,1.0
23,2006,2890.0,0.89619374
23,2006,2410.0,1.0
23,2006,1420.0,1.0
23,2006,170.0,1.0
32,2006,340.0,1.0
32,2006,350.0,1.0
32,2006,380.0,1.0
32,2006,505.0,1.0
32,2006,50.0,1.0
32,2006,400.0,1.0
32,2006,50.0,1.0
32,2006,580.0,1.0
32,2006,1225.0,1.0
32,2006,1100.0,1.0
32,2006,400.0,1.0
32,2006,915.0,1.0
32,2006,30.0,1.0
32,2006,600.0,1.0
32,2006,100.0,1.0
32,2006,750.0,1.0
32,2006,500.0,1.0
32,2006,2190.0,0.72602737
32,2006,250.0,1.0
32,2006,50.0,1.0
32,2006,843.0,1.0
32,2006,800.0,1.0
32,2006,50.0,1.0
32,2006,150.0,1.0
32,2006,200.0,1.0
32,2006,926.0,1.0
32,2006,750.0,1.0
32,2006,2300.0,1.0
32,2006,260.0,1.0
32,2006,130.0,1.0
32,2006,685.0,1.0
32,2006,250.0,1.0
32,2006,85.0,1.0
32,2006,250.0,1.0
32,2006,1550.0,1.0
32,2006,1772.0,1.0
32,2006,1510.0,1.0
32,2006,160.0,1.0
32,2006,80.0,1.0
32,2006,795.0,1.0
32,2006,250.0,1.0
32,2006,350.0,1.0
32,2006,930.0,0.56989247
32,2006,530.0,1.0
32,2006,200.0,1.0
32,2006,150.0,1.0
32,2006,540.0,1.0
32,2006,1100.0,1.0
32,2006,75.0,1.0
32,2006,270.0,1.0
32,2006,20.0,1.0
32,2006,50.0,1.0
32,2006,805.0,1.0
32,2006,280.0,0.2857143
32,2006,1552.0,1.0
32,2006,1875.0,1.0
32,2006,350.0,1.0
32,2006,200.0,1.0
32,2006,1400.0,1.0
32,2006,400.0,1.0
32,2006,1021.0,1.0
32,2006,300.0,1.0
32,2006,1000.0,0.96499997
32,2006,500.0,0.80000001
32,2006,110.0,1.0
32,2006,950.0,1.0
32,2006,1740.0,0.82758623
32,2006,100.0,1.0
32,2006,160.0,1.0
32,2006,950.0,0.36842105
32,2006,50.0,0.0
32,2006,250.0,1.0
32,2006,390.0,0.87179488
32,2006,750.0,1.0
32,2006,500.0,1.0
32,2006,50.0,1.0
32,2006,1010.0,1.0
32,2006,175.0,1.0
32,2006,110.0,1.0
32,2006,375.0,0.73333335
32,2006,1690.0,1.0
32,2006,700.0,1.0
32,2006,1380.0,0.92753625
32,2006,525.0,1.0
32,2006,320.0,1.0
32,2006,1787.0,1.0
32,2006,50.0,1.0
32,2006,1000.0,1.0
32,2006,200.0,0.75
32,2006,970.0,1.0
32,2006,730.0,1.0
32,2006,1250.0,1.0
32,2006,200.0,1.0
32,2006,865.0,0.53757226
32,2006,225.0,1.0
32,2006,850.0,0.7647059
32,2006,700.0,1.0
32,2006,360.0,1.0
32,2006,100.0,1.0
32,2006,250.0,1.0
32,2006,615.0,1.0
32,2006,1395.0,0.9283154
32,2006,700.0,1.0
32,2006,200.0,1.0
32,2006,100.0,1.0
32,2006,400.0,1.0
32,2006,225.0,1.0
32,2006,1385.0,0.84115523
32,2006,550.0,1.0
32,2006,120.0,1.0
32,2006,50.0,1.0
32,2006,50.0,1.0
32,2006,140.0,1.0
32,2006,55.0,1.0
32,2006,350.0,1.0
32,2006,1190.0,1.0
32,2006,1610.0,0.3167702
32,2006,60.0,1.0
32,2006,605.0,1.0
32,2006,650.0,1.0
32,2006,700.0,1.0
32,2006,1535.0,0.72312701
32,2006,1305.0,0.36781609
32,2006,2095.0,0.7995227
32,2006,235.0,1.0
32,2006,150.0,1.0
32,2006,50.0,1.0
32,2006,1913.0,1.0
32,2006,150.0,0.0
32,2006,150.0,0.33333334
32,2006,1300.0,1.0
32,2006,600.0,1.0
32,2006,50.0,1.0
32,2006,50.0,1.0
32,2006,2790.0,0.81003582
32,2006,1945.0,1.0
32,2006,1050.0,1.0
32,2006,300.0,1.0
32,2006,40.0,1.0
32,2006,250.0,1.0
32,2006,1990.0,1.0
37,2006,200.0,1.0
37,2006,740.0,1.0
37,2006,150.0,1.0
37,2006,400.0,1.0
37,2006,490.0,1.0
37,2006,570.0,0.3508772
37,2006,1580.0,1.0
37,2006,600.0,1.0
37,2006,80.0,1.0
37,2006,150.0,1.0
37,2006,1222.0,1.0
37,2006,870.0,0.85057473
37,2006,600.0,0.5
37,2006,295.0,1.0
37,2006,750.0,1.0
37,2006,95.0,1.0
37,2006,220.0,1.0
37,2006,310.0,1.0
37,2006,1280.0,1.0
37,2006,350.0,1.0
37,2006,310.0,1.0
37,2006,700.0,1.0
37,2006,335.0,0.77611941
37,2006,75.0,1.0
37,2006,300.0,1.0
37,2006,840.0,1.0
37,2006,470.0,1.0
37,2006,300.0,1.0
37,2006,1660.0,0.93975902
37,2006,560.0,1.0
37,2006,350.0,1.0
37,2006,480.0,1.0
37,2006,1050.0,1.0
37,2006,423.0,1.0
37,2006,100.0,1.0
37,2006,1068.0,1.0
37,2006,1830.0,1.0
37,2006,1835.0,1.0
37,2006,300.0,1.0
37,2006,500.0,0.60000002
37,2006,1446.0,1.0
37,2006,260.0,1.0
37,2006,270.0,1.0
37,2006,110.0,1.0
37,2006,425.0,1.0
37,2006,50.0,1.0
37,2006,550.0,1.0
37,2006,650.0,1.0
37,2006,50.0,1.0
37,2006,100.0,1.0
37,2006,430.0,1.0
37,2006,250.0,1.0
37,2006,604.0,0.96026492
37,2006,1520.0,1.0
37,2006,150.0,1.0
37,2006,435.0,1.0
37,2006,600.0,0.91666669
37,2006,300.0,1.0
37,2006,150.0,1.0
37,2006,380.0,1.0
37,2006,180.0,0.0
37,2006,270.0,1.0
37,2006,1300.0,1.0
37,2006,350.0,0.42857143
37,2006,470.0,1.0
37,2006,790.0,0.97468352
37,2006,425.0,0.0
37,2006,550.0,1.0
37,2006,1785.0,1.0
37,2006,400.0,1.0
37,2006,2660.0,1.0
37,2006,740.0,1.0
37,2006,1328.0,1.0
37,2006,300.0,1.0
37,2006,300.0,1.0
37,2006,1400.0,1.0
37,2006,1550.0,1.0
37,2006,720.0,1.0
37,2006,200.0,1.0
37,2006,790.0,1.0
37,2006,230.0,1.0
37,2006,910.0,1.0
37,2006,210.0,1.0
37,2006,210.0,1.0
37,2006,370.0,1.0
37,2006,300.0,1.0
37,2006,1779.0,0.85947162
37,2006,600.0,1.0
37,2006,200.0,1.0
37,2006,300.0,1.0
37,2006,940.0,1.0
37,2006,1710.0,1.0
37,2006,2880.0,0.93055558
37,2006,370.0,1.0
37,2006,410.0,1.0
37,2006,920.0,1.0
37,2006,300.0,1.0
37,2006,30.0,1.0
37,2006,2110.0,1.0
37,2006,150.0,1.0
41,2006,950.0,1.0
41,2006,300.0,1.0
41,2006,300.0,1.0
41,2006,50.0,1.0
41,2006,1320.0,1.0
41,2006,50.0,1.0
41,2006,445.0,1.0
41,2006,80.0,0.0
41,2006,25.0,1.0
41,2006,1624.0,1.0
41,2006,50.0,1.0
41,2006,375.0,1.0
41,2006,721.0,1.0
41,2006,230.0,1.0
41,2006,1350.0,1.0
41,2006,550.0,1.0
41,2006,750.0,1.0
41,2006,1350.0,1.0
41,2006,650.0,1.0
41,2006,2740.0,0.94525546
41,2006,200.0,1.0
41,2006,150.0,1.0
41,2006,1000.0,1.0
41,2006,525.0,1.0
41,2006,470.0,1.0
41,2006,350.0,1.0
41,2006,990.0,1.0
41,2006,980.0,1.0
41,2006,250.0,1.0
41,2006,400.0,1.0
41,2006,6245.0,1.0
41,2006,650.0,1.0
41,2006,150.0,1.0
41,2006,750.0,1.0
41,2006,200.0,1.0
41,2006,1200.0,1.0
41,2006,960.0,1.0
41,2006,150.0,1.0
41,2006,250.0,1.0
41,2006,70.0,0.0
41,2006,50.0,1.0
41,2006,300.0,1.0
41,2006,500.0,1.0
41,2006,600.0,1.0
41,2006,350.0,1.0
41,2006,895.0,1.0
41,2006,570.0,1.0
41,2006,355.0,1.0
41,2006,600.0,1.0
41,2006,650.0,1.0
41,2006,265.0,1.0
41,2006,380.0,1.0
41,2006,1180.0,0.96610171
41,2006,700.0,1.0
41,2006,1280.0,1.0
41,2006,200.0,1.0
41,2006,320.0,0.9375
41,2006,750.0,1.0
41,2006,1250.0,1.0
41,2006,50.0,1.0
41,2006,500.0,1.0
41,2006,851.0,1.0
41,2006,1800.0,1.0
41,2006,500.0,1.0
41,2006,1200.0,1.0
41,2006,198.0,1.0
41,2006,225.0,1.0
41,2006,400.0,1.0
41,2006,265.0,1.0
41,2006,350.0,1.0
41,2006,2475.0,1.0
41,2006,300.0,1.0
41,2006,600.0,1.0
41,2006,830.0,1.0
41,2006,300.0,1.0
42,2006,1865.0,0.60321718
42,2006,1175.0,1.0
42,2006,150.0,1.0
42,2006,500.0,1.0
42,2006,1652.0,1.0
42,2006,200.0,1.0
42,2006,100.0,1.0
42,2006,60.0,1.0
42,2006,80.0,0.0
42,2006,30.0,1.0
42,2006,620.0,0.5
42,2006,10.0,0.0
42,2006,200.0,1.0
42,2006,200.0,1.0
42,2006,800.0,1.0
42,2006,300.0,0.66666669
42,2006,1330.0,1.0
42,2006,63.0,1.0
42,2006,216.0,1.0
42,2006,40.0,1.0
42,2006,80.0,1.0
42,2006,20.0,1.0
42,2006,330.0,1.0
42,2006,900.0,1.0
42,2006,20.0,1.0
42,2006,20.0,1.0
42,2006,480.0,1.0
42,2006,40.0,1.0
42,2006,450.0,1.0
42,2006,40.0,1.0
42,2006,40.0,1.0
42,2006,942.0,1.0
42,2006,1400.0,1.0
