T1,wave,total_杂粮,ratio_杂粮
23,2006,2520.0,1.0
41,2006,531.3,0.94353473
42,2006,420.1,1.0
32,2009,94.0,0.14893617
32,2009,114.0,0.078947365
32,2009,1659.0,1.0
41,2009,50.0,1.0
42,2009,60.0,1.0
43,2009,109.0,0.99082571
11,2011,130.0,0.23076923
11,2011,545.0,1.0
42,2011,300.0,0.0
21,2006,1050.0,1.0
21,2006,1006.0,1.0
21,2006,1681.0,1.0
21,2006,1030.0,1.0
21,2006,445.2,0.99550766
21,2006,932.0,0.81545067
21,2006,434.0,1.0
21,2006,2154.0,1.0
21,2006,1369.0,1.0
21,2006,352.8,0.99716556
21,2006,195.0,1.0
21,2006,100.0,1.0
21,2006,715.0,1.0
21,2006,717.0,0.99302649
21,2006,1449.5,0.34218696
21,2006,450.0,1.0
21,2006,400.0,1.0
21,2006,615.0,1.0
21,2006,1105.0,1.0
21,2006,495.0,1.0
21,2006,245.0,0.59183675
21,2006,762.0,1.0
21,2006,202.0,1.0
21,2006,595.1,1.0
21,2006,1230.0,0.82926828
21,2006,844.0,1.0
21,2006,662.0,1.0
21,2006,400.0,1.0
21,2006,160.0,1.0
21,2006,245.0,1.0
21,2006,808.0,1.0
21,2006,148.0,1.0
21,2006,530.0,1.0
21,2006,160.0,0.375
21,2006,275.0,1.0
21,2006,227.5,1.0
21,2006,910.0,0.98351645
21,2006,50.0,1.0
21,2006,1880.0,1.0
21,2006,1000.0,1.0
21,2006,1159.5,0.99655026
21,2006,1738.0,1.0
21,2006,1250.5,1.0
21,2006,770.0,0.87012988
21,2006,750.0,1.0
21,2006,1000.0,1.0
21,2006,40.0,1.0
21,2006,950.0,1.0
21,2006,1146.5,1.0
21,2006,1000.5,1.0
21,2006,2470.0,1.0
21,2006,2170.8,1.0
21,2006,1206.0,1.0
21,2006,425.0,1.0
21,2006,341.5,0.88286972
21,2006,1300.0,1.0
21,2006,400.0,1.0
21,2006,104.0,0.03846154
21,2006,1161.0,1.0
21,2006,342.0,1.0
21,2006,250.0,1.0
21,2006,184.0,1.0
21,2006,2023.0,0.97034109
21,2006,859.0,1.0
21,2006,610.0,1.0
21,2006,610.0,1.0
21,2006,155.0,1.0
21,2006,1709.0,1.0
21,2006,100.0,1.0
21,2006,75.0,0.66666669
21,2006,809.0,0.87639058
21,2006,1344.0,1.0
21,2006,990.0,1.0
21,2006,1587.0,1.0
21,2006,414.0,0.99758452
21,2006,450.0,1.0
21,2006,978.3,1.0
21,2006,1003.0,1.0
21,2006,106.0,1.0
21,2006,255.0,1.0
21,2006,1892.0,1.0
21,2006,2693.5,1.0
21,2006,2300.0,1.0
21,2006,498.5,1.0
21,2006,375.0,0.60000002
21,2006,1466.0,1.0
21,2006,120.0,1.0
21,2006,800.0,1.0
21,2006,313.6,1.0
