T1,wave,total_蔬菜,ratio_蔬菜
23,2006,4070.0,1.0
41,2006,2410.0,1.0
42,2006,2877.0,1.0
32,2009,4555.0,0.81119651
32,2009,1375.0,0.76363635
32,2009,3570.0,0.94397759
41,2009,2400.0,1.0
42,2009,2590.0,1.0
43,2009,3585.0,1.0
11,2011,800.0,0.375
11,2011,400.0,0.875
11,2011,1490.0,1.0
41,2011,1480.0,1.0
42,2011,2030.0,0.86206895
21,2006,4675.0,1.0
21,2006,3350.0,1.0
21,2006,150.0,1.0
21,2006,6130.0,1.0
21,2006,4100.0,0.96341461
21,2006,3838.0,1.0
21,2006,1105.0,0.7285068
21,2006,4090.0,1.0
21,2006,5010.0,1.0
21,2006,320.0,0.90625
21,2006,3909.0,1.0
21,2006,1900.0,0.84210527
21,2006,1475.0,1.0
21,2006,1530.0,0.96732026
21,2006,2825.0,1.0
21,2006,1270.0,1.0
21,2006,3370.0,0.82195848
21,2006,3405.0,1.0
21,2006,700.0,1.0
21,2006,2230.0,1.0
21,2006,2280.0,0.95614034
21,2006,3352.0,1.0
21,2006,810.0,1.0
21,2006,2170.0,1.0
21,2006,475.0,1.0
21,2006,1830.0,1.0
21,2006,2180.0,0.32568806
21,2006,2170.0,1.0
21,2006,3295.0,1.0
21,2006,1100.0,0.90909094
21,2006,1410.0,1.0
21,2006,1300.0,1.0
21,2006,1020.0,1.0
21,2006,2500.0,1.0
21,2006,3000.0,1.0
21,2006,970.0,0.94845361
21,2006,1225.0,1.0
21,2006,1635.0,1.0
21,2006,2327.0,0.95058012
21,2006,2775.0,1.0
21,2006,3850.0,1.0
21,2006,2040.0,1.0
21,2006,3454.0,0.88419223
21,2006,2660.0,1.0
21,2006,4040.0,1.0
21,2006,2600.0,1.0
21,2006,2400.0,0.70833331
21,2006,3355.0,1.0
21,2006,3320.0,1.0
21,2006,450.0,1.0
21,2006,1100.0,0.90909094
21,2006,3160.0,1.0
21,2006,1105.0,1.0
21,2006,2470.0,1.0
21,2006,2395.0,1.0
21,2006,5885.0,0.97451144
21,2006,3150.0,0.93650794
21,2006,1355.0,1.0
21,2006,820.0,0.902439
21,2006,4047.0,1.0
21,2006,850.0,1.0
21,2006,1820.0,0.065934069
21,2006,1550.0,0.93548387
21,2006,1315.0,1.0
21,2006,1680.0,1.0
21,2006,1450.0,1.0
21,2006,1795.0,0.71866298
21,2006,1000.0,1.0
21,2006,4047.0,1.0
21,2006,500.0,0.5
21,2006,1785.0,1.0
21,2006,1405.0,1.0
21,2006,6411.0,1.0
21,2006,2550.0,0.74509805
21,2006,970.0,0.53608245
21,2006,3766.0,0.89378649
21,2006,3012.0,0.99667996
21,2006,2040.0,1.0
21,2006,2855.0,0.90893167
21,2006,4168.0,0.98800385
21,2006,3625.0,1.0
21,2006,2420.0,1.0
21,2006,2190.0,1.0
21,2006,2050.0,1.0
21,2006,1600.0,1.0
21,2006,4010.0,1.0
21,2006,1725.0,1.0
21,2006,3090.0,1.0
21,2006,4840.0,1.0
21,2006,900.0,0.85555553
21,2006,5284.0,0.91843301
21,2006,3370.0,1.0
21,2006,3500.0,1.0
21,2006,1110.0,0.72972971
21,2006,1850.0,0.94594592
21,2006,750.0,1.0
21,2006,2390.0,1.0
21,2006,1260.0,1.0
21,2006,780.0,0.74358976
21,2006,3510.0,1.0
21,2006,3180.0,1.0
21,2006,2105.0,1.0
21,2006,4317.0,1.0
21,2006,970.0,1.0
21,2006,2935.0,1.0
21,2006,1344.0,1.0
21,2006,1925.0,0.97402596
21,2006,1510.0,1.0
21,2006,1700.0,0.67647058
21,2006,2037.0,0.95090818
21,2006,2495.0,1.0
21,2006,1170.0,0.71794873
21,2006,2370.0,1.0
21,2006,1880.0,1.0
21,2006,4565.0,1.0
21,2006,4090.0,1.0
21,2006,3022.0,1.0
21,2006,1760.0,1.0
21,2006,2595.0,1.0
21,2006,2195.0,1.0
21,2006,3910.0,1.0
21,2006,1370.0,1.0
21,2006,3745.0,0.94125503
21,2006,4010.0,1.0
21,2006,2240.0,1.0
21,2006,2035.0,0.92628992
21,2006,2120.0,0.9528302
21,2006,6240.0,1.0
21,2006,2736.0,0.89035088
21,2006,3272.0,0.95415646
21,2006,1350.0,0.85185188
21,2006,250.0,0.0
21,2006,1090.0,1.0
21,2006,1925.0,1.0
21,2006,4570.0,0.98905909
21,2006,2520.0,0.92063493
21,2006,1600.0,1.0
21,2006,1420.0,0.96478873
21,2006,1725.0,0.942029
21,2006,2220.0,0.57657659
21,2006,2740.0,1.0
