T1,wave,total_牛羊肉,ratio_牛羊肉
41,2006,50.0,1.0
42,2006,40.0,0.0
32,2009,20.0,0.0
32,2009,300.0,1.0
32,2009,380.0,1.0
42,2009,50.0,1.0
43,2009,192.0,1.0
11,2011,290.0,0.7241379310344828
21,2006,200.0,1.0
21,2006,280.0,1.0
21,2006,125.0,1.0
21,2006,150.0,1.0
21,2006,100.0,1.0
21,2006,100.0,1.0
21,2006,250.0,1.0
21,2006,1000.0,0.0
21,2006,250.0,1.0
21,2006,170.0,1.0
21,2006,330.0,0.696969696969697
21,2006,100.0,1.0
21,2006,100.0,1.0
21,2006,100.0,1.0
21,2006,260.0,1.0
21,2006,180.0,1.0
21,2006,950.0,0.5263157894736842
21,2006,100.0,1.0
21,2006,150.0,1.0
21,2006,200.0,1.0
21,2006,300.0,1.0
21,2006,200.0,1.0
21,2006,150.0,1.0
21,2006,100.0,0.0
21,2006,250.0,1.0
21,2006,375.0,1.0
21,2006,35.0,0.7142857142857143
21,2006,520.0,0.4230769230769231
21,2006,150.0,1.0
21,2006,150.0,1.0
21,2006,250.0,1.0
21,2006,150.0,0.0
21,2006,200.0,1.0
21,2006,300.0,0.0
21,2006,150.0,0.0
21,2006,300.0,1.0
21,2006,150.0,1.0
21,2006,250.0,1.0
21,2006,50.0,1.0
21,2006,50.0,1.0
21,2006,150.0,1.0
21,2006,50.0,1.0
21,2006,370.0,1.0
21,2006,525.0,1.0
21,2006,100.0,1.0
21,2006,150.0,1.0
21,2006,150.0,1.0
21,2006,175.0,1.0
21,2006,35.0,1.0
21,2006,150.0,1.0
21,2006,170.0,0.0
21,2006,400.0,1.0
21,2006,40.0,0.0
21,2006,50.0,1.0
21,2006,140.0,1.0
21,2006,150.0,1.0
21,2006,200.0,1.0
21,2006,600.0,0.8333333333333334
21,2006,310.0,1.0
21,2006,550.0,1.0
21,2006,350.0,0.0
21,2006,100.0,1.0
21,2006,150.0,1.0
21,2006,10.0,0.0
21,2006,150.0,1.0
21,2006,200.0,1.0
21,2006,160.0,1.0
21,2006,1350.0,0.7777777777777778
21,2006,50.0,1.0
23,2006,50.0,1.0
23,2006,200.0,1.0
23,2006,50.0,1.0
23,2006,350.0,1.0
23,2006,200.0,1.0
23,2006,400.0,0.25
23,2006,200.0,0.0
23,2006,150.0,0.0
23,2006,70.0,1.0
23,2006,200.0,1.0
23,2006,10.0,1.0
23,2006,100.0,1.0
23,2006,100.0,1.0
23,2006,100.0,0.0
23,2006,100.0,0.0
23,2006,650.0,0.0
23,2006,500.0,1.0
23,2006,200.0,1.0
23,2006,100.0,1.0
23,2006,380.0,0.0
23,2006,200.0,0.0
23,2006,250.0,0.4
23,2006,430.0,0.6511627906976745
23,2006,100.0,1.0
23,2006,100.0,0.0
23,2006,75.0,0.0
23,2006,200.0,1.0
23,2006,270.0,1.0
23,2006,650.0,0.0
23,2006,150.0,1.0
23,2006,200.0,1.0
23,2006,400.0,0.0
23,2006,200.0,1.0
23,2006,1450.0,0.13793103448275862
23,2006,260.0,0.4230769230769231
23,2006,630.0,0.4444444444444444
23,2006,100.0,1.0
23,2006,100.0,1.0
23,2006,250.0,0.4
23,2006,300.0,1.0
23,2006,200.0,1.0
23,2006,250.0,1.0
23,2006,800.0,0.625
23,2006,400.0,1.0
23,2006,400.0,0.375
23,2006,50.0,0.0
23,2006,100.0,0.0
23,2006,100.0,1.0
23,2006,360.0,1.0
23,2006,140.0,0.2857142857142857
23,2006,60.0,1.0
23,2006,200.0,1.0
23,2006,330.0,0.5454545454545454
