T1,wave,total_蛋类,ratio_蛋类
23,2006,440.0,0.75
23,2006,705.0,0.89361703
23,2006,780.0,1.0
23,2006,180.0,1.0
23,2006,330.0,1.0
23,2006,325.0,1.0
23,2006,250.0,1.0
23,2006,540.0,1.0
23,2006,95.0,1.0
23,2006,350.0,1.0
23,2006,260.0,1.0
23,2006,370.0,1.0
23,2006,90.0,1.0
23,2006,230.0,1.0
23,2006,865.0,0.94219655
23,2006,120.0,1.0
23,2006,350.0,1.0
23,2006,500.0,0.89999998
23,2006,1511.0,1.0
23,2006,120.0,1.0
23,2006,100.0,1.0
23,2006,530.0,0.90566039
23,2006,265.0,1.0
23,2006,440.0,1.0
23,2006,310.0,1.0
23,2006,170.0,0.70588237
23,2006,790.0,0.55696201
23,2006,640.0,1.0
23,2006,320.0,1.0
23,2006,150.0,1.0
23,2006,450.0,1.0
23,2006,420.0,1.0
23,2006,555.0,1.0
23,2006,705.0,0.78723407
23,2006,300.0,1.0
23,2006,200.0,1.0
23,2006,100.0,1.0
23,2006,25.0,1.0
23,2006,420.0,1.0
23,2006,480.0,0.625
23,2006,510.0,1.0
23,2006,500.0,1.0
23,2006,210.0,1.0
23,2006,525.0,1.0
23,2006,250.0,0.40000001
23,2006,240.0,1.0
23,2006,240.0,1.0
23,2006,325.0,1.0
23,2006,690.0,0.95652175
23,2006,180.0,1.0
23,2006,630.0,1.0
23,2006,175.0,1.0
23,2006,180.0,1.0
23,2006,700.0,1.0
23,2006,460.0,1.0
23,2006,250.0,1.0
23,2006,360.0,1.0
23,2006,345.0,1.0
23,2006,170.0,1.0
23,2006,100.0,1.0
23,2006,360.0,1.0
23,2006,960.0,1.0
23,2006,30.0,1.0
23,2006,830.0,0.85542166
23,2006,460.0,0.89130437
23,2006,60.0,1.0
23,2006,520.0,0.71153843
23,2006,445.0,1.0
23,2006,640.0,1.0
23,2006,775.0,0.87096775
23,2006,390.0,1.0
23,2006,300.0,1.0
23,2006,120.0,1.0
23,2006,300.0,1.0
23,2006,110.0,1.0
23,2006,550.0,1.0
23,2006,300.0,0.53333336
23,2006,300.0,1.0
23,2006,180.0,1.0
23,2006,100.0,1.0
23,2006,470.0,1.0
23,2006,495.0,1.0
23,2006,505.0,1.0
23,2006,390.0,1.0
23,2006,210.0,1.0
23,2006,250.0,1.0
23,2006,200.0,1.0
23,2006,340.0,0.85294116
23,2006,120.0,1.0
23,2006,610.0,1.0
23,2006,160.0,1.0
23,2006,200.0,1.0
23,2006,540.0,1.0
23,2006,260.0,1.0
23,2006,340.0,1.0
23,2006,390.0,1.0
23,2006,1030.0,0.90291262
23,2006,120.0,1.0
23,2006,610.0,1.0
23,2006,80.0,1.0
23,2006,520.0,1.0
23,2006,165.0,0.93939394
23,2006,220.0,1.0
23,2006,660.0,1.0
23,2006,100.0,1.0
23,2006,220.0,1.0
23,2006,240.0,1.0
23,2006,360.0,1.0
23,2006,310.0,1.0
23,2006,100.0,1.0
23,2006,100.0,1.0
23,2006,120.0,1.0
