model,year,n,rmse,mae,r2,sign_acc
PySR,2015,88,133.24896419977418,104.83331754145456,0.7050596974924523,0.7954545454545454
PySR,2016,88,116.54032883221633,89.24970055037501,0.813129529527241,0.8636363636363636
PySR,2017,88,96.25965027333106,69.23152488638478,0.8511848992917764,0.875
PySR,2018,87,108.16177712780808,79.51438532345668,0.7483395062600198,0.8620689655172413
PySR,2019,65,131.05093720604054,98.56739538606735,0.48872549377973395,0.8153846153846154
PySR,2020,60,175.08841654071603,124.51165122266667,0.37214034841508203,0.75
PySR,2021,86,162.13241646775668,122.4863192686174,0.37161939437938574,0.7325581395348837
PySR,2022,76,194.76551848064992,136.0041326286316,0.41456048716934046,0.8026315789473685
PySR,2023,81,238.00736569356982,168.52510428975307,0.15344368059129787,0.8271604938271605
PySR,2024,87,268.1091101847161,199.09381465203444,-0.8024254959470893,0.632183908045977
