model,year,n,auc,pr_auc,brier,acc,loss_recall
FE-Logit,2015,88,0.8429752066115702,0.8729102978601335,0.20105289902934997,0.7613636363636364,0.6363636363636364
RF,2015,88,0.8145661157024794,0.8703193116599828,0.17157563131313133,0.7613636363636364,0.5681818181818182
XGB,2015,88,0.849690082644628,0.8887157710211443,0.18170771252611184,0.7954545454545454,0.6363636363636364
LGBM,2015,88,0.8445247933884299,0.8866159289218918,0.1799197715135058,0.8181818181818182,0.6818181818181818
FE-Logit,2016,88,0.9205263157894736,0.9388545391498035,0.12954925186259347,0.8068181818181818,0.96
RF,2016,88,0.9247368421052632,0.9462526059400969,0.12430088383838384,0.8522727272727273,0.82
XGB,2016,88,0.9252631578947369,0.9447096772198277,0.12195542355397236,0.8409090909090909,0.78
LGBM,2016,88,0.9457894736842105,0.9613413431322864,0.11753888903003462,0.8636363636363636,0.86
FE-Logit,2017,88,0.945511157239232,0.9560997933706222,0.1268488129586343,0.8295454545454546,0.9574468085106383
RF,2017,88,0.9761286974571872,0.9821477588304282,0.07716073232323233,0.8636363636363636,0.9148936170212766
XGB,2017,88,0.9693824597820447,0.97743269866205,0.08162706950610149,0.8863636363636364,0.8936170212765957
LGBM,2017,88,0.9647119875454074,0.9744397177699207,0.108951810466831,0.875,0.8723404255319149
FE-Logit,2018,87,0.9534090909090909,0.9734934876201493,0.08861110253294496,0.8735632183908046,0.8727272727272727
RF,2018,87,0.8826704545454545,0.9468698820362417,0.1631503192848021,0.6436781609195402,0.9272727272727272
XGB,2018,87,0.9528409090909091,0.9765506630408739,0.09635895423967815,0.8620689655172413,0.8
LGBM,2018,87,0.9147727272727273,0.9585108784888022,0.1330921480930739,0.7931034482758621,0.8363636363636363
FE-Logit,2019,66,0.8390243902439024,0.8980783488459569,0.16966998021949523,0.803030303030303,0.926829268292683
RF,2019,66,0.8819512195121951,0.931209274457777,0.1402767676767677,0.8333333333333334,0.8536585365853658
XGB,2019,66,0.8585365853658536,0.9146904814470671,0.1550942598220236,0.8181818181818182,0.8536585365853658
LGBM,2019,66,0.8400000000000001,0.8958620780187303,0.16735995534946915,0.8181818181818182,0.8536585365853658
FE-Logit,2020,60,0.8448660714285714,0.8566969130572286,0.3233321876741362,0.6,0.9642857142857143
RF,2020,60,0.8392857142857142,0.8236712476325516,0.22098185185185185,0.7166666666666667,0.9642857142857143
XGB,2020,60,0.8415178571428572,0.8471909979972789,0.2451384670250754,0.7,0.9285714285714286
LGBM,2020,60,0.8292410714285714,0.8249457110653484,0.27214499552845006,0.7166666666666667,0.9285714285714286
FE-Logit,2021,87,0.7830409356725146,0.6668740575262638,0.24191739151550568,0.7011494252873564,0.8333333333333334
RF,2021,87,0.8049707602339182,0.7290157267932887,0.22222681992337162,0.7011494252873564,0.8333333333333334
XGB,2021,87,0.8187134502923976,0.6895808728701808,0.25452167197341236,0.6666666666666666,0.8
LGBM,2021,87,0.8175438596491228,0.7586947365152205,0.2820842618626847,0.6781609195402298,0.8
FE-Logit,2022,76,0.854122621564482,0.8251569890958217,0.14559169878495706,0.8289473684210527,0.7272727272727273
RF,2022,76,0.8999295278365046,0.8689197488557334,0.15447602339181285,0.7368421052631579,0.5454545454545454
XGB,2022,76,0.8893587033121917,0.8791836291034634,0.16422338250583177,0.7763157894736842,0.5151515151515151
LGBM,2022,76,0.8661028893587034,0.8578111786180823,0.19776801452556086,0.75,0.48484848484848486
FE-Logit,2023,82,0.8682598039215687,0.8141552730212975,0.1342743943083683,0.8658536585365854,0.8529411764705882
RF,2023,82,0.8700980392156863,0.8591528444777844,0.13797560975609757,0.8170731707317073,0.7941176470588235
XGB,2023,82,0.8725490196078431,0.8858336379130638,0.13802725919824874,0.8414634146341463,0.8529411764705882
LGBM,2023,82,0.8700980392156863,0.8627444201065742,0.16765169856619816,0.7926829268292683,0.7647058823529411
FE-Logit,2024,89,0.7814407814407813,0.9117738507715023,0.3177290497321733,0.6179775280898876,0.49206349206349204
RF,2024,89,0.7554945054945055,0.898827860092926,0.2502215980024969,0.6292134831460674,0.5079365079365079
XGB,2024,89,0.7527472527472527,0.8975199346533651,0.3336314999223768,0.6179775280898876,0.49206349206349204
LGBM,2024,89,0.7551892551892552,0.8963001297798072,0.36049771034288974,0.5955056179775281,0.47619047619047616
