model,year,n,rmse,mae,r2,sign_acc
FE-OLS,2015,88,163.97874834227048,127.22160802776435,0.5533353611108021,0.75
RF,2015,88,141.54454997780078,108.49378560606065,0.667192778178481,0.7727272727272727
XGB,2015,88,138.951817852423,105.73978535565462,0.6792734567313138,0.7727272727272727
LGBM,2015,88,135.1431950066616,103.7487429349398,0.6966145126887878,0.7840909090909091
FE-OLS,2016,88,128.45190818723546,98.75270173735008,0.7729772808646969,0.7954545454545454
RF,2016,88,119.6207983836115,89.68371590909092,0.8031200030170784,0.875
XGB,2016,88,127.621155447138,98.3995948789369,0.775904288669161,0.8295454545454546
LGBM,2016,88,118.24046084530897,91.62473087472044,0.8076374931550818,0.8522727272727273
FE-OLS,2017,88,109.91451264209392,85.21446078656514,0.8059701621166317,0.8636363636363636
RF,2017,88,113.73206797728949,86.02782139393932,0.7922579965962869,0.875
XGB,2017,88,111.06544237994952,84.69073450178666,0.8018854623925714,0.9090909090909091
LGBM,2017,88,127.10115108140947,95.43338437488418,0.7405477680564059,0.8863636363636364
FE-OLS,2018,87,126.35269528411345,102.60658457219412,0.656571417899484,0.8275862068965517
RF,2018,87,110.83189957928134,82.66264144444439,0.7357609681640048,0.8160919540229885
XGB,2018,87,95.85804800261896,68.09611737056686,0.8023373662064,0.9425287356321839
LGBM,2018,87,107.8173208738296,85.67205622879588,0.749939849770874,0.8620689655172413
FE-OLS,2019,66,143.79607328146918,111.69322505598392,0.37736653195214387,0.803030303030303
RF,2019,66,132.76227752262182,101.90071701565654,0.4692526968183598,0.8333333333333334
XGB,2019,66,138.85977353385627,106.88331655444522,0.41938090670894834,0.8333333333333334
LGBM,2019,66,140.91204076591646,107.93166135038912,0.4020916517741071,0.8181818181818182
FE-OLS,2020,60,203.0153692303718,152.74872991683898,0.15587730042250114,0.7
RF,2020,60,217.5456338860601,162.31462347222228,0.03072170546598474,0.6666666666666666
XGB,2020,60,228.84872034258387,171.6626069158316,-0.07261711194824727,0.6833333333333333
LGBM,2020,60,252.28887008710944,189.98168710970901,-0.30359872783116515,0.6333333333333333
FE-OLS,2021,87,179.32740315344324,137.82673749360436,0.22239356986200098,0.7241379310344828
RF,2021,87,182.04315281013461,145.6268156785441,0.19866295333864714,0.6781609195402298
XGB,2021,87,164.72932629960164,131.09427239560534,0.34384208981960973,0.7126436781609196
LGBM,2021,87,163.45194900274615,127.54728524503635,0.35397885802193263,0.7471264367816092
FE-OLS,2022,76,199.32323896151567,155.31000884560103,0.386840079015784,0.7894736842105263
RF,2022,76,203.941821838969,149.30060603333334,0.35809541575893267,0.7105263157894737
XGB,2022,76,195.86642380516327,138.8914711530585,0.40792342916325874,0.8421052631578947
LGBM,2022,76,190.8596036585855,138.57190593974724,0.4378063662949119,0.75
FE-OLS,2023,82,203.0785551653628,147.15164647093997,0.3761062803003249,0.8170731707317073
RF,2023,82,217.55104511422516,159.24926491504058,0.2840135026557842,0.7682926829268293
XGB,2023,82,207.5279548691448,153.9409129737063,0.34846808149841857,0.8170731707317073
LGBM,2023,82,207.21511278496047,152.4911928321407,0.3504309300430445,0.7926829268292683
FE-OLS,2024,89,194.69350772852826,144.67817570671858,0.04935320137688415,0.6629213483146067
RF,2024,89,244.32363647399126,190.94265913333325,-0.4970876165280429,0.6292134831460674
XGB,2024,89,255.5210356563838,200.3237082577823,-0.6374557350617587,0.5842696629213483
LGBM,2024,89,248.81348710817747,196.51650658050613,-0.5526161036930486,0.6067415730337079
