model,year,n,auc,pr_auc,brier,acc,loss_recall
PySR,2015,88,0.8863636363636364,0.9037873869832521,0.1619605394795146,0.7954545454545454,0.6363636363636364
PySR,2016,88,0.9410526315789474,0.9593204305719338,0.10998531404236038,0.8636363636363636,0.82
PySR,2017,88,0.97145822522055,0.9740508304203153,0.06653712182362045,0.875,0.9148936170212766
PySR,2018,87,0.9721590909090909,0.985013224120406,0.09250617198791476,0.8620689655172413,0.8181818181818182
PySR,2019,65,0.847,0.8932145314064107,0.15141809582253457,0.8153846153846154,0.85
PySR,2020,60,0.9118303571428572,0.9140442781765051,0.1774109138171797,0.75,0.9642857142857143
PySR,2021,86,0.8101190476190476,0.7389903646135457,0.1950409439332142,0.7325581395348837,0.8
PySR,2022,76,0.8604651162790699,0.8324906784210754,0.1456453481871606,0.8026315789473685,0.6666666666666666
PySR,2023,81,0.8178973717146433,0.7282239672578059,0.17072025591566103,0.8271604938271605,0.8235294117647058
PySR,2024,87,0.7339218158890289,0.8863126128698461,0.3035546003952948,0.632183908045977,0.5245901639344263
