model,rmse,mae,r2,sign_acc
FE-OLS,163.7494,125.2594,0.4476,0.7744
LGBM,166.6609,127.237,0.3881,0.7768
RF,166.917,126.6766,0.3939,0.7645
XGB,164.5419,124.6713,0.4001,0.7941
