model,auc,pr_auc,brier,acc,loss_recall
FE-Logit,0.8646,0.8725,0.1849,0.7719,0.8153
LGBM,0.8665,0.8904,0.1974,0.7707,0.7507
RF,0.8648,0.8871,0.1655,0.7546,0.7667
XGB,0.8741,0.8913,0.1762,0.7818,0.749
