model,year,n,rmse,mae,r2,sign_acc
TabPFN,2015,88,154.4121110277425,116.07006234689189,0.6039325441531125,0.7727272727272727
TabPFN,2016,88,112.42804860218743,86.98711093071157,0.826084797753725,0.8522727272727273
TabPFN,2017,88,112.80863863730018,86.89543815611763,0.7956177574348468,0.8863636363636364
TabPFN,2018,87,95.08448957216122,68.55200918574452,0.8055147028347189,0.8850574712643678
TabPFN,2019,66,137.8002370902553,110.53076159737327,0.4282076540711678,0.803030303030303
TabPFN,2020,60,269.07480721208833,198.8217151185672,-0.4828383863201573,0.6333333333333333
TabPFN,2021,87,155.2150444434908,118.78948862066899,0.41744873272249694,0.735632183908046
TabPFN,2022,76,198.30044417761286,150.9149152911337,0.3931165949601587,0.7763157894736842
TabPFN,2023,82,220.1143892967435,161.94854415137593,0.26704155608272684,0.7804878048780488
TabPFN,2024,89,248.76906918378498,196.52282397864906,-0.5520618103561679,0.5955056179775281
