model,year,n,auc,pr_auc,brier,acc,loss_recall
FT-Transformer,2015,88,0.8424586776859504,0.8709126623768925,0.1875645264980369,0.7613636363636364,0.6818181818181818
FT-Transformer,2016,88,0.8910526315789474,0.9086523585386972,0.15009541815930452,0.7954545454545454,0.74
FT-Transformer,2017,88,0.9574468085106383,0.9614516485867228,0.08746455569848054,0.875,0.9574468085106383
FT-Transformer,2018,87,0.9198863636363637,0.953119684246831,0.13856719426739245,0.8275862068965517,0.8363636363636363
FT-Transformer,2019,66,0.8546341463414634,0.912024752414494,0.1540903073676016,0.8181818181818182,0.926829268292683
FT-Transformer,2020,60,0.7946428571428572,0.8054684476451359,0.32346903311648056,0.6,0.9642857142857143
FT-Transformer,2021,87,0.7982456140350878,0.6933938479424301,0.25115395481858227,0.6666666666666666,0.8666666666666667
FT-Transformer,2022,76,0.8562367864693446,0.8264949302826159,0.14369952575041953,0.8157894736842105,0.7575757575757576
FT-Transformer,2023,82,0.8707107843137255,0.8562399359163009,0.17404510746215182,0.7560975609756098,0.9117647058823529
FT-Transformer,2024,89,0.8015873015873016,0.9176419776985549,0.2864202057414189,0.6067415730337079,0.49206349206349204
