model,year,n,auc,pr_auc,brier,acc,loss_recall
TabPFN,2015,88,0.8527892561983471,0.8852960383634583,0.19028735183641315,0.7840909090909091,0.6136363636363636
TabPFN,2016,88,0.9315789473684211,0.9538371995228595,0.11212502753042579,0.8409090909090909,0.88
TabPFN,2017,88,0.9678256357031656,0.9733812887363975,0.08629979431826476,0.8636363636363636,0.9574468085106383
TabPFN,2018,87,0.95625,0.9763560595242488,0.08726237276721456,0.8735632183908046,0.8545454545454545
TabPFN,2019,66,0.8370731707317073,0.8992741731987679,0.1611484424402885,0.803030303030303,0.8780487804878049
TabPFN,2020,60,0.8816964285714286,0.8909723685664916,0.24316042234152016,0.7,1.0
TabPFN,2021,87,0.7994152046783626,0.7260672526110837,0.18109887115922926,0.7586206896551724,0.7666666666666667
TabPFN,2022,76,0.8520084566596194,0.8190086885640437,0.18153483922440103,0.7105263157894737,0.3939393939393939
TabPFN,2023,82,0.8621323529411765,0.8386841354352204,0.14694681213340938,0.8292682926829268,0.8235294117647058
TabPFN,2024,89,0.7496947496947497,0.899413469781075,0.28581275545490037,0.6067415730337079,0.47619047619047616
