feature,mean_abs_shap,feature_cn
L1_profit_margin,2.0427022113757767,上年成本利润率
L1_net_profit,1.9762112692813119,上年净利润
L2_net_profit,1.000316366128459,前年净利润
L1_cost_pest,0.38353860219836977,L1_cost_pest
trend3_yield_main,0.3692611967018958,亩产3年趋势
L1_price_yoy,0.36330634175717524,上年售价同比
L1_s_fert,0.30775834896466275,上年化肥成本份额
L2_sale_price,0.29654094269373665,L2_sale_price
L1_sale_price,0.28737398756145355,上年出售价格
in_dap_yoy,0.27752260566012193,in_dap_yoy
L1_cost_seed,0.26883015022757295,L1_cost_seed
in_npk_cl_yoy,0.2589839292140162,复合肥价格同比
prec_grow,0.2520456223315546,生长季降水
rp_q1_yoy,0.23796047302596357,零售价一季度同比
in_mulch_film,0.23111406193646214,地膜价格
trend3_net_profit,0.22896275680581585,净利润3年趋势
crop_code,0.20955821385965145,作物
rp_pre_mean,0.18822587626756151,成品粮零售价(1-9月)
L2_yield_main,0.16564007850161647,L2_yield_main
L1_s_land,0.15994814293127138,上年土地成本份额
in_machine_harvest_yoy,0.1584442357524914,in_machine_harvest_yoy
prec_ano_grow,0.1509204134175735,生长季降水距平
trend3_total_cost,0.14538301764415057,成本3年趋势
in_dap,0.14013547141059302,磷酸二铵价格
temp_ano_absmax,0.13735324660681075,气温距平极值
L1_wage_day,0.1371536468599923,上年劳动日工价
in_urea_yoy,0.11925460512077132,尿素价格同比
rp_q1_mean,0.1171802423033756,成品粮零售价(一季度)
L1_cost_mach,0.11636870070086579,L1_cost_mach
L1_fert_kg,0.10727275814031448,上年化肥折纯用量
trend3_sale_price,0.10429834478802351,售价3年趋势
in_ssp,0.10421972611389375,过磷酸钙价格
L1_cost_land,0.10064948227590688,上年土地成本
in_machine_harvest,0.10011145924448642,机收费
L1_yield_main,0.09787891507604643,上年亩产
L2_total_cost,0.09290917402893116,L2_total_cost
L1_cash_income,0.09221230911401182,上年现金收益
L1_s_mach,0.09061827954672587,L1_s_mach
trend,0.08708030736686037,时间趋势
in_chlorpyrifos,0.08538362252284032,农药(毒死蜱)价格
in_ssp_yoy,0.08420107920007201,in_ssp_yoy
in_abc_yoy,0.08349233117113912,in_abc_yoy
rp_pre_yoy,0.08275011895980885,成品粮零售价同比
L1_s_seed,0.08057747868036304,L1_s_seed
L1_cost_yoy,0.07943698259122033,上年成本同比
gp_grow_mean,0.07747262720245708,生长季收购价
prec_ano_absmax,0.07643323359598846,降水距平极值
L1_labor_days,0.07351268754204807,上年用工天数
in_urea,0.0722429996577757,尿素价格
in_machine_tillage_yoy,0.07218861578061117,in_machine_tillage_yoy
L1_land_rent,0.06399717712033735,上年流转地租金
L1_cost_labor,0.06290077660955623,上年人工成本
in_chlorpyrifos_yoy,0.05494082051118247,in_chlorpyrifos_yoy
in_abc,0.0548382818914617,碳铵价格
temp_ano_grow,0.053825854572074894,生长季气温距平
in_machine_tillage,0.052288840717596104,机耕费
in_npk_cl,0.05181323089790354,复合肥价格
temp_grow,0.050080466506470044,生长季气温
L1_revenue,0.04662268830907478,上年产值
L1_total_cost,0.0460410765956605,上年总成本
L1_s_labor,0.04196814392662359,上年人工成本份额
in_mulch_film_yoy,0.04035146565639467,in_mulch_film_yoy
gp_pre_mean,0.030540236809661416,播前收购价
L1_cost_fert,0.03012775102358322,上年化肥费
province_code,0.027818026712937274,省份
region_code,0.025063010251920183,区域
gp_pre_yoy,0.014846195133157488,播前收购价同比
policy_min_price,0.0036093538122900664,最低收购价作物
L1_loss,0.0016530777037731031,上年是否亏损
policy_corn_reform,0.0,玉米临储改革
