food_group10,nobs,positive_rate,mean_predicted_probability,brier,pseudo_r2_mcfadden
G01_主食,584835,0.591683124300016,0.591756797963059,0.226325013657567,0.0471177562555917
G02_食用油,584835,0.334299417784503,0.334022771470686,0.201211571311845,0.0814799384858813
G03_蔬菜,584835,0.830384638402284,0.830491686666091,0.11738829978783,0.16329304058584
G04_水果,584835,0.832294578812828,0.832228650275291,0.118483215472156,0.146190529933401
G05_猪肉,584835,0.623543392580813,0.623060251298633,0.194610539601435,0.136502657314807
G06_禽类及其他肉类,584835,0.432229603221421,0.432608704900449,0.211060731761623,0.110040494747402
G07_牛羊肉,584835,0.344025237887609,0.343943743205974,0.187839532739336,0.142096638343006
G08_海鲜,584835,0.532442483777476,0.532440481650389,0.197358017473921,0.16547356395231
G09_乳制品,584835,0.708037309668539,0.708110832776203,0.193265902957164,0.0523622827705184
G10_坚果,584835,0.257392255935435,0.257576851777279,0.180967211345828,0.0444597225045372
