food_group10,term,estimate
G04_水果,z_temp_avg_c_mean,0.00353594530018429
G04_水果,z_precip_log,-0.00992945132088161
G04_水果,z_wholesale_agri_200_mean,-0.0133802444676711
G04_水果,factor(month)02,0.00676676620951245
G04_水果,factor(month)03,0.131537622662022
G04_水果,factor(month)04,0.19610117781534
G04_水果,factor(month)05,0.258748699441137
G04_水果,factor(month)06,0.200868627764902
G04_水果,factor(month)07,0.188859506256067
G04_水果,factor(month)08,0.189469761605831
G04_水果,factor(month)09,0.162366284094534
G04_水果,factor(month)10,0.250893482611172
G04_水果,factor(month)11,0.0931458794115693
G04_水果,factor(month)12,0.117954739514933
G04_水果,factor(year)2021,0.1292602715703
G04_水果,factor(year)2022,0.109142844822554
G05_猪肉,(Intercept),-2.83664118423513
G05_猪肉,y_easi,0.493468709136568
G05_猪肉,r_G01,0.639298046719556
G05_猪肉,r_G02,0.21088183645982
G05_猪肉,r_G03,0.0781230819690317
G05_猪肉,r_G04,0.0906843194877392
G05_猪肉,r_G05,-0.263548283217648
G05_猪肉,r_G06,0.698382885914486
G05_猪肉,r_G07,-0.196912447573547
G05_猪肉,r_G08,-0.660082643291407
G05_猪肉,r_G09,-0.297545847050247
G05_猪肉,low_income,0.0143602299699812
G05_猪肉,elderly_household,-0.11784264605784
G05_猪肉,large_family,0.473981586950732
G05_猪肉,mean_y_easi_hh,0.137252367451033
G05_猪肉,z_cpi_yoy_prev_year_100,0.00769850292882542
G05_猪肉,z_covid_log,-0.0324725045866274
G05_猪肉,z_holiday_days,-0.101434900844475
G05_猪肉,z_temp_avg_c_mean,0.0506647966347294
G05_猪肉,z_precip_log,0.0410345423105434
G05_猪肉,z_wholesale_agri_200_mean,0.0195913417459948
G05_猪肉,factor(month)02,-0.228420313308615
G05_猪肉,factor(month)03,-0.145761909380496
G05_猪肉,factor(month)04,-0.0193543575917027
G05_猪肉,factor(month)05,-0.0251714566062016
G05_猪肉,factor(month)06,-0.113745652014109
G05_猪肉,factor(month)07,-0.146545056560005
G05_猪肉,factor(month)08,-0.135626565268302
G05_猪肉,factor(month)09,-0.106648353660365
G05_猪肉,factor(month)10,0.213205514982304
G05_猪肉,factor(month)11,0.00909428653572688
G05_猪肉,factor(month)12,0.0946938322773286
G05_猪肉,factor(year)2021,0.132570279586452
G05_猪肉,factor(year)2022,0.0513919188658124
G06_禽类及其他肉类,(Intercept),-2.87392696683574
G06_禽类及其他肉类,y_easi,0.439143440890505
G06_禽类及其他肉类,r_G01,1.15590969113553
G06_禽类及其他肉类,r_G02,0.439635598869113
G06_禽类及其他肉类,r_G03,0.515989133209261
G06_禽类及其他肉类,r_G04,-0.511421574486814
G06_禽类及其他肉类,r_G05,0.105201379769014
G06_禽类及其他肉类,r_G06,0.631174344732618
G06_禽类及其他肉类,r_G07,0.73935899584229
G06_禽类及其他肉类,r_G08,-0.604509249155366
G06_禽类及其他肉类,r_G09,-1.73522864789917
G06_禽类及其他肉类,low_income,-0.0125518064417558
G06_禽类及其他肉类,elderly_household,-0.24897264741109
G06_禽类及其他肉类,large_family,0.391827022490081
G06_禽类及其他肉类,mean_y_easi_hh,0.0845258218544895
G06_禽类及其他肉类,z_cpi_yoy_prev_year_100,-0.00542491048558608
G06_禽类及其他肉类,z_covid_log,-0.0320139858933931
G06_禽类及其他肉类,z_holiday_days,-0.0240995337578709
G06_禽类及其他肉类,z_temp_avg_c_mean,0.0649208905122305
G06_禽类及其他肉类,z_precip_log,0.0258382378856835
G06_禽类及其他肉类,z_wholesale_agri_200_mean,-0.0516696985912949
G06_禽类及其他肉类,factor(month)02,-0.142946181416063
G06_禽类及其他肉类,factor(month)03,-0.102098822235165
G06_禽类及其他肉类,factor(month)04,-0.0556757898442714
G06_禽类及其他肉类,factor(month)05,-0.0795021653900434
G06_禽类及其他肉类,factor(month)06,-0.146872385734224
G06_禽类及其他肉类,factor(month)07,-0.106891275649022
G06_禽类及其他肉类,factor(month)08,-0.0767953211285809
G06_禽类及其他肉类,factor(month)09,-0.0802397454288422
G06_禽类及其他肉类,factor(month)10,0.0638943702529932
G06_禽类及其他肉类,factor(month)11,0.0193876484688858
G06_禽类及其他肉类,factor(month)12,0.123694589938825
G06_禽类及其他肉类,factor(year)2021,0.0782930162814764
G06_禽类及其他肉类,factor(year)2022,0.195121518836778
G07_牛羊肉,(Intercept),-3.77375631764186
G07_牛羊肉,y_easi,0.634184636553941
G07_牛羊肉,r_G01,0.723903272891544
G07_牛羊肉,r_G02,-0.36364944318356
G07_牛羊肉,r_G03,0.424561846819273
G07_牛羊肉,r_G04,-0.153117121327566
G07_牛羊肉,r_G05,0.213686697184736
G07_牛羊肉,r_G06,-0.163044429665369
G07_牛羊肉,r_G07,0.821783005423335
G07_牛羊肉,r_G08,-0.232386613009329
G07_牛羊肉,r_G09,-1.68161117174179
G07_牛羊肉,low_income,-0.118637429472236
G07_牛羊肉,elderly_household,-0.31510885130077
G07_牛羊肉,large_family,0.406354405344809
