model,term,estimate
constrained_sy_easi_fast,G06__z_temp_avg_c_mean,0.0117024797866989
constrained_sy_easi_fast,G07__z_temp_avg_c_mean,-0.00151722748075356
constrained_sy_easi_fast,G08__z_temp_avg_c_mean,0.0125853178060499
constrained_sy_easi_fast,G09__z_temp_avg_c_mean,-0.0468417963127338
constrained_sy_easi_fast,G01__z_precip_log,-0.00110473212999254
constrained_sy_easi_fast,G02__z_precip_log,0.00316332518414437
constrained_sy_easi_fast,G03__z_precip_log,0.00382073190422583
constrained_sy_easi_fast,G04__z_precip_log,0.00536786249794143
constrained_sy_easi_fast,G05__z_precip_log,-0.00164082054381058
constrained_sy_easi_fast,G06__z_precip_log,-0.00352684301394278
constrained_sy_easi_fast,G07__z_precip_log,1.39708393373579
constrained_sy_easi_fast,G08__z_precip_log,-0.298532728607325
constrained_sy_easi_fast,G09__z_precip_log,0.0177803664571843
constrained_sy_easi_fast,G01__z_wholesale_agri_200_mean,0.0144136398132397
constrained_sy_easi_fast,G02__z_wholesale_agri_200_mean,0.0368717595257054
constrained_sy_easi_fast,G03__z_wholesale_agri_200_mean,-0.0769210364284405
constrained_sy_easi_fast,G04__z_wholesale_agri_200_mean,0.00414908733740224
constrained_sy_easi_fast,G05__z_wholesale_agri_200_mean,-0.000214602893894417
constrained_sy_easi_fast,G06__z_wholesale_agri_200_mean,0.00189990354872659
constrained_sy_easi_fast,G07__z_wholesale_agri_200_mean,0.00519673162468266
constrained_sy_easi_fast,G08__z_wholesale_agri_200_mean,-0.00193140927834209
constrained_sy_easi_fast,G09__z_wholesale_agri_200_mean,0.00331712681845225
constrained_sy_easi_fast,sym_price__p_1_1,0.266421390413824
constrained_sy_easi_fast,sym_price__p_1_2,0.129570361333113
constrained_sy_easi_fast,sym_price__p_2_2,-0.290856493822535
constrained_sy_easi_fast,sym_price__p_1_3,-0.00596288203887106
constrained_sy_easi_fast,sym_price__p_2_3,-0.207347544540555
constrained_sy_easi_fast,sym_price__p_3_3,0.174664015077553
constrained_sy_easi_fast,sym_price__p_1_4,0.00695631959718114
constrained_sy_easi_fast,sym_price__p_2_4,0.242509807330819
constrained_sy_easi_fast,sym_price__p_3_4,-0.0345496122580257
constrained_sy_easi_fast,sym_price__p_4_4,0.256830501163407
constrained_sy_easi_fast,sym_price__p_1_5,0.0185056901470319
constrained_sy_easi_fast,sym_price__p_2_5,-0.00571318958693053
constrained_sy_easi_fast,sym_price__p_3_5,0.0636738153140631
constrained_sy_easi_fast,sym_price__p_4_5,-0.0867508314423275
constrained_sy_easi_fast,sym_price__p_5_5,0.191889259128168
constrained_sy_easi_fast,sym_price__p_1_6,-0.0579724185796872
constrained_sy_easi_fast,sym_price__p_2_6,-0.0448874518659059
