scenario,soy_particip,soy_particip_lo,soy_particip_hi,soy_share,soy_share_lo,soy_share_hi,soy_area,fiscal,d_share_pp,d_fiscal,cost_per_pp,rot_area
S0_基准,0.4533,0.3111,0.5877,0.1994,0.0987,0.3162,1995.8786,858790.9354,0.0,0.0,,963.8396
S1_大豆补贴+100元,0.4877,0.3552,0.6093,0.2381,0.1459,0.3416,2383.0633,1224868.2218,3.8689,366077.2864,94619.8703,1267.5831
S2_大豆补贴+50%,0.5147,0.3891,0.6306,0.2726,0.1854,0.3641,2727.5707,1577574.227,7.3114,718783.2916,98309.9202,1560.4011
S3_轮作补贴150元,0.4968,0.3589,0.6198,0.2495,0.1508,0.3522,2496.6346,1237727.702,5.0038,378936.7666,75730.0702,1424.5819
S4_豆价+10%,0.4742,0.3388,0.598,0.2225,0.1268,0.3317,2226.2975,934829.1838,2.3025,76038.2484,,1140.4376
S5_取消玉米补贴,0.46,0.3204,0.5908,0.2066,0.1072,0.322,2067.1464,723501.2513,0.7121,-135289.6841,-189976.05,1017.5376
