scenario,soy_particip,soy_particip_lo,soy_particip_hi,soy_share,soy_share_lo,soy_share_hi,soy_area,fiscal,d_share_pp,d_fiscal,cost_per_pp,rot_area
S0_基准,0.2752,0.1463,0.4367,0.1928,0.0743,0.3148,5533.1746,2399872.0323,0.0,0.0,,3574.5867
S1_大豆补贴+100元,0.4403,0.1918,0.6944,0.2321,0.1218,0.3406,6659.6242,3437562.7892,3.9254,1037690.7569,264350.9699,4546.2194
S2_大豆补贴+50%,0.5697,0.2121,0.8629,0.2666,0.1692,0.3602,7650.2481,4437299.6755,7.3775,2037427.6433,276166.4812,5442.7792
S3_轮作补贴150元,0.5038,0.2005,0.7842,0.2472,0.1363,0.3492,7093.712,3671472.9265,5.4381,1271600.8942,233830.609,5044.1572
S4_豆价+10%,0.3764,0.1799,0.593,0.2166,0.102,0.3296,6214.6492,2624758.6363,2.3748,224886.6041,,4157.4465
S5_取消玉米补贴,0.3054,0.1557,0.4876,0.2001,0.0823,0.3184,5741.3254,2009463.8951,0.7254,-390408.1371,-538227.061,3749.7889
