scenario,soy_particip,soy_particip_lo,soy_particip_hi,soy_share,soy_share_lo,soy_share_hi,soy_area,fiscal,d_share_pp,d_fiscal,cost_per_pp,rot_area
S0_基准,0.3795,0.2161,0.5548,0.1942,0.0881,0.3216,5573.4255,2413154.8206,0.0,0.0,,3608.9959
S1_大豆补贴+100元,0.4199,0.2633,0.5778,0.234,0.1349,0.3443,6713.6413,3460790.1654,3.9734,1047635.3448,263662.1452,4589.7862
S2_大豆补贴+50%,0.4519,0.296,0.6075,0.2688,0.1779,0.3639,7714.9404,4469969.2943,7.4627,2056814.4737,275612.3785,5495.9767
S3_轮作补贴150元,0.4347,0.2752,0.5926,0.2492,0.1489,0.3538,7150.1997,3697495.9598,5.4947,1284341.1393,233741.3732,5093.3711
S4_豆价+10%,0.4047,0.2432,0.5713,0.2182,0.1155,0.3373,6262.9025,2640682.2146,2.4027,227527.3941,,4196.6999
S5_取消玉米补贴,0.3874,0.2243,0.5623,0.2016,0.0971,0.3268,5784.1783,2024462.4037,0.7344,-388692.4169,-529245.8367,3785.7331
