rot_mode,soy_share,d_share_pp,rot_area,fiscal,d_fiscal,cost_per_pp
strict_new,0.2492,5.4947,5093.3711,3697495.9598,1284341.1393,233741.3732
new_entrant,0.2492,5.4947,4342.4887,3584863.5986,1171708.7781,213243.0476
