period,item_code,households,purchase_uv_share_lt_0_1,purchase_uv_share_lt_0_5,purchase_uv_n_unique_3dp,own_price_share_lt_0_1,purchase_uv_n,purchase_uv_mean,purchase_uv_sd,purchase_uv_p01,purchase_uv_p10,purchase_uv_p25,purchase_uv_p50,purchase_uv_p75,purchase_uv_p90,purchase_uv_p95,purchase_uv_p99,purchase_uv_max,own_price_n,own_price_mean,own_price_sd,own_price_p01,own_price_p10,own_price_p25,own_price_p50,own_price_p75,own_price_p90,own_price_p95,own_price_p99,own_price_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
pooled_2023_2024,主食加工品,3547,0.0027397260273972603,0.006653620352250489,932,,2555,6.060607255171853,5.778405314651303,1.0,2.0,3.0,4.523809523809524,7.0479302832244,11.0,15.0,28.153333333333347,84.61538461538461,0,,,,,,,,,,,,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2023,主食加工品,1760,0.005825242718446602,0.01262135922330097,433,,1030,6.229096023825807,5.719796425401953,0.30630434782608695,2.0,2.5521484375,4.380482456140351,8.0,12.5,15.469924812030042,27.71000000000004,50.00000000000001,0,,,,,,,,,,,,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2024,主食加工品,1787,0.0006557377049180328,0.002622950819672131,654,,1525,5.946808283556394,5.816764160044094,1.1316050878255604,2.2888597640891217,3.099941371897596,4.571428571428571,6.666666666666666,10.0,13.974566473988434,28.187878787878777,84.61538461538461,0,,,,,,,,,,,,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
pooled_2023_2024,主食原粮/薯类,3547,0.0006420545746388443,0.005457463884430177,1184,,3115,2.7269599863195477,1.570459399942949,0.8015555555555556,1.8214285714285714,2.2,2.5192307692307687,3.0,3.6363636363636362,4.303103448275859,6.607500000000016,57.77142857142857,0,,,,,,,,,,,,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2023,主食原粮/薯类,1760,0.0012239902080783353,0.004283965728274173,810,,1634,2.69008226124535,1.6304228156207332,0.846921568627451,1.8954655172413792,2.2,2.5000000000000004,2.9224664224664227,3.572531350431659,4.1860714285714264,6.0,57.77142857142857,0,,,,,,,,,,,,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2024,主食原粮/薯类,1787,0.0,0.00675219446320054,648,,1481,2.7676474966309867,1.5010240704873807,0.7333333333333333,1.7388059701492538,2.1666666666666665,2.545454545454545,3.0,3.729166666666666,4.6,7.828571428571438,28.8,0,,,,,,,,,,,,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
pooled_2023_2024,奶类,3547,0.0011723329425556857,0.0035169988276670576,593,,1706,14.998499298440855,35.23605722969268,1.2508333333333335,3.3333333333333335,4.999999999999999,6.666666666666667,10.022667170381563,24.999999999999996,59.99999999999999,166.5833333333334,773.7179487179486,0,,,,,,,,,,,,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
2023,奶类,1760,0.0012135922330097086,0.0036407766990291263,361,,824,14.49037373315836,28.23919530955777,1.0,3.7499999999999996,5.0,7.5,11.053639846743295,24.985714285714284,50.0,125.64166666666665,358.75,0,,,,,,,,,,,,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
2024,奶类,1787,0.0011337868480725624,0.003401360544217687,354,,882,15.473210710904318,40.71130897671543,1.4583333333333333,3.073809523809524,4.583333333333334,6.0,9.999999999999998,24.973684210526308,62.96874999999978,181.90714285714242,773.7179487179486,0,,,,,,,,,,,,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
pooled_2023_2024,干果,3547,0.0028653295128939827,0.004297994269340974,118,,698,9.112939487163896,7.5170562682786715,1.1711764705882355,3.97,5.5,8.0,10.0,15.0,17.07499999999999,30.099999999999905,141.5,0,,,,,,,,,,,,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
