period,item_code,village_years,outlet_village_pairs,reversed_endpoint_pairs,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_n_unique_3dp,low_modal_value_share_3dp,community_low_n,community_low_mean,community_low_sd,community_low_p01,community_low_p10,community_low_p25,community_low_p50,community_low_p75,community_low_p90,community_low_p95,community_low_p99,community_low_max,community_high_n,community_high_mean,community_high_sd,community_high_p01,community_high_p10,community_high_p25,community_high_p50,community_high_p75,community_high_p90,community_high_p95,community_high_p99,community_high_max,community_mid_n,community_mid_mean,community_mid_sd,community_mid_p01,community_mid_p10,community_mid_p25,community_mid_p50,community_mid_p75,community_mid_p90,community_mid_p95,community_mid_p99,community_mid_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
2023,zhushi_6,112,146,0,0.0,0.0,0.0851063829787234,21,0.1276595744680851,47,1.6185106382978722,0.47752977928267215,0.8558,1.0,1.33,1.5,1.98,2.032,2.5,2.7699999999999996,3.0,146,2.0606164383561647,1.2623974031936163,1.0,1.345,1.5,1.8,2.0,2.58,3.0,9.9,9.9,47,1.9074468085106382,0.6964981291060937,1.1380000000000001,1.339,1.45,1.8,2.2475,2.5,2.6399999999999992,4.320299999999998,5.445,6,主食部分,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
2024,zhushi_6,86,113,1,0.0,0.0,0.10126582278481013,29,0.21518987341772153,79,2.084746835443038,1.9689706569440093,0.8445,0.998,1.48,1.59,2.0,2.59,3.3399999999999808,11.099999999999994,15.0,112,2.582080357142857,2.3922104902204135,0.911,1.29,1.495,1.98,2.0975,4.8,6.660999999999994,11.936,15.0,79,2.221253164556962,1.9758454760791444,0.9,1.29,1.48,1.68,2.0,2.8380000000000014,4.599999999999989,11.099999999999994,15.0,6,主食部分,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_6,198,259,1,0.0,0.0,0.09523809523809523,40,0.16666666666666666,126,1.9108333333333336,1.5982221059665016,0.8312499999999999,1.0,1.3824999999999998,1.59,2.0,2.5,2.74,9.245000000000001,15.0,258,2.286988372093023,1.8541465455339898,1.0,1.3,1.5,1.9,2.0,3.0600000000000023,5.058499999999991,11.58,15.0,126,2.1041984126984135,1.624133516776703,0.925,1.3,1.48,1.75,2.0300000000000002,2.59,3.7975,9.245000000000001,15.0,6,主食部分,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
2023,zhushi_7,48,51,0,0.0,0.0,0.0,7,0.3333333333333333,9,3.2466666666666666,0.5495452665613634,2.5896,2.676,2.9,3.18,3.5,3.676,4.028,4.3096,4.38,51,3.4550980392156863,0.7740164663597787,1.65,2.5,3.0,3.5,3.8499999999999996,4.38,4.945,5.28,5.28,9,3.368888888888889,0.564013396216004,2.5896,2.676,3.08,3.5,3.5,3.9960000000000004,4.188,4.3416,4.38,7,主食部分,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
2024,zhushi_7,40,45,0,0.0,0.0,0.0,19,0.09375,32,3.8146875,2.630402869149944,1.2,1.892,2.48,2.94,4.58,5.450000000000001,10.340999999999998,11.98,11.98,44,6.012704545454545,3.9616936687015594,1.2,1.916,2.48,4.95,8.98,11.386000000000006,13.092650000000003,14.484,15.0,32,4.942171875,3.019906291564132,1.2,2.0,2.48,4.8,6.8325000000000005,8.936000000000002,10.414974999999998,11.98,11.98,7,主食部分,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_7,88,96,0,0.0,0.0,0.0,25,0.07317073170731707,41,3.6900000000000004,2.3407904647789386,1.2,2.0,2.58,2.96,3.99,5.0,9.0,11.98,11.98,95,4.639673684210527,3.0235852870606945,1.2,2.12,2.79,3.5,4.995,8.992,10.593999999999994,13.872000000000003,15.0,41,4.596817073170732,2.7506665095847627,1.2,2.0,2.58,3.5,6.78,8.36,9.1345,11.98,11.98,7,主食部分,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
2023,zhushi_1_1,34,37,0,0.0,0.0,0.0,12,0.12,25,8.999600000000001,4.708441426487821,2.86,4.12,5.0,9.69,12.0,15.800000000000008,18.0,18.0,18.0,37,11.958162162162163,9.292387330837341,2.45,4.5,5.0,8.0,12.5,27.244,30.0,30.0,30.0,25,12.086239999999998,6.913461562295211,4.038,5.260000000000001,6.0,9.69,18.5,21.848800000000008,24.0,24.0,24.0,8,主食加工品的获取与消费,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
2024,zhushi_1_1,62,82,0,0.0,0.0,0.0,22,0.19642857142857142,56,5.470196428571429,3.017556871014231,1.0,2.5,4.0,4.99,6.0607500000000005,8.2275,8.875,16.63950000000002,20.0,82,8.090646341463415,6.993496528074947,2.0,3.05,4.99,5.5,8.25,16.3,23.558,34.626749999999994,35.7,56,7.223160714285714,5.036382845317698,2.275,3.25,4.5,5.0,7.35,14.13075,16.676000000000002,24.389375000000015,27.1875,8,主食加工品的获取与消费,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_1_1,96,119,0,0.0,0.0,0.0,28,0.16049382716049382,81,6.559518518518518,3.9499645951296545,1.0,2.5,4.0,5.0,7.99,12.0,13.89,18.400000000000006,20.0,119,9.293151260504201,7.94660736120752,2.0,3.5,4.99,6.0,10.0,25.0,27.519599999999983,33.70251999999997,35.7,81,8.724111111111112,6.073450081605183,2.4,3.5,4.99,6.0,12.05,18.622,22.1,24.63750000000001,27.1875,8,主食加工品的获取与消费,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
2023,zhushi_2,65,92,2,0.0,0.0,0.0273972602739726,27,0.1643835616438356,73,3.083493150684931,1.6889758330230096,0.6,1.512,2.0,2.5,3.8,5.0,5.499999999999989,8.521200000000002,9.09,91,7.296340659340659,5.913210309167058,1.0,2.0,2.825,5.0,10.0,15.179,19.45,23.8,23.8,72,5.7152569444444445,3.330107024665385,0.8,2.5,3.046875,4.75,8.1625,10.495,12.150375,13.1,13.1,9,主食加工品的获取与消费,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
2024,zhushi_2,108,147,2,0.0,0.0,0.00819672131147541,46,0.09016393442622951,122,4.468237704918033,2.9305266303958324,1.821,2.31,2.99625,3.5,5.0,8.900000000000006,9.995,14.115899999999959,23.75,147,8.630244897959184,7.001185814033784,1.946,3.234,3.95,6.0,11.0,17.540000000000003,22.25,30.632999999999928,49.983,122,6.835209016393443,4.327564307326959,1.8815000000000002,3.3345000000000002,3.65375,5.234999999999999,9.55,12.415000000000004,13.743749999999999,22.820749999999965,26.488999999999997,9,主食加工品的获取与消费,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
