period,item_code,village_years,outlet_village_pairs,reversed_endpoint_pairs,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_n_unique_3dp,low_modal_value_share_3dp,community_low_n,community_low_mean,community_low_sd,community_low_p01,community_low_p10,community_low_p25,community_low_p50,community_low_p75,community_low_p90,community_low_p95,community_low_p99,community_low_max,community_high_n,community_high_mean,community_high_sd,community_high_p01,community_high_p10,community_high_p25,community_high_p50,community_high_p75,community_high_p90,community_high_p95,community_high_p99,community_high_max,community_mid_n,community_mid_mean,community_mid_sd,community_mid_p01,community_mid_p10,community_mid_p25,community_mid_p50,community_mid_p75,community_mid_p90,community_mid_p95,community_mid_p99,community_mid_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
pooled_2023_2024,doulei_2,22,22,0,0.0,0.0,0.0,9,0.2222222222222222,18,10.393,9.472043279163845,2.17,3.7,4.9,6.0,13.0,29.75,29.75,29.75,29.75,22,20.11222727272727,14.170090203469378,2.378,5.682,10.0,13.3,33.16,41.87000000000002,42.6,42.6,42.6,18,16.05675,10.770470684796408,2.551225,5.55015,7.25,13.25,27.8,31.455,31.455,31.455,31.455,14,豆制品的获取与消费,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
2023,doulei_3,118,142,2,0.0,0.0,0.0,29,0.19767441860465115,86,3.2918604651162795,1.580898859456344,1.48,1.98,2.3,3.0,3.5,4.75,6.1875,9.065000000000007,10.0,142,5.91411971830986,5.507090281495721,1.623,2.28,2.9825,3.665,6.4375,13.75,17.9,25.0,33.33,86,5.416308139534883,3.399429163298731,1.94375,2.605,3.1374999999999997,4.325,6.1875,11.1,12.883125,14.910750000000025,18.654999999999998,15,豆制品的获取与消费,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
2024,doulei_3,79,96,0,0.0,0.0,0.0,30,0.16666666666666666,84,4.881738095238096,3.899585121952147,1.99,2.0,2.5,3.4,5.05,9.940000000000001,13.104999999999993,18.071700000000007,21.4,96,12.379979166666667,12.581864376934025,2.0,3.0,4.425,7.98,15.15,29.683999999999997,41.0,53.64999999999996,66.0,84,8.546809523809523,7.664846892860453,2.0,3.0,3.86,5.245,9.7375,18.487500000000004,25.4,33.63499000000001,39.65,15,豆制品的获取与消费,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
pooled_2023_2024,doulei_3,197,238,2,0.0,0.0,0.0,49,0.10588235294117647,170,4.077447058823529,3.0595758765747134,1.5628,2.0,2.5,3.0,4.14,6.314999999999996,10.0,17.120900000000002,21.4,238,8.522197478991597,9.57089482999962,1.8666,2.28,3.0,5.0,10.0,18.0,27.826999999999952,49.815,66.0,170,6.963144117647059,6.093431304562868,1.97225,2.6799999999999997,3.5,4.720000000000001,7.955,14.25,18.748499999999996,30.192930000000008,39.65,15,豆制品的获取与消费,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
2023,xiancai_4,36,37,1,0.0,0.0,0.0,19,0.12121212121212122,33,7.44560606060606,3.1700886614118735,1.7616,3.404,4.5,8.17,9.25,11.98,12.0,12.408,12.6,37,16.154229729729728,12.172937479070916,5.0,8.594999999999999,10.0,14.71,17.68,22.074999999999985,28.0,61.28000000000003,80.0,33,12.268356060606063,7.1741079081278185,3.8,7.784,9.19,10.521,13.34,18.800000000000004,20.0,37.88399999999999,46.3,16,豆制品的获取与消费,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
2024,xiancai_4,70,84,1,0.0,0.0,0.0,36,0.1323529411764706,68,10.383911764705882,4.589647317557311,3.7434,5.0,6.141,10.0,15.0,16.6,16.7,17.213499999999996,17.85,84,16.23834523809524,7.233160086102192,4.0,6.0,10.649999999999999,15.0,21.5,26.612500000000004,28.139999999999997,31.36,31.36,68,13.692845588235295,4.561048678395865,4.268000000000001,7.1305000000000005,10.149999999999999,14.75,17.798625,19.05,19.05,20.379499999999997,21.15,16,豆制品的获取与消费,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
pooled_2023_2024,xiancai_4,106,121,2,0.0,0.0,0.0,49,0.0891089108910891,101,9.423871287128714,4.3871964388738425,3.38,4.0,5.52,9.0,12.0,16.6,16.6,16.9,17.85,121,16.21262396694215,8.980126477923578,4.2,6.0,10.5,15.0,21.4,26.875,28.0,31.36,80.0,101,13.227418316831685,5.5550573189109524,4.0,7.615,9.79,13.09,16.6,19.05,20.0,21.15,46.3,16,豆制品的获取与消费,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
2023,roulei_1,123,171,0,0.0,0.0,0.0,26,0.12389380530973451,113,11.016991150442479,2.533857478852209,8.0,8.992,9.5,10.0,11.9,14.0,14.799999999999983,21.519999999999982,22.0,171,13.943976608187135,6.049738397798912,9.0,9.9,10.0,12.0,15.65,19.8,26.0,45.0,45.0,113,13.115309734513277,4.465672755827115,9.0,9.5,10.5,11.9,14.15,16.5,22.299999999999983,31.5,31.5,17,肉类,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
2024,roulei_1,92,127,2,0.0,0.0,0.0,30,0.12871287128712872,101,13.132633663366336,3.4250786960966964,3.0,10.0,11.9,13.5,14.99,17.0,18.778,19.9,25.0,127,18.274582677165355,8.135557314439062,10.0,12.8,14.0,15.99,18.0,27.560000000000002,29.52999999999999,50.0,57.25,101,16.165683168316832,4.923739984362888,8.25,11.2,14.0,15.0,16.35,22.5,25.0,30.9,34.875,17,肉类,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
pooled_2023_2024,roulei_1,215,298,2,0.0,0.0,0.0,46,0.09813084112149532,214,12.015495327102803,3.162956798084797,3.26,9.0,9.9,11.850000000000001,14.0,15.0,18.0,21.72700000000001,25.0,298,15.789570469798658,7.323273661963884,9.0,10.0,11.125,14.0,16.875,25.0,28.9,50.0,57.25,214,14.554971962616825,4.9191071345883115,9.0,9.5,11.2,14.0,15.4975,20.970000000000002,23.935,31.5,34.875,17,肉类,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
2023,roulei_2,109,142,3,0.0,0.0,0.0,27,0.16,75,13.327066666666667,3.6101889496607034,4.8388,9.84,11.0,13.0,14.89,17.9,18.599999999999994,24.0,24.0,142,16.70774647887324,5.40381627617175,9.9,11.100000000000001,14.0,15.0,17.8,22.810000000000002,28.8,36.0,36.0,75,15.556599999999998,4.445209474284678,10.7474,11.0,12.5,14.899999999999999,16.8,21.4,24.0,30.0,30.0,18,肉类,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
2024,roulei_2,83,117,1,0.0,0.0,0.0,33,0.10975609756097561,82,20.56790243902439,5.861696285921767,8.074200000000001,15.0,16.175,19.95,25.0,26.0,29.750000000000004,34.108999999999995,35.0,117,23.954529914529918,8.207986070739855,9.767999999999999,15.0,18.0,24.0,26.98,32.931999999999995,35.0,44.84800000000003,79.0,82,23.215536585365857,5.801601167228168,13.504100000000001,17.05,20.0,22.75,26.299999999999997,28.299999999999997,32.70500000000001,38.68599999999996,54.4,18,肉类,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
pooled_2023_2024,roulei_2,192,259,4,0.0,0.0,0.0,51,0.07643312101910828,157,17.108904458598726,6.098218257843885,4.9912,9.96,13.0,15.9,21.0,25.360000000000003,26.15999999999999,33.3848,35.0,259,19.981389961389958,7.701085773546919,9.732000000000001,13.0,15.0,17.8,24.9,28.8,34.00999999999999,38.8,79.0,157,19.55680891719745,6.44820453258289,10.89,11.860000000000001,14.899999999999999,18.9,24.0,27.636000000000003,29.19999999999999,34.38399999999999,54.4,18,肉类,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
2023,roulei_3,39,44,0,0.0,0.0,0.0,11,0.18181818181818182,22,33.465,9.530272444014539,17.1,25.0,26.0,31.715,38.75,43.42000000000001,47.79,57.47999999999999,60.0,43,47.40883720930233,16.743277998633804,17.240000000000002,30.4,35.0,40.0,60.0,74.00000000000003,75.0,80.0,80.0,22,44.32068181818182,9.551004471664166,26.5016,35.15,37.17875,42.5,49.5,55.0,59.75,63.16,64.0,19,肉类,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
2024,roulei_3,47,55,0,0.0,0.0,0.0,19,0.225,40,29.492624999999997,11.00376316675928,3.0,19.871,27.0,29.9,30.725,37.99,39.95499999999994,60.0,60.0,55,46.03212727272727,34.75301261124819,17.0,28.0,30.0,32.9,41.45,73.99020000000003,109.28,196.0,196.0,40,40.1809,22.086721690377797,15.5,28.45,30.0,31.695,42.775,63.42025000000003,86.05674999999992,112.975,112.975,19,肉类,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
pooled_2023_2024,roulei_3,86,99,0,0.0,0.0,0.0,28,0.14516129032258066,62,30.90217741935484,10.599681507006403,3.0,23.909,27.0,29.975,35.0,40.0,47.789999999999985,60.0,60.0,98,46.636193877551015,28.181954855500848,16.73,28.926000000000002,32.0,37.995000000000005,55.400000000000006,75.0,83.53194999999998,196.0,196.0,62,41.64985483870968,18.6354189659358,15.5,28.5,31.4,36.7,46.95,59.49999999999999,83.60799999999992,112.975,112.975,19,肉类,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
2023,roulei_4,19,24,0,0.0,0.0,0.0,6,0.3,10,34.077,8.548419022122031,14.5259,23.849,34.07,38.0,39.5,40.0,40.0,40.0,40.0,23,42.38478260869565,18.07743617923264,30.0,30.8,34.14,37.0,46.0,49.400000000000006,50.0,104.60000000000008,120.0,10,41.4525,14.372488621204981,22.48795,29.174500000000002,35.21,41.5,43.5,46.84999999999999,61.92499999999997,73.985,77.0,20,肉类,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
2024,roulei_4,29,31,0,0.0,0.0,0.0,12,0.1875,16,33.72625,10.23159852287673,18.57,21.8,27.94625,34.15,39.01875,39.875,45.0,56.99999999999999,60.0,31,42.302903225806446,21.41643904318182,20.0,21.8,28.8,32.0,55.0,76.3,86.8,93.8,93.8,16,43.0846875,15.99374583170455,19.42,21.8,27.95,46.65,58.415625,61.775,63.55,63.55,63.55,20,肉类,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
pooled_2023_2024,roulei_4,48,55,0,0.0,0.0,0.0,17,0.15384615384615385,26,33.86115384615385,9.441865102583526,14.6175,21.8,29.99625,36.5,39.25625,40.0,40.0,55.0,60.0,54,42.337777777777774,19.881472238362527,20.0,25.240000000000002,30.0,35.595,49.2425,60.0,84.69999999999992,106.11399999999998,120.0,26,42.45692307692308,15.116227725654511,19.68625,21.8,31.07,42.5,49.2375,61.775,63.55,73.6375,77.0,20,肉类,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
2023,roulei_9,27,30,0,0.0,0.0,0.0,11,0.18181818181818182,22,15.631818181818183,8.192411492387702,5.168,6.0,11.850000000000001,14.0,18.8,30.0,30.0,30.0,30.0,29,27.778275862068963,16.91902417588081,3.5572,4.99,13.6,28.0,44.0,52.8,52.8,56.544,58.0,21,23.440476190476193,10.568912184416368,6.5,9.7,16.0,24.5,35.8,37.5,37.5,37.5,37.5,21,肉类,下水内脏,畜禽肉,5,肉类及制品,下水内脏,1,斤/月,元/斤,1
2024,roulei_9,56,62,1,0.0,0.0,0.0,21,0.21951219512195122,41,12.78180487804878,13.782084835429494,2.0,3.98,5.89,7.9,14.833,25.0,35.0,62.396400000000064,80.0,62,26.145338709677418,28.33407322418644,3.5,7.9,10.375,16.0,34.45,40.0,82.1249999999999,133.22500000000002,150.0,41,22.25201219512195,20.97506118122418,2.75,5.98,9.395,16.45,28.349999999999998,37.3165,66.75,95.70000000000007,115.0,21,肉类,下水内脏,畜禽肉,5,肉类及制品,下水内脏,1,斤/月,元/斤,1
pooled_2023_2024,roulei_9,83,92,1,0.0,0.0,0.0,27,0.14285714285714285,63,13.777047619047618,12.130710747504919,2.0,4.984,5.89,11.8,18.8,29.780000000000005,30.0,52.71442000000011,80.0,91,26.665725274725276,25.174895272458294,3.45,5.9,11.5,20.0,35.4,45.0,58.9,125.24999999999984,150.0,62,22.6545564516129,18.03992863797289,2.75,6.5,9.395,19.75,29.6875,37.48165,45.194999999999965,85.56750000000002,115.0,21,肉类,下水内脏,畜禽肉,5,肉类及制品,下水内脏,1,斤/月,元/斤,1
2023,roulei_5,93,113,0,0.0,0.0,0.0,21,0.14492753623188406,69,8.286666666666667,1.374672866610845,5.6088000000000005,6.5,6.99,8.8,9.8,9.9,9.9,10.0,10.0,113,15.287964601769911,8.994011217718715,6.0600000000000005,7.598000000000001,8.9,10.0,23.9,29.9,33.79999999999998,35.0,35.0,69,13.659057971014494,4.974649135969461,7.4744,8.488,9.4,11.495000000000001,17.45,21.4,22.0,22.4,22.4,22,肉类,鸡肉,畜禽肉,5,肉类及制品,鸡肉,1,斤/月,元/斤,1
2024,roulei_5,71,80,1,0.0,0.0,0.0,28,0.08571428571428572,70,10.201571428571429,4.261565469219874,6.58,6.972,7.2,8.95,10.7425,15.8,17.504999999999995,23.720000000000027,32.0,80,22.50825,16.326375242052467,6.5,8.98,14.5,20.0,25.8,30.0,35.14999999999999,110.0,110.0,70,17.10692857142857,8.87458576468919,7.390000000000001,8.428,13.375,16.825,19.0,21.95,25.659999999999997,59.3625,59.3625,22,肉类,鸡肉,畜禽肉,5,肉类及制品,鸡肉,1,斤/月,元/斤,1
pooled_2023_2024,roulei_5,164,193,1,0.0,0.0,0.0,38,0.11510791366906475,139,9.251007194244604,3.3068034928806362,5.930400000000001,6.756,7.0,8.8,9.9,12.360000000000001,15.8,19.582000000000004,32.0,193,18.280829015544043,13.022272040654824,6.46,8.0,9.0,15.0,25.8,29.9,35.0,48.81999999999894,110.0,139,15.395395683453238,7.386928324940436,7.390000000000001,8.488,9.8,14.899999999999999,18.445,21.51,22.4,50.10475000000011,59.3625,22,肉类,鸡肉,畜禽肉,5,肉类及制品,鸡肉,1,斤/月,元/斤,1
2023,roulei_6,13,16,0,0.0,0.0,0.0,3,0.6,5,6.598000000000001,1.9514148713177317,4.0396,4.396,4.99,8.0,8.0,8.0,8.0,8.0,8.0,16,8.705625000000001,4.533310738301535,4.0,4.5,5.9,6.0,12.25,16.0,16.0,16.0,16.0,5,9.998000000000001,2.9406665910980117,5.6104,6.694,8.5,12.0,12.0,12.0,12.0,12.0,12.0,23,肉类,其他禽肉（鸭肉/鹅肉/其他）,畜禽肉,5,肉类及制品,其他禽肉（鸭肉/鹅肉/其他）,1,斤/月,元/斤,1
2024,roulei_6,36,37,0,0.0,0.0,0.0,13,0.32142857142857145,28,8.215285714285715,2.3701170444163306,5.32183,6.4857,6.99,7.245,9.100000000000001,10.0,11.949999999999996,15.847000000000001,16.9,37,15.011027027027025,11.790680930497814,4.58,6.99,6.99,10.0,20.0,24.279999999999998,44.95,50.934000000000005,54.3,28,12.025678571428571,6.388224895758059,6.99,6.99,6.99,10.0,14.725000000000001,19.505350000000007,25.584500000000002,29.753165000000003,31.294999999999998,23,肉类,其他禽肉（鸭肉/鹅肉/其他）,畜禽肉,5,肉类及制品,其他禽肉（鸭肉/鹅肉/其他）,1,斤/月,元/斤,1
pooled_2023_2024,roulei_6,49,53,0,0.0,0.0,0.0,14,0.2727272727272727,33,7.970242424242425,2.3584946209168973,4.3168,6.219,6.99,7.5,8.29,10.0,11.199999999999996,15.651999999999997,16.9,53,13.107509433962262,10.522027860311837,4.0,5.9,6.99,10.0,16.0,23.8,32.979999999999976,49.437999999999974,54.3,33,11.718454545454545,6.004912030168037,5.970000000000001,6.99,6.99,10.0,13.35,16.69,25.584500000000002,29.46764,31.294999999999998,23,肉类,其他禽肉（鸭肉/鹅肉/其他）,畜禽肉,5,肉类及制品,其他禽肉（鸭肉/鹅肉/其他）,1,斤/月,元/斤,1
2023,roulei_7,21,24,0,0.0,0.0,0.0,8,0.23076923076923078,13,9.753846153846153,3.166916319443722,4.656,6.24,9.0,10.0,11.0,11.0,13.79999999999999,17.159999999999993,18.0,24,12.53125,4.065010094110148,8.23,9.1,10.7625,12.0,13.0,15.339999999999998,17.699999999999996,26.161999999999995,28.6,13,11.26346153846154,2.2623875521000896,8.565,9.82,10.25,11.0,12.0,12.0,14.399999999999991,17.279999999999994,18.0,24,肉类,活禽（鸡）,畜禽肉,5,肉类及制品,活禽（鸡）,1,斤/月,元/斤,1
2024,roulei_7,20,20,0,0.0,0.0,0.0,6,0.42857142857142855,14,9.775,2.7556061737148476,2.7795,9.0,9.0,9.5,11.75,12.700000000000001,13.0,13.0,13.0,20,19.6,16.878513279501718,4.140000000000001,9.0,9.0,15.0,21.25,27.00000000000003,46.75000000000003,73.34999999999995,80.0,14,13.601785714285715,6.100192811310543,3.27975,9.0,9.625,12.5,16.875,17.0,21.199999999999996,27.43999999999999,29.0,24,肉类,活禽（鸡）,畜禽肉,5,肉类及制品,活禽（鸡）,1,斤/月,元/斤,1
pooled_2023_2024,roulei_7,41,44,0,0.0,0.0,0.0,11,0.2962962962962963,27,9.764814814814814,2.9027114252425474,2.539,7.12,9.0,10.0,11.0,12.400000000000002,13.0,16.699999999999992,18.0,44,15.744318181818182,12.140606551210267,5.15,9.0,9.912500000000001,12.0,16.5,25.0,28.060000000000006,64.95000000000002,80.0,27,12.475925925925926,4.731393118359099,3.9785,9.0,10.125,11.5,14.25,17.0,17.7,26.139999999999983,29.0,24,肉类,活禽（鸡）,畜禽肉,5,肉类及制品,活禽（鸡）,1,斤/月,元/斤,1
2023,roulei_8,3,3,0,,,,0,,0,,,,,,,,,,,,3,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0,,,,,,,,,,,,25,肉类,活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,活禽（鸭/鹅/其他）,1,斤/月,元/斤,1
2024,roulei_8,11,11,0,0.0,0.0,0.0,4,0.5,6,18.333333333333332,7.474400756359446,9.15,10.5,12.5,19.5,25.0,25.0,25.0,25.0,25.0,11,20.09090909090909,6.714976477316141,11.0,11.0,13.0,25.0,25.0,25.0,26.5,27.700000000000003,28.0,6,19.916666666666668,5.953290406713473,12.1,13.0,15.125,21.75,25.0,25.0,25.0,25.0,25.0,25,肉类,活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,活禽（鸭/鹅/其他）,1,斤/月,元/斤,1
pooled_2023_2024,roulei_8,14,14,0,0.0,0.0,0.0,4,0.5,6,18.333333333333332,7.474400756359446,9.15,10.5,12.5,19.5,25.0,25.0,25.0,25.0,25.0,14,18.785714285714285,6.4352224446469535,11.0,11.3,14.0,17.0,25.0,25.0,26.049999999999997,27.61,28.0,6,19.916666666666668,5.953290406713473,12.1,13.0,15.125,21.75,25.0,25.0,25.0,25.0,25.0,25,肉类,活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,活禽（鸭/鹅/其他）,1,斤/月,元/斤,1
2023,shuichan_1,69,81,0,0.0,0.0,0.0,34,0.1232876712328767,73,12.199726027397261,9.096604521071882,2.9,5.0,6.99,9.0,13.0,23.8,27.399999999999967,42.00000000000003,60.0,81,36.06271604938272,25.742586651905523,7.798,15.0,25.0,29.9,39.9,58.0,120.0,120.0,120.0,73,24.842945205479452,13.681583318756164,6.0,12.052,19.0,21.45,26.8,35.0,63.5,64.0,64.0,26,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,1
2024,shuichan_1,76,90,0,0.0,0.0,0.0,31,0.15853658536585366,82,10.652560975609758,5.950867726119186,3.9059,4.982,6.0,9.0,12.75,20.899000000000004,22.0,30.0,30.0,90,44.480444444444444,64.04188220379491,5.66,10.0,13.9925,21.0,48.599999999999994,128.0,159.99,204.5199999999998,500.0,82,28.9115243902439,34.222788123829616,6.7454,8.541,12.75,16.689999999999998,33.375,74.5,84.44025,119.3689499999996,262.5,26,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,1
pooled_2023_2024,shuichan_1,145,171,0,0.0,0.0,0.0,53,0.09032258064516129,155,11.381225806451614,7.610124095399605,3.4335999999999998,4.988,6.0,9.0,13.0,21.599999999999994,25.0,32.30000000000004,60.0,171,40.49309941520468,49.767490833540414,6.591,11.0,17.84,25.0,41.0,98.0,128.0,162.3930000000001,500.0,155,26.99535483870968,26.602385958255194,6.0,10.186,13.5,20.445,29.799999999999997,62.09999999999998,74.5,85.09030000000001,262.5,26,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,1
2023,xiancai_3,48,57,0,0.0,0.0,0.0,28,0.08163265306122448,49,12.91784081632653,7.128934643728284,3.96,7.3718,8.33,10.42,15.813,24.150000000000002,27.19999999999999,34.23999999999995,40.0,57,23.86296666666667,16.97756086127608,9.344624,10.0,14.2857,22.0,29.76,31.88,33.599999999999966,93.91999999999987,125.0,49,18.800645918367344,10.959363671326892,7.688,9.63736,12.21,17.2925,22.0,26.780000000000012,35.959999999999944,59.763599999999904,71.43,27,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）,1,斤/月,元/斤,1
2024,xiancai_3,39,41,0,0.0,0.0,0.0,21,0.13333333333333333,30,17.526500000000002,9.311607612415065,4.509,7.44,8.59375,18.25,24.5575,27.73330000000001,35.01389999999999,35.571,35.571,41,42.60931707317073,77.91378317808699,5.84,14.29,16.67,22.0,30.0,71.6,123.438,349.3752000000005,500.0,30,24.776283333333332,19.313737257625963,5.1818,10.83,12.3975,19.595,25.8,49.52,66.90247499999992,79.50450000000001,79.50450000000001,27,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）,1,斤/月,元/斤,1
pooled_2023_2024,xiancai_3,87,98,0,0.0,0.0,0.0,45,0.06329113924050633,79,14.66796455696202,8.281224950855787,3.702,7.3718,8.33,10.83,20.0,25.84,28.633299999999963,36.545379999999994,40.0,98,31.70582755102041,52.4988006231439,8.6045,10.83,15.15625,22.0,30.0,37.47999999999999,72.85999999999993,136.25000000000043,500.0,79,21.069875316455693,14.870037319683295,5.928,10.11657,12.279250000000001,17.5,22.61075,40.95000000000002,49.51999999999998,79.50450000000001,79.50450000000001,27,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）,1,斤/月,元/斤,1
2023,roulei_11,74,97,1,0.0,0.0,0.021739130434782608,50,0.06521739130434782,92,8.074435869565217,3.355954804067092,0.5,3.4136699999999998,6.887499999999999,8.195,9.7,12.5,14.29,15.483950000000002,15.625,97,15.220119587628865,6.218937138233496,1.0,8.19998,10.625,15.625,18.0,23.33,25.0,25.59999999999988,40.0,92,11.812009239130438,4.075093558529098,1.6600000000000001,7.083349999999999,9.60405,12.1475,14.0625,16.57,17.120375,20.450000000000017,25.0,28,肉制品,含淀粉的火腿肠,肉制品,7,肉类及制品,含淀粉的火腿肠,1,斤/月,元/斤,1
2024,roulei_11,84,98,2,0.0,0.0,0.0,45,0.10465116279069768,86,13.720965116279071,6.8740721203967485,3.442,7.0,10.0,13.16,16.8425,19.9,20.0,44.49,45.0,98,20.139948979591836,14.287873851751199,1.9994,10.0,13.195,17.75,24.2,27.07199999999999,31.557499999999983,77.79120000000005,117.6,86,17.739290697674416,9.232136977608393,6.672,9.5,13.44,16.627499999999998,19.6,22.85,23.6825,48.78500000000022,81.0,28,肉制品,含淀粉的火腿肠,肉制品,7,肉类及制品,含淀粉的火腿肠,1,斤/月,元/斤,1
pooled_2023_2024,roulei_11,158,195,3,0.0,0.0,0.011235955056179775,85,0.07865168539325842,178,10.802534269662921,6.040620291670466,0.885,4.85,7.5,9.7,14.28,17.113000000000003,19.9,27.92199999999978,45.0,195,17.69264923076923,11.282380714121846,1.9212,9.244000000000002,12.0,16.667,21.939999999999998,25.8,30.19999999999998,64.00160000000004,117.6,178,14.675751966292134,7.634873352682899,1.9271,7.5,11.0,13.59125,17.353125,20.688000000000002,22.85,42.226049999999994,81.0,28,肉制品,含淀粉的火腿肠,肉制品,7,肉类及制品,含淀粉的火腿肠,1,斤/月,元/斤,1
2023,roulei_12,6,6,0,0.0,0.0,0.0,2,0.5,2,53.18,3.3658282784479696,50.8476,51.275999999999996,51.989999999999995,53.18,54.370000000000005,55.084,55.322,55.5124,55.56,6,84.575,26.347367041129555,35.35,56.5,84.3625,98.225,99.0,99.0,99.0,99.0,99.0,2,70.9525,4.486592526628644,67.84345,68.4145,69.36625000000001,70.9525,72.53875,73.4905,73.80775,74.06155,74.125,29,肉制品,肉干/肉脯,肉制品,7,肉类及制品,肉干/肉脯,1,斤/月,元/斤,1
2024,roulei_12,27,27,0,0.0,0.0,0.0,15,0.2222222222222222,27,51.803407407407406,29.1670195403318,7.9,16.0,39.3,39.5,63.75,100.0,100.0,114.79999999999997,120.0,27,143.73077777777777,88.43973038191399,93.841,94.1,107.57,109.15,116.0,231.4680000000002,283.5012,443.91435999999965,500.0,27,97.76709259259259,52.848425707219334,58.52,63.428,72.00999999999999,75.56649999999999,107.0,146.4840000000001,179.34029999999998,277.1851399999998,310.0,29,肉制品,肉干/肉脯,肉制品,7,肉类及制品,肉干/肉脯,1,斤/月,元/斤,1
pooled_2023_2024,roulei_12,33,33,0,0.0,0.0,0.0,17,0.20689655172413793,29,51.898344827586214,28.115481363572965,7.9,18.700000000000003,39.3,39.5,62.5,100.0,100.0,114.39999999999998,120.0,33,132.9751818181818,83.66806716329062,48.04,94.1,99.0,109.14,114.0,196.4952,282.7164,430.97151999999994,500.0,29,95.91781034482759,51.40033954765797,58.52,65.064,69.7,74.325,107.0,138.99199999999996,177.85739999999996,274.66091999999986,310.0,29,肉制品,肉干/肉脯,肉制品,7,肉类及制品,肉干/肉脯,1,斤/月,元/斤,1
2023,roulei_13,11,11,0,0.0,0.0,0.0,3,0.5,6,14.466666666666667,4.421161235090468,11.0,11.0,11.0,12.4,18.45,20.0,20.0,20.0,20.0,11,28.46272727272727,13.678928204292243,12.195,12.195,16.6,30.0,37.5,49.0,49.0,49.0,49.0,6,25.166666666666668,5.2977982848223535,15.975,20.25,25.0,25.25,28.875,30.0,30.0,30.0,30.0,30,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,1
