period,item_code,households,module_observed_households,consumer_households,participation_total,participation_purchase,participation_own,participation_gift,quantity_total_sum,quantity_household_mean_all,quantity_household_sd_all,quantity_household_mean_winsor_p99,quantity_household_mean_excl_top1pct_consumers,quantity_consumer_mean_excl_top1pct_consumers,quantity_percap_mean_all,purchase_quantity_share,own_quantity_share,gift_quantity_share,top1pct_quantity_share,outer_fence_3iqr,share_consumers_above_outer_fence,quantity_consumer_n,quantity_consumer_mean,quantity_consumer_sd,quantity_consumer_p01,quantity_consumer_p10,quantity_consumer_p25,quantity_consumer_p50,quantity_consumer_p75,quantity_consumer_p90,quantity_consumer_p95,quantity_consumer_p99,quantity_consumer_max,quantity_pc_consumer_n,quantity_pc_consumer_mean,quantity_pc_consumer_sd,quantity_pc_consumer_p01,quantity_pc_consumer_p10,quantity_pc_consumer_p25,quantity_pc_consumer_p50,quantity_pc_consumer_p75,quantity_pc_consumer_p90,quantity_pc_consumer_p95,quantity_pc_consumer_p99,quantity_pc_consumer_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
2023,zhushi_1,1762,1762,1654,0.9387060158910329,0.753688989784336,0.1061293984108967,0.09364358683314415,1017777.9086043572,577.6265088560483,20530.808993102233,15.265620879099036,12.393587222497539,13.211246000768602,192.90550352060205,0.025487475506664036,0.9707233026690414,0.0037892218242945876,0.978750953896303,33.08926722426852,0.13482466747279323,1654,615.3433546580152,21190.347742037506,0.06357448539835098,0.24638639584317432,0.4979073469338904,1.3559322033898304,8.645747316267547,42.857142857142854,82.82142857142846,310.0714285714292,857142.8571428572,1653,205.39242964081043,7054.699500110499,0.022384887052708736,0.08600928761980042,0.2066115702479339,0.5128205128205129,3.571428571428571,18.911564625850307,32.14285714285714,151.42857142857176,285714.28571428574,1,主食部分,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
2024,zhushi_1,1803,1803,1761,0.9767054908485857,0.6295063782584581,0.331669439822518,0.026622296173044926,73271.25369146038,40.638521182174365,199.60948360090623,30.444413206146763,28.209952698221766,28.889710594564455,15.326046219520643,0.5186014753318778,0.44378333486226224,0.03761518980585984,0.3127623313453064,166.16541353383457,0.033503691084611015,1761,41.607753373912765,201.87723223116666,0.1745214856128787,0.7848837209302326,1.7543859649122806,15.0,42.857142857142854,85.71428571428571,119.04761904761905,252.02841357537565,5202.857142857143,1761,15.55232515291504,78.93188469617508,0.0743274582560297,0.28409090909090906,0.6868131868131867,5.714285714285714,15.0,30.0,42.857142857142854,107.14285714285714,2601.4285714285716,1,主食部分,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_1,3565,3565,3415,0.9579242636746143,0.6908835904628331,0.22019635343618513,0.05974754558204769,1091049.1622958174,306.0446458052784,14434.875655472226,22.700101257747477,20.375598012427695,21.279840527772123,103.43990154793997,0.058603381030092445,0.9353357569968582,0.0060608619730494,0.9340764252707723,117.45042492917847,0.0404099560761347,3415,319.48730960346046,14748.43191853791,0.08553865745842823,0.3885003885003885,0.8498583569405099,3.4615384615384617,30.0,64.28571428571428,91.83673469387756,257.1428571428571,857142.8571428572,3414,107.46963409213329,4909.36686820796,0.035304546413930264,0.14044943820224717,0.33240997229916897,1.3284313725490198,10.714285714285714,25.0,40.42307692307681,123.60714285714168,285714.28571428574,1,主食部分,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
2023,zhushi_2_1,1762,1762,1132,0.6424517593643587,0.4619750283768445,0.15607264472190693,0.036322360953461974,47686.88784219729,27.064068014867928,420.50826802389577,11.124629065621939,9.731524481255592,15.205507001961863,8.34102552362835,0.6516455553435377,0.33586760106719893,0.012486843589263268,0.6428752511895398,38.38675017324698,0.12897526501766785,1132,42.12622600900819,524.1088077269537,0.0445051196402061,0.3389830508474576,0.8098587857884197,2.374375164430413,10.204081632653061,44.887218045112725,86.84873949579843,214.28571428571428,16700.0,1132,12.968378905994609,102.17669540590937,0.01678705807872282,0.1264759093505999,0.28328611898017,0.9028901850092973,4.2527399713467045,17.78571428571427,35.714285714285715,107.14285714285714,2783.3333333333335,2,主食部分,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
2024,zhushi_2_1,1803,1803,733,0.4065446478092069,0.38380476982806433,0.01774819744869662,0.005546311702717693,5425.0004313602185,3.008874337970171,13.820565476454309,2.7204661294288512,2.350577239914169,5.819705028477148,1.2618793254506564,0.8782108557690134,0.09869721909372663,0.023091925137260116,0.22225146356568587,27.324891175306682,0.0572987721691678,733,7.401091993670148,20.92037622637027,0.036775438891966765,0.17401415571284126,0.4155124653739612,1.5,7.1428571428571415,21.14285714285724,30.0,85.71428571428571,377.1428571428571,733,3.0763688329881624,8.562328475124293,0.014082454545454546,0.06953433307024469,0.16666666666666666,0.5,2.380952380952381,8.571428571428571,12.199999999999989,42.857142857142854,100.71428571428571,2,主食部分,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_2_1,3565,3565,1865,0.5231416549789621,0.4224403927068724,0.08611500701262272,0.020757363253856943,53111.8882735575,14.898145378276999,295.994849672337,6.974401038465338,5.863595919543249,11.263440482502904,4.7745089586033895,0.674787584228084,0.3116423387702731,0.013570077001642936,0.6085186987966288,32.48571428571429,0.09919571045576407,1865,28.478224275365953,408.81600072653924,0.04221079284696946,0.25238409970729864,0.6,2.071823204419889,8.571428571428571,31.530612244898165,64.28571428571428,214.28571428571428,16700.0,1865,9.080527225826392,79.91723137031885,0.01433553838092743,0.0872093023255814,0.21551724137931036,0.8,3.2142857142857144,12.857142857142858,25.0,100.94362934362928,2783.3333333333335,2,主食部分,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
2023,zhushi_3,1762,1762,726,0.4120317820658343,0.2292849035187287,0.16061293984108968,0.02724177071509648,13880.865620217164,7.8779033031879475,188.95214989090758,1.9430889688276427,1.2531405230102746,3.061293143955462,3.616502819821394,0.06858022782612258,0.8985691346150806,0.03285063755879673,0.8416519158460353,7.487179487179487,0.11983471074380166,726,19.119649614624187,294.1188782747072,0.03519245696543537,0.08620689655172414,0.17094017094017094,0.43352601156069365,2.0,8.571428571428571,20.25,153.2142857142857,7714.285714285714,725,8.7793723626009,146.60501640768948,0.010674754163166477,0.04148237706799712,0.083,0.21067415730337077,0.75,3.3311688311688354,6.888418662262582,32.098510204081606,3857.142857142857,3,主食部分,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
2024,zhushi_3,1803,1803,317,0.17581808097615087,0.10926234054353855,0.06378258458125347,0.003882418191902385,1161.1189573073334,0.6439927661161028,4.001666261528332,0.5884753178722462,0.5013536875141443,2.88158237647906,0.25263296914020045,0.5535936318515199,0.4265542759943188,0.019852092154161408,0.22321888023466754,11.005524861878452,0.07255520504731862,317,3.6628358274679287,8.956786183636291,0.01799966267498735,0.1629010989010989,0.3314917127071823,0.8287292817679558,3.0,8.571428571428571,15.0,39.77142857142854,85.71428571428571,317,1.424148630452802,3.6293875267806213,0.005752848837209303,0.04340417000801925,0.09695290858725762,0.2783333333333334,1.0773480662983426,3.571428571428571,6.085714285714281,16.45714285714275,42.857142857142854,3,主食部分,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_3,3565,3565,1043,0.29256661991584854,0.16858345021037868,0.11164095371669004,0.015427769985974754,15041.9845775245,4.219350512629593,132.8994642446149,1.1043230231485222,0.8691973648473142,2.9933405374683666,1.9217648939213963,0.10601932072371216,0.8621334237784788,0.03184725549780899,0.7946329875059782,7.9714285714285715,0.1236816874400767,1043,14.421845232525884,245.4868169559271,0.022773636363636364,0.08670520231213873,0.2,0.51,2.142857142857143,8.571428571428571,17.142857142857142,77.07128571428422,7714.285714285714,1042,6.5417467166403,122.32556457626727,0.010237760834670947,0.042028609196487585,0.08432900775439152,0.213980463980464,0.833,3.5551948051948012,6.428571428571429,28.242857142856792,3857.142857142857,3,主食部分,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
2023,zhushi_3_1,1762,1762,719,0.40805902383654935,0.27014755959137343,0.11691259931895573,0.02383654937570942,24528.12588880338,13.920616281954246,334.54412224041056,2.021800001753178,1.4446067129519218,3.563769584413039,4.1033755216049155,0.06243584652844389,0.923665888450583,0.013898265020973497,0.8966965439591813,6.117079280872385,0.14325452016689846,719,34.11422237663892,523.2683381638213,0.03332247801652893,0.1266949152542373,0.25,0.5084745762711864,1.7167698202180963,12.100000000000023,21.428571428571427,128.57142857142856,12857.142857142857,718,10.058413534853274,125.08072878579553,0.010590284715284714,0.0423728813559322,0.08504619495235642,0.2112692820415159,0.665,4.285714285714286,10.714285714285714,75.6000000000014,2571.4285714285716,4,主食部分,玉米棒,主食原粮/薯类,1,主食,玉米棒,1,斤/月,元/斤,1
