item_order,module,item_code,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
1,主食部分,zhushi_1,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
2,主食部分,zhushi_2_1,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
3,主食部分,zhushi_3,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
4,主食部分,zhushi_3_1,玉米棒,主食原粮/薯类,1,主食,玉米棒,1,斤/月,元/斤,1
5,主食部分,zhushi_5,其他杂粮（小米/薏米/燕麦等）,主食原粮/薯类,1,主食,其他杂粮（小米/薏米/燕麦等）,1,斤/月,元/斤,1
6,主食部分,zhushi_6,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
7,主食部分,zhushi_7,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
8,主食加工品的获取与消费,zhushi_1_1,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
9,主食加工品的获取与消费,zhushi_2,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
10,主食加工品的获取与消费,zhushi_2_2,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
11,主食加工品的获取与消费,zhushi_8,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
12,豆类过去7天的消费,doulei_1,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
13,豆类过去7天的消费,doulei_4,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
14,豆制品的获取与消费,doulei_2,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
15,豆制品的获取与消费,doulei_3,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
16,豆制品的获取与消费,xiancai_4,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
17,肉类,roulei_1,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
18,肉类,roulei_2,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
19,肉类,roulei_3,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
20,肉类,roulei_4,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
21,肉类,roulei_9,下水内脏,畜禽肉,5,肉类及制品,下水内脏,1,斤/月,元/斤,1
22,肉类,roulei_5,鸡肉,畜禽肉,5,肉类及制品,鸡肉,1,斤/月,元/斤,1
