period,item_code,households,purchase_uv_share_lt_0_1,purchase_uv_share_lt_0_5,purchase_uv_n_unique_3dp,own_price_share_lt_0_1,purchase_uv_n,purchase_uv_mean,purchase_uv_sd,purchase_uv_p01,purchase_uv_p10,purchase_uv_p25,purchase_uv_p50,purchase_uv_p75,purchase_uv_p90,purchase_uv_p95,purchase_uv_p99,purchase_uv_max,own_price_n,own_price_mean,own_price_sd,own_price_p01,own_price_p10,own_price_p25,own_price_p50,own_price_p75,own_price_p90,own_price_p95,own_price_p99,own_price_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
2023,zhushi_1,1762,0.0,0.0016680567139282735,117,0.0,1199,3.2760681271666052,3.136591661578663,1.0,2.2,2.5,3.0,3.5,4.0,5.0,8.509999999999991,101.1,149,3.0913422818791947,3.7876719758865574,1.048,1.4,2.0,2.5,3.0,3.6000000000000085,6.149999999999999,25.200000000000102,32.0,1,主食部分,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
2024,zhushi_1,1803,0.0,0.006222222222222222,115,0.0,1125,2.802976951600041,1.1195853532678033,1.0,2.0,2.4,2.6,3.0,3.6,4.0,6.0,20.0,413,3.1156658595641646,8.628457537161752,1.0,1.3180000000000003,2.0,2.5,3.0,3.960000000000002,5.0,11.759999999999991,171.6,1,主食部分,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_1,3565,0.0,0.00387263339070568,169,0.0,2324,3.047054541748195,2.3950173311978937,1.0,2.0,2.5,2.8,3.3333333333333335,4.0,4.6,7.884999999999991,101.1,562,3.109217081850534,7.646006711825685,1.0,1.391,2.0,2.5,3.0,3.9800000000000066,5.0,20.0,171.6,1,主食部分,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1
2023,zhushi_2_1,1762,0.0009293680297397769,0.0037174721189591076,99,0.0,1076,2.367469170393068,2.0679349972923315,1.0,1.92,2.0,2.2,2.4,2.6,3.0,5.0,50.0,155,5.46141935483871,11.107729345780058,1.054,1.58,2.0,2.0,2.6500000000000004,14.599999999999994,25.0,54.60000000000008,80.0,2,主食部分,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
2024,zhushi_2_1,1803,0.0,0.003929273084479371,67,0.0,509,3.1959343930463775,1.9896558519197733,1.0,2.0,2.4,2.8,3.3333333333333335,5.0,6.0,11.90400000000002,20.0,23,2.065086956521739,0.972318078943468,0.54526,1.0,1.3399999999999999,2.0,2.4,3.0,3.0,4.560000000000002,5.0,2,主食部分,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_2_1,3565,0.0006309148264984228,0.0037854889589905363,132,0.0,1585,2.6335188854281055,2.078825601601074,1.0,1.96,2.0,2.3,2.6,3.3333333333333335,4.699999999999989,8.160000000000082,50.0,178,5.022567415730338,10.429369286033983,1.0,1.5,2.0,2.0,2.575,7.10000000000008,22.11000000000002,52.2999999999999,80.0,2,主食部分,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1
2023,zhushi_3,1762,0.003937007874015748,0.011811023622047244,51,0.0,254,2.9220509936257972,2.2928655696431464,0.453,1.8,2.0,2.5,3.0,5.0,5.0,7.823333333333333,33.333333333333336,170,3.780235294117648,5.8775810095812995,0.938,1.5090000000000001,2.0,2.5,3.0,6.0,7.549999999999983,36.200000000000045,50.0,3,主食部分,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
2024,zhushi_3,1803,0.0,0.0,35,0.0,119,4.081212388698795,5.347390699314295,1.0899999999999999,2.0,2.5,3.5,4.0,5.200000000000003,7.014285714285713,14.427272727272705,58.0,98,3.1824489795918365,1.1953009897649078,1.0,2.0,2.575,3.0,3.5,5.0,5.0,5.150000000000006,10.0,3,主食部分,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_3,3565,0.002680965147453083,0.00804289544235925,66,0.0,373,3.2918638783809895,3.5970134057687826,0.563529411764706,2.0,2.0,2.5,3.5,5.0,6.0,10.509090909090858,58.0,268,3.561641791044776,4.740087025549483,1.0,1.6,2.0,3.0,3.5,5.0,6.0,23.29999999999984,50.0,3,主食部分,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1
2023,zhushi_3_1,1762,0.0,0.0031446540880503146,62,0.0,318,3.8811223530563157,3.232615477935482,0.5283333333333333,1.0,2.0,3.0,5.0,7.0,10.0,19.43333333333328,24.0,99,2.9817171717171713,4.469806652533044,0.996,1.296,1.5,2.0,2.5,5.0,7.099999999999994,20.39999999999992,40.0,4,主食部分,玉米棒,主食原粮/薯类,1,主食,玉米棒,1,斤/月,元/斤,1
2024,zhushi_3_1,1803,0.0,0.016025641025641024,56,0.0,312,4.577378293003292,11.74038457643229,0.30366666666666664,1.5,2.0,3.0,5.0,6.666666666666667,10.0,20.0,200.0,335,2.704217910447761,2.7251243607795557,0.736,1.3,1.8,2.0,3.0,4.0,6.0,10.0,37.5,4,主食部分,玉米棒,主食原粮/薯类,1,主食,玉米棒,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_3_1,3565,0.0,0.009523809523809525,88,0.0,630,4.225934818553866,8.575496958405125,0.5,1.25,2.0,3.0,5.0,7.0,10.0,20.0,200.0,434,2.7675184331797236,3.2037177077466796,0.8660000000000001,1.3,1.5,2.0,3.0,4.139999999999998,6.0,13.35000000000008,40.0,4,主食部分,玉米棒,主食原粮/薯类,1,主食,玉米棒,1,斤/月,元/斤,1
2023,zhushi_5,1762,0.0,0.005369127516778523,98,0.0,745,4.983083749462476,1.958093316964016,1.0,2.9000000000000012,4.0,5.0,6.0,7.0,8.0,11.11999999999989,23.88888888888889,64,5.709375,3.563426153630934,2.0,3.1500000000000004,5.0,5.25,6.0,6.700000000000003,9.699999999999989,18.659999999999954,30.0,5,主食部分,其他杂粮（小米/薏米/燕麦等）,主食原粮/薯类,1,主食,其他杂粮（小米/薏米/燕麦等）,1,斤/月,元/斤,1
