item_order	analytic_family	item_name	quantity_unit	price_unit	participation_total	quantity_household_mean_all	quantity_consumer_p50	quantity_household_mean_winsor_p99	quantity_household_mean_excl_top1pct_consumers	quantity_consumer_mean	quantity_consumer_mean_excl_top1pct_consumers	quantity_consumer_p90	quantity_consumer_p99	quantity_consumer_max	quantity_percap_mean_all	purchase_quantity_share	own_quantity_share	gift_quantity_share	purchase_uv_n	purchase_uv_p10	purchase_uv_p50	purchase_uv_p90	purchase_uv_p99	community_low_n	community_low_p10	community_low_p50	community_low_p90	community_high_p50	community_mid_p50	top1pct_quantity_share	low_share_lt_0_5
1	主食原粮/薯类	大米	斤/月	元/斤	0.9579242636746143	306.0446458052784	3.4615384615384617	22.700101257747477	20.375598012427695	319.48730960346046	21.279840527772123	64.28571428571428	257.1428571428571	857142.8571428572	103.43990154793997	0.058603381030092445	0.9353357569968582	0.0060608619730494	2324	2.0	2.8	4.0	7.884999999999991	334	2.0	2.5	3.5	3.94	3.4000000000000004	0.9340764252707723	0.0
2	主食原粮/薯类	面粉	斤/月	元/斤	0.5231416549789621	14.898145378276999	2.071823204419889	6.974401038465338	5.863595919543249	28.478224275365953	11.263440482502904	31.530612244898165	214.28571428571428	16700.0	4.7745089586033895	0.674787584228084	0.3116423387702731	0.013570077001642936	1585	1.96	2.3	3.3333333333333335	8.160000000000082	263	1.964	2.39	4.0	3.0	2.75	0.6085186987966288	0.0
3	主食原粮/薯类	玉米面	斤/月	元/斤	0.29256661991584854	4.219350512629593	0.51	1.1043230231485222	0.8691973648473142	14.421845232525884	2.9933405374683666	8.571428571428571	77.07128571428422	7714.285714285714	1.9217648939213963	0.10601932072371216	0.8621334237784788	0.03184725549780899	373	2.0	2.5	5.0	10.509090909090858	49	2.248	2.95	5.320000000000001	3.0	3.0	0.7946329875059782	0.0
4	主食原粮/薯类	玉米棒	斤/月	元/斤	0.4569424964936886	9.182123090932462	0.872093023255814	3.226819544548973	2.637738836133822	20.094701546454406	5.805643542557568	17.142857142857142	126.17142857142879	12857.142857142857	2.92189218444685	0.14176302448325276	0.8340473893184353	0.024189586198312064	630	1.25	3.0	7.0	20.0	49	3.0	4.38	5.1720000000000015	4.98	5.0	0.7141009184503029	0.0
5	主食原粮/薯类	其他杂粮（小米/薏米/燕麦等）	斤/月	元/斤	0.4044880785413745	1.5515956860453295	0.42432899601478846	1.1532081885498373	0.9769943800909937	3.8359491128651872	2.4305045895746518	7.692857142857163	42.857142857142854	429.28714285714284	0.6343863598785829	0.6926264400057375	0.15826750917260793	0.14910605082165443	888	3.0	5.0	8.0	25.0	166	2.59	4.26	7.535	7.0	6.0	0.37297866122723805	0.0
6	主食原粮/薯类	土豆	斤/月	元/斤	0.8532959326788219	20.73633205979722	2.0	8.348912577068747	7.132048401679618	24.301454238388263	8.370859864342666	25.714285714285715	147.0714285714296	8142.857142857142	7.428163641335478	0.19579729271610177	0.7888663430168981	0.015336364267000264	1389	1.0	2.0	3.0	5.071999999999934	126	1.0	1.59	2.5	1.9	1.75	0.6590510525630427	0.0
7	主食原粮/薯类	红薯	斤/月	元/斤	0.3607293127629734	7.460263706416225	1.7416582406471184	2.0799491401970323	1.8118919238102045	20.681057630928333	5.055648164472778	12.857142857142858	75.32142857142877	10714.285714285714	2.348804010297966	0.22585607439522676	0.7569468858566494	0.01719703974812398	269	1.2	2.0	4.0	8.97999999999999	41	2.0	2.96	5.0	3.5	3.5	0.7580132800491025	0.0
8	主食加工品	米线/米粉	斤/月	元/斤	0.38288920056100983	1.2692490055413852	0.75	1.2022977240038486	1.088761302752385	3.3149250584285994	2.861725674369889	8.571428571428571	30.0	128.57142857142856	0.49671128081537796	0.9622009793866415	0.010170752262057834	0.027628268351300524	833	2.0	4.0	16.53333333333338	60.0	81	2.5	5.0	12.0	6.0	6.0	0.14556902738703173	0.0
9	主食加工品	面食（馒头/面条/面包/饼/玉米饼）	斤/月	元/斤	0.85890603085554	10.736797011996035	1.6864466292134832	7.013397292500942	6.135068697322379	12.500549101164554	7.1531945814375755	21.428571428571427	107.14285714285714	3428.5714285714284	3.823527906718679	0.35271944719805726	0.6229839451852105	0.02429660761673225	2059	2.0	3.5	10.0	25.0	195	2.0	3.27	7.0	5.775	5.12875	0.4335628896520626	0.0
10	主食加工品	带馅的面食（包子/饺子）	斤/月	元/斤	0.5548387096774193	2.2656565183725794	0.5128205128205128	1.986473989821187	1.7558919369731099	4.083450701718021	3.179079119800651	10.714285714285714	42.857142857142854	668.5714285714286	0.8272879528112316	0.38313504984598074	0.5968617317943539	0.02000321835966545	610	2.5	7.65625	20.0	48.03333333333323	67	3.956	5.9	9.904	12.4	11.45	0.22934425555681145	0.0
11	主食加工品	其他主食加工品（方便面等）	斤/月	元/斤	0.382328190743338	1.4487256907308128	0.41750000000000004	0.8554229834407426	0.697385869242617	3.789220166878464	1.835742936753546	5.0	40.94040816326527	942.8571428571428	0.6291043807445025	0.9732286974343733	0.014295234634501846	0.012476067931124829	816	4.0	10.0	20.0	49.250000000000114	215	2.8	10.0	18.514	20.49	16.175	0.5205115837652149	0.0
12	豆类	黄豆	斤/月	元/斤	0.2847124824684432	1.0827118232747222	0.49950000000000006	0.7355612379353973	0.6051905576283397	3.802825270910724	2.1422781292939437	6.484472049689443	42.857142857142854	858.0	0.5847258490016178	0.6134396573120475	0.34999071238093993	0.0365696303070126	359	2.0	4.0	7.099999999999994	20.0	106	3.0	4.5	7.0	4.58	4.5	0.4427665824693774	0.0
13	豆类	绿豆/红豆/黑豆等杂豆	斤/月	元/斤	0.42945301542777	1.107593998600416	0.33994334277620397	0.7580289414976312	0.6386309316537206	2.5790807348206943	1.4960403804878248	4.285714285714286	27.24200000000004	830.0	0.4183182311157716	0.7245831161569594	0.24307299105736319	0.032343892785677314	861	3.0	5.0	8.0	14.199999999999989	203	4.318	5.98	8.0	7.98	7.0	0.42599480795591516	0.0
14	豆制品	豆浆	斤/月	元/斤	0.31164095371669004	1.0602499651314423	0.43227665706051877	0.9121433732660849	0.7704771774297433	3.4021522283470675	2.490905742864311	8.571428571428571	42.857142857142854	390.85714285714283	0.3941624757349925	0.5655183174082993	0.3941427087600082	0.04033897383169268	436	1.396103896103896	4.0	10.0	30.0	18	3.7	6.0	29.75	13.3	13.25	0.275752198898148	0.0
15	豆制品	豆腐/豆腐皮/豆干	斤/月	元/斤	0.8460028050490883	2.631315670399303	0.6537671232876712	2.526739605118158	2.299373912431227	3.1102918982007677	2.7222738380341562	8.571428571428571	28.44642857142828	73.2	1.0773177463170147	0.906477935473488	0.08569080585839425	0.007831258668117813	2227	2.0	3.0434782608695654	6.666666666666667	18.000000000000004	170	2.0	3.0	6.314999999999996	5.0	4.720000000000001	0.13374918018670898	0.0
16	豆制品	发酵豆制品（豆腐乳/豆酱/豆豉等）	斤/月	元/斤	0.2847124824684432	1.0990819917097134	0.17094017094017094	0.7644509892386	0.4444324746006876	3.860322463492738	1.5732201341940677	4.26634382566586	104.1595238095241	429.4285714285714	0.5033738373018186	0.21883405821347082	0.769748621976444	0.011417319810085367	490	2.786666666666667	7.5	20.0	50.0	101	4.0	9.0	16.6	15.0	13.09	0.5968807081326285	0.0
17	畜禽肉	猪肉（不含排骨、腊肉）	斤/月	元/斤	0.9063113604488079	7.632790651388525	1.019830028328612	5.340711415764736	4.738015535465776	8.421819459052953	5.232855181758949	17.142857142857142	69.84743411927782	1371.4285714285713	3.241372655439457	0.7159592302479003	0.2174473312099544	0.06659343854214528	2484	9.0	12.0	18.0	26.0	214	9.0	11.850000000000001	15.0	14.0	14.0	0.3850011690954539	0.0
18	畜禽肉	猪排骨	斤/月	元/斤	0.6866760168302946	3.0578099470939177	1.0	2.549264565406885	2.3018017445411103	4.453060645992571	3.362929498834309	10.087114285714337	37.5900000000006	878.5714285714286	1.2142410514383157	0.8501202423116475	0.1195215523771875	0.03035820531116479	1180	12.0	17.5	28.0	38.42000000000007	157	9.96	15.9	25.360000000000003	17.8	18.9	0.252517286268695	0.0
19	畜禽肉	牛肉	斤/月	元/斤	0.49593267882187936	1.2628334915394626	0.501	1.017296057491509	0.8977946399251127	2.5463808808473893	1.8197014787510712	5.0	24.56571428571416	514.7142857142857	0.6018856943334548	0.7978739212843711	0.02090756876827633	0.18121850994735264	573	25.0	40.0	60.0	100.0	62	23.909	29.975	40.0	37.995000000000005	36.7	0.29265290994862814	0.0
20	畜禽肉	羊肉	斤/月	元/斤	0.3071528751753156	1.0308534360167332	0.6	0.7113054496412562	0.60080985190922	3.356157533698314	1.9698138502632545	5.0	36.411428571428196	514.7142857142857	0.46425432011251905	0.7054119183451062	0.12050737515357764	0.17408070650131607	203	22.6	40.0	80.0	115.0	26	21.8	36.5	40.0	35.595	42.5	0.41897072877449765	0.0
21	畜禽肉	下水内脏	斤/月	元/斤	0.16577840112201964	0.29809541977750537	0.46153846153846156	0.2818960129112619	0.2462455345482495	1.7981559585563567	1.4980989016362736	4.285714285714286	21.428571428571427	42.857142857142854	0.11907359100260989	0.6848949165101363	0.2846577598431185	0.030447323646745336	144	6.0	15.0	48.500000000000085	80.0	63	4.984	11.8	29.780000000000005	20.0	19.75	0.1753274966639325	0.0
22	畜禽肉	鸡肉	斤/月	元/斤	0.3472650771388499	1.2344647442873617	0.66	1.1091939180245785	1.0034561705398712	3.554819720019745	2.9096133206184676	9.599999999999975	30.0	240.0	0.4734215550706889	0.760664788216438	0.20639166256664063	0.0329435492169213	575	6.25	10.0	24.920000000000005	41.299999999999955	139	6.756	8.8	12.360000000000001	15.0	14.899999999999999	0.19009675391277073	0.0
23	畜禽肉	其他禽肉（鸭肉/鹅肉/其他）	斤/月	元/斤	0.12482468443197756	0.40447008794248734	0.7828124999999999	0.391406573616701	0.3524699456101434	3.24030531126959	2.851802287209342	8.571428571428571	28.114285714285725	50.0	0.17585336732044374	0.7384176296074095	0.22270740607381737	0.03887496431877327	171	7.6	16.0	31.333333333333332	40.60000000000002	33	6.219	7.5	10.0	10.0	10.0	0.12978583991014978	0.0
24	畜禽肉	活禽（鸡）	斤/月	元/斤	0.3340813464235624	3.359773815997017	1.308139534883721	1.9836768414428196	1.816680293442386	10.056753697757655	5.474694726548597	21.428571428571427	51.42857142857143	3937.5	1.0901325808751798	0.5589525063405598	0.42713464847143157	0.01391284518800873	238	8.0	15.0	30.0	49.44999999999993	27	7.12	10.0	12.400000000000002	12.0	11.5	0.46110502083785515	0.0
