period,item_code,village_years,outlet_village_pairs,reversed_endpoint_pairs,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_n_unique_3dp,low_modal_value_share_3dp,community_low_n,community_low_mean,community_low_sd,community_low_p01,community_low_p10,community_low_p25,community_low_p50,community_low_p75,community_low_p90,community_low_p95,community_low_p99,community_low_max,community_high_n,community_high_mean,community_high_sd,community_high_p01,community_high_p10,community_high_p25,community_high_p50,community_high_p75,community_high_p90,community_high_p95,community_high_p99,community_high_max,community_mid_n,community_mid_mean,community_mid_sd,community_mid_p01,community_mid_p10,community_mid_p25,community_mid_p50,community_mid_p75,community_mid_p90,community_mid_p95,community_mid_p99,community_mid_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
2024,干果,63,75,0,0.0,0.0,0.0,26,0.17142857142857143,70,8.971885714285714,4.745868710029433,2.5,4.9,5.0,8.0,10.0,13.110600000000002,18.47049999999998,24.636400000000013,27.7,75,25.8336,22.4044275927049,5.0,7.0,10.2085,18.0,31.795,61.000000000000085,84.5,89.0,89.0,70,17.675942857142857,12.307496997836719,5.0,6.211499999999999,10.0,13.39,21.908625,37.60000000000001,47.2,50.45,50.45,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
pooled_2023_2024,水果制品,84,120,0,0.0,0.0,0.0,48,0.05714285714285714,105,12.418574285714286,11.178063105751342,4.0048,5.08,6.9,9.0,12.0,26.400000000000034,43.6,44.0,65.96,120,26.011149999999997,32.16841647326581,4.9,8.75,10.9,12.75,20.8725,67.06400000000009,109.0,118.0,178.57,105,18.336139523809525,19.708059468381567,4.9506000000000006,7.672,8.81,11.0,15.25,47.100000000000115,76.05999999999999,77.0,77.0,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
2023,水果制品,43,61,0,0.0,0.0,0.0,30,0.07407407407407407,54,9.872042592592594,8.760695379193344,3.3373,5.0,6.0675,7.4185,9.96875,12.350000000000001,24.824999999999832,44.0,44.0,61,21.076032786885243,30.172928282356693,3.9400000000000004,8.0,9.15,12.0,15.588,39.9,109.0,136.8279999999999,178.57,54,13.886197222222222,15.658244596912434,4.9,7.0225,8.1435,9.754999999999999,12.908000000000001,17.599500000000003,38.47499999999967,76.5,76.5,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
2024,水果制品,41,59,0,0.0,0.0,0.0,25,0.11764705882352941,51,15.114901960784314,12.81093870448985,4.5600000000000005,7.0,8.19,10.0,13.5,36.0,43.6,54.78,65.96,59,31.113559322033897,33.604181942272476,8.469800000000001,10.72,12.0,15.0,28.0,105.0,112.59999999999997,118.0,118.0,51,23.047843137254905,22.44918849323739,7.825,8.81,10.629999999999999,11.6875,22.625,74.3,75.65,77.0,77.0,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
pooled_2023_2024,调料,326,1848,19,0.0,0.0006531678641410843,0.011757021554539516,297,0.07968647942521227,1531,6.061144546048335,5.297354148227193,0.99,1.45,2.5,4.9,7.9535,12.5,15.0,25.0,55.18,1847,10.769504277206282,9.585919083089456,1.0,2.0,3.75,8.0,14.9,25.0,30.0,45.0,77.5,1531,8.962848856956239,6.877866090788192,1.0750000000000002,2.145,4.015,7.0,11.5525,18.75,22.0375,33.67500000000001,50.0,18,调料,盐；味精/鸡精；酱油类（生抽/老抽/味极鲜/蚝油等）；醋,调料,18,未纳入原六类,盐; 味精/鸡精; 酱油类; 醋,4,斤/月,元/斤,0,4
2023,调料,162,919,11,0.0,0.001394700139470014,0.02092050209205021,162,0.0794979079497908,717,5.211455788005579,4.3912359361409194,0.758,1.25,2.0,4.0,6.82,11.924999999999997,15.0,20.0,25.0,918,9.845420915032678,9.212167657646207,1.0,1.875,3.0,7.1,13.0,25.0,27.829999999999995,39.73820000000006,62.5,717,8.281063249651325,6.468946370651676,1.04,2.0,3.45,6.4799999999999995,10.5,18.35,20.687999999999978,28.754000000000016,34.75,18,调料,盐；味精/鸡精；酱油类（生抽/老抽/味极鲜/蚝油等）；醋,调料,18,未纳入原六类,盐; 味精/鸡精; 酱油类; 醋,4,斤/月,元/斤,0,4
2024,调料,164,929,8,0.0,0.0,0.0036855036855036856,202,0.07985257985257985,814,6.809580466830466,5.88476732064904,1.0,2.0,3.01,5.0,8.0,13.525000000000034,17.5,31.087500000000006,55.18,929,11.68264585575888,9.861639885164244,1.1203999999999996,2.25,5.0,8.48,15.8,25.0,30.0,49.9,77.5,814,9.563389742014742,7.1692951000393,1.25,2.5,4.50125,7.5,12.4975,19.0,23.569999999999983,34.8817,50.0,18,调料,盐；味精/鸡精；酱油类（生抽/老抽/味极鲜/蚝油等）；醋,调料,18,未纳入原六类,盐; 味精/鸡精; 酱油类; 醋,4,斤/月,元/斤,0,4
pooled_2023_2024,烟草,205,260,2,0.0,0.0,0.0,36,0.23828125,256,21.54980859375,43.33015890594218,5.0,6.0,7.0,8.0,10.0,34.5,120.0,207.50014999999982,300.0,257,187.1187159533074,447.9345287837147,21.68,30.0,45.0,100.0,100.0,100.0,846.6663999999993,2219.999999999999,4000.0,254,105.23181299212598,242.2960260652684,15.265,19.0,28.5,53.0,54.375,88.75000000000009,489.1249999999997,1207.4749999999997,2080.0,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
2023,烟草,60,76,0,0.0,0.0,0.0,14,0.24,75,7.126666666666667,1.9331624652669825,4.37,5.0,6.0,7.0,8.0,8.800000000000004,11.0,14.52000000000001,16.0,73,59.56164383561644,29.213764973500773,21.6,25.0,30.0,53.0,100.0,100.0,100.0,100.0,100.0,73,33.36986301369863,14.664364733479923,13.3,16.0,19.0,29.75,52.5,53.75,54.0,55.5,55.5,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
2024,烟草,145,184,2,0.0,0.0,0.0,29,0.2541436464088398,181,27.526248618784532,50.35538586772864,5.0,6.0,7.0,8.0,12.0,111.667,140.0,218.3335999999999,300.0,184,237.72559782608695,520.8481750143641,22.490000000000002,40.6,65.0,100.0,100.0,475.0001000000014,1611.0999999999979,2500.0,4000.0,181,134.21480939226518,281.94222475402324,15.5,25.5,36.0,53.5,55.5,341.5,883.0,1369.9999999999995,2080.0,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
pooled_2023_2024,酒类,227,724,6,0.0,0.0015174506828528073,0.0015174506828528073,204,0.051593323216995446,659,13.803930424886193,23.451248590483367,1.2,2.5,3.3,6.515,15.0,28.84000000000001,40.10000000000002,97.0999999999998,344.0,723,239.9184031811895,569.9801562167427,2.0,3.792,6.225,25.0,178.0,518.0,1264.8999999999987,2980.0,4362.0,659,137.46121824734448,297.3778746231076,1.89221,3.4490000000000003,5.25,23.0,114.1675,345.50000000000034,652.05,1492.8125,2187.2,20,烟酒糖茶,白酒；啤酒；葡萄酒/果酒/米酒/黄酒,酒类,20,未纳入原六类,白酒; 啤酒; 葡萄酒/果酒; 米酒/黄酒,4,斤/月,元/斤,0,3
2023,酒类,78,240,2,0.0,0.0,0.0,79,0.08144796380090498,221,12.823602488687783,22.72093069457714,1.6360000000000001,2.5,3.167,6.5,15.0,24.0,30.0,116.00000000000023,200.0,239,156.01216945606694,275.58878200065794,2.19,4.0,6.029999999999999,27.5,168.0,448.0,744.2999999999984,1249.2200000000003,1300.0,221,90.37150373303167,144.4981768510382,2.09,3.5416999999999996,5.0,31.587500000000002,95.0,247.5,504.5,642.0000000000006,657.575,20,烟酒糖茶,白酒；啤酒；葡萄酒/果酒/米酒/黄酒,酒类,20,未纳入原六类,白酒; 啤酒; 葡萄酒/果酒; 米酒/黄酒,4,斤/月,元/斤,0,3
2024,酒类,149,484,4,0.0,0.00228310502283105,0.00228310502283105,161,0.05707762557077625,438,14.298570776255708,23.82150779481746,1.14393,2.5,3.3075,6.71,16.075000000000003,30.0,44.639999999999965,93.0,344.0,484,281.35144008264456,665.5872123156192,1.9949,3.74,6.25,20.0,193.5,749.4,1480.0,3499.0,4362.0,438,161.2210970319635,347.78952336122256,1.8011,3.3321,5.5,20.75,137.625,465.40000000000015,754.5,1754.95,2187.2,20,烟酒糖茶,白酒；啤酒；葡萄酒/果酒/米酒/黄酒,酒类,20,未纳入原六类,白酒; 啤酒; 葡萄酒/果酒; 米酒/黄酒,4,斤/月,元/斤,0,3
pooled_2023_2024,糖,293,601,2,0.0,0.0,0.0,69,0.21100917431192662,327,5.855758103975536,3.993130664310616,2.578,3.98,4.0,5.0,6.25,9.064000000000005,11.999999999999986,15.087060000000013,62.5,601,7.6954226289517464,8.61875853200373,3.0,4.0,4.5,5.0,7.5,12.375,19.8,40.5,92.0,327,7.707013608562691,6.982064570468175,3.0,4.0,4.5,5.4,8.0,13.395,19.25,46.757530000000244,62.5,21,烟酒糖茶,白糖；红糖,糖,21,未纳入原六类,白糖; 红糖,2,斤/月,元/斤,0,2
2023,糖,150,297,1,0.0,0.0,0.0,37,0.13636363636363635,110,5.698844545454545,2.514223977548918,1.536,3.98,4.0,5.0,6.5,8.3333,10.439999999999998,15.469,15.469,297,7.8668148148148145,10.312816379087057,3.48,4.0,4.5,5.0,7.14,11.4,21.357139999999923,42.560000000001054,92.0,110,8.992576818181817,8.937981992463394,3.045,4.0,4.7625,6.290000000000001,8.452,18.575000000000006,23.191499999999998,53.7345,53.7345,21,烟酒糖茶,白糖；红糖,糖,21,未纳入原六类,白糖; 红糖,2,斤/月,元/斤,0,2
2024,糖,143,304,1,0.0,0.0,0.0,46,0.2488479262672811,217,5.935299539170507,4.566887010869229,2.8,3.99,4.0,5.0,6.0,9.820000000000002,12.375,13.556000000000003,62.5,304,7.527976973684211,6.568178457806506,2.515,4.0,4.47,5.0,7.5,13.3,18.6,37.5,62.5,217,7.055345622119815,5.656264967886208,3.0,4.0,4.5,5.0,7.25,12.740000000000004,15.829999999999986,24.3125,62.5,21,烟酒糖茶,白糖；红糖,糖,21,未纳入原六类,白糖; 红糖,2,斤/月,元/斤,0,2
pooled_2023_2024,茶,115,132,0,0.0,0.0,0.0,47,0.08403361344537816,119,45.41243697478991,55.40032255254548,6.18,14.500000000000002,20.0,35.0,52.5,69.0,75.71999999999996,350.0,350.0,132,207.7708712121212,189.77845556229306,10.620000000000001,30.125,60.0,150.0,333.975,480.0,600.0,726.0,899.0,119,126.59174369747899,107.02960256176368,10.09,27.5,48.75,85.5,179.5,275.6,328.0,415.0,541.5,22,烟酒糖茶,茶,茶,22,未纳入原六类,茶,1,斤/月,元/斤,0,1
2023,茶,40,50,0,0.0,0.0,0.0,22,0.13333333333333333,45,32.18533333333334,15.558191294737199,6.88,12.2,20.0,35.0,45.0,55.0,56.0,58.24000000000001,60.0,50,195.952,169.98530817667262,20.82,45.0,75.0,150.0,241.25,502.66,600.0,600.0,600.0,45,115.79933333333332,88.63085150319735,26.8,36.25,55.0,85.0,132.0,281.86,322.99999999999994,328.0,328.0,22,烟酒糖茶,茶,茶,22,未纳入原六类,茶,1,斤/月,元/斤,0,1
2024,茶,75,82,0,0.0,0.0,0.0,35,0.08108108108108109,74,53.45594594594594,68.13100679902722,5.65,15.0,20.0,34.5,63.0,73.20000000000002,161.8999999999998,350.0,350.0,82,214.9775,201.56730659461778,8.48,24.1,50.0,137.5,340.0,480.0,480.66499999999996,758.8699999999997,899.0,74,133.15469594594595,116.90424741363363,7.84,20.550000000000004,41.87,92.5,191.65625,274.5,380.5499999999997,449.1549999999995,541.5,22,烟酒糖茶,茶,茶,22,未纳入原六类,茶,1,斤/月,元/斤,0,1
