period,item_code,village_years,outlet_village_pairs,reversed_endpoint_pairs,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_n_unique_3dp,low_modal_value_share_3dp,community_low_n,community_low_mean,community_low_sd,community_low_p01,community_low_p10,community_low_p25,community_low_p50,community_low_p75,community_low_p90,community_low_p95,community_low_p99,community_low_max,community_high_n,community_high_mean,community_high_sd,community_high_p01,community_high_p10,community_high_p25,community_high_p50,community_high_p75,community_high_p90,community_high_p95,community_high_p99,community_high_max,community_mid_n,community_mid_mean,community_mid_sd,community_mid_p01,community_mid_p10,community_mid_p25,community_mid_p50,community_mid_p75,community_mid_p90,community_mid_p95,community_mid_p99,community_mid_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
pooled_2023_2024,主食原粮/薯类,293,1510,5,0.0,0.0,0.011673151750972763,182,0.08463035019455253,1028,3.540281128404669,5.620145168884156,0.99,1.8,2.0,2.5,3.5,5.0,6.992999999999999,15.0,120.0,1507,5.6336443264764435,10.556983225474385,1.1048000000000002,1.8479999999999994,2.4,3.3,5.9,9.984000000000002,12.780000000000019,32.8,150.0,1028,4.84260019455253,7.368281255876835,1.2,2.0,2.48,3.3125,5.0,7.65,11.077499999999992,21.56800000000003,130.0,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2023,主食原粮/薯类,145,804,2,0.0,0.0,0.00847457627118644,100,0.07838983050847458,472,3.385739406779661,5.758589465351806,1.0,1.8,2.0,2.5,3.2849999999999997,4.5,5.98,28.58000000000004,89.0,803,5.427678704856787,12.67171946494975,1.3,1.8,2.25,3.0,5.0,7.964000000000006,10.0,68.32000000000062,150.0,472,4.67926906779661,8.2344084109033,1.3,2.0700000000000003,2.4000000000000004,3.25,4.7387500000000005,6.390000000000001,8.0,36.72000000000037,97.0,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2024,主食原粮/薯类,148,706,3,0.0,0.0,0.014388489208633094,135,0.08992805755395683,556,3.6714748201438847,5.501681133841176,0.9764999999999999,1.89,2.2,2.665,3.98,5.99,8.375,15.0,120.0,704,5.868573863636365,7.447444832057644,1.1,1.98,2.5,3.8499999999999996,6.8,11.0,14.985000000000003,28.167,140.0,556,4.981255395683453,6.548196675935107,1.155,2.0,2.5,3.48,5.6225,9.275,13.36125,20.4,130.0,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
pooled_2023_2024,主食加工品,226,680,5,0.0,0.0,0.005376344086021506,180,0.07885304659498207,558,7.163369444444444,5.109495899698254,1.0,2.4,3.3,5.4,10.0,14.0,18.0,23.857499999999987,29.41,677,14.355780502215655,12.247537938069094,1.8519999999999999,3.4320000000000013,5.0,10.0,20.8,30.0,35.2,58.68328000000007,71.5,555,11.61875545045045,7.907628415116907,1.7810000000000001,3.5,4.99,9.964500000000001,16.2125,22.5,26.15,34.9045,40.092,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2023,主食加工品,83,234,2,0.0,0.0,0.010526315789473684,75,0.11052631578947368,190,5.891253421052631,4.004277687852084,0.9560000000000001,1.999,2.5,5.0,9.03,12.0,12.5,18.0,18.0,231,12.035720346320346,10.015980467449173,1.56,2.5,5.0,9.69,16.0,23.8,30.0,56.35,56.92,187,9.84632232620321,6.5482731026103735,1.5740000000000003,3.115,4.725,8.5,13.693475,18.5,21.189999999999998,33.8,33.8,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2024,主食加工品,143,446,3,0.0,0.0,0.002717391304347826,140,0.0625,368,7.820168478260869,5.485893774421383,1.6185,2.5,3.61,5.95,10.0,15.0,19.201049999999988,24.51089999999999,29.41,446,15.55742600896861,13.106350386770727,2.0,3.875,5.0,11.0,22.315,33.0,37.84375,65.58865000000003,71.5,368,12.519421195652177,8.381291974776733,2.0,3.61,4.99,11.3925,18.58875,23.625,27.113124999999997,37.677749999999975,40.092,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
pooled_2023_2024,豆类,206,451,4,0.0,0.0,0.0,69,0.08414239482200647,309,5.679935275080906,2.0207285386627056,1.816,3.696,4.5,5.3,6.5,8.0,9.99,11.9,15.0,451,7.468046563192905,4.451989867718872,2.58,3.9,4.58,6.48,8.995000000000001,11.8,14.995000000000001,27.8,31.395,309,6.92423786407767,3.0737861009467373,2.532,3.98,5.0,6.48,7.99,9.992,12.07,19.782000000000014,22.361,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
2023,豆类,113,238,2,0.0,0.0,0.0,46,0.13380281690140844,142,5.547605633802817,1.6011037547402143,1.8,3.5,4.5225,5.8,6.8,7.0,8.0,10.0,10.0,238,6.586134453781512,2.565819338215509,3.437,4.0,4.5,6.0,7.98,9.786,11.0,13.8,22.0,142,6.550774647887324,1.9516016604458093,3.0025,3.8325000000000005,5.0600000000000005,6.54,7.390000000000001,8.9,9.942499999999997,11.5,15.0,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
2024,豆类,93,213,2,0.0,0.0,0.0,47,0.10778443113772455,167,5.792455089820359,2.3175740242569782,2.33,3.98,4.49,5.0,6.0,9.876000000000001,10.0,14.336600000000004,15.0,213,8.453469483568076,5.732594295257356,2.5,3.5,4.8,6.7,9.99,14.998,21.85,29.50015999999999,31.395,167,7.241793413173653,3.7515892364346417,2.33,3.99,4.8,6.05,8.0,11.728000000000003,15.67444999999999,19.85,22.361,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
pooled_2023_2024,豆制品,218,381,4,0.0,0.0,0.0,91,0.0657439446366782,289,6.339276816608996,4.985557602080439,1.5856000000000001,2.264,2.98,4.2,8.93,13.131999999999998,16.6,22.402000000000037,29.75,381,11.633804461942256,10.516407935332396,1.98,2.8,4.0,7.98,16.6,25.0,30.2,49.599999999999994,80.0,289,9.718772491349483,7.11761169561057,1.9976,3.0,4.2,7.88,13.34,19.049999999999997,20.889999999999976,31.56876,46.3,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
2023,豆制品,122,185,3,0.0,0.0,0.0,43,0.15447154471544716,123,4.494349593495935,2.797639077788539,1.48,2.0,2.5,3.5,6.0,9.0,10.0,12.0,12.6,185,8.08817027027027,8.33078431862892,1.752,2.28,3.0,5.0,10.0,17.68,20.0,28.85279999999998,80.0,123,7.359010162601626,5.551743240330528,1.9605000000000001,2.75,3.575,5.5,10.084375,13.34,14.25,20.0,46.3,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
2024,豆制品,96,196,1,0.0,0.0,0.0,62,0.08433734939759036,166,7.706301204819278,5.760220314041953,1.9965,2.5,3.0,5.300000000000001,10.997499999999999,16.6,16.7,29.75,29.75,196,14.980448979591834,11.262631269843673,2.0,3.995,6.0,11.95,21.405,29.34,36.724999999999994,50.150000000000034,66.0,166,11.46727108433735,7.6425849077077626,2.0,3.615,5.2175,10.0,16.817500000000003,19.1,27.2,31.786799999999992,39.65,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
pooled_2023_2024,畜禽肉,231,1107,8,0.0,0.0,0.0,142,0.04951856946354883,727,14.91643878954608,9.313667898332088,3.0,6.986000000000001,9.0,12.0,17.9,29.9,34.78399999999995,40.0,80.0,1104,22.04917391304348,17.467013150959243,4.9903,9.0,12.0,16.05,27.075,38.0,50.0,93.52850000000025,196.0,726,19.640434573002754,13.04962581012705,6.11,9.3975,11.575,15.8,22.875,34.09,43.575,66.0625,115.0,5,肉类,猪肉（不含排骨、腊肉）；猪排骨；牛肉；羊肉；下水内脏；鸡肉；其他禽肉（鸭肉/鹅肉/其他）；活禽（鸡）；活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）; 猪排骨; 牛肉; 羊肉; 下水内脏; 鸡肉; 其他禽肉（鸭肉/鹅肉/其他）; 活禽（鸡）; 活禽（鸭/鹅/其他）,9,斤/月,元/斤,0,9
2023,畜禽肉,129,567,3,0.0,0.0,0.0,76,0.0729483282674772,329,13.364498480243162,8.192481484428946,4.99,7.400000000000002,9.0,10.9,14.0,25.0,34.16799999999999,40.0,60.0,564,19.123226950354614,13.722892434893716,4.9963,9.0,10.9,14.2,21.85,36.0,47.0,71.85000000000002,120.0,328,17.285045731707317,10.784647872692153,7.18535,9.4,11.0,13.5,19.0,34.49600000000001,42.14999999999998,55.0,77.0,5,肉类,猪肉（不含排骨、腊肉）；猪排骨；牛肉；羊肉；下水内脏；鸡肉；其他禽肉（鸭肉/鹅肉/其他）；活禽（鸡）；活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）; 猪排骨; 牛肉; 羊肉; 下水内脏; 鸡肉; 其他禽肉（鸭肉/鹅肉/其他）; 活禽（鸡）; 活禽（鸭/鹅/其他）,9,斤/月,元/斤,0,9
2024,畜禽肉,102,540,5,0.0,0.0,0.0,108,0.05025125628140704,398,16.199324120603016,9.97663738639014,2.97,6.810000000000001,9.0,14.0,20.0,29.9,35.0,40.599999999999454,80.0,540,25.105162962962964,20.2318192904817,5.3388,10.0,14.0,20.5,28.9,39.99,55.1099999999999,110.0,196.0,398,21.581559045226133,14.381450001722582,5.950000000000001,9.395,14.0,17.87,25.0,33.550000000000004,46.69499999999999,84.64,115.0,5,肉类,猪肉（不含排骨、腊肉）；猪排骨；牛肉；羊肉；下水内脏；鸡肉；其他禽肉（鸭肉/鹅肉/其他）；活禽（鸡）；活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）; 猪排骨; 牛肉; 羊肉; 下水内脏; 鸡肉; 其他禽肉（鸭肉/鹅肉/其他）; 活禽（鸡）; 活禽（鸭/鹅/其他）,9,斤/月,元/斤,0,9
pooled_2023_2024,水产品,145,171,0,0.0,0.0,0.0,53,0.09032258064516129,155,11.381225806451614,7.610124095399605,3.4335999999999998,4.988,6.0,9.0,13.0,21.599999999999994,25.0,32.30000000000004,60.0,171,40.49309941520468,49.767490833540414,6.591,11.0,17.84,25.0,41.0,98.0,128.0,162.3930000000001,500.0,155,26.99535483870968,26.602385958255194,6.0,10.186,13.5,20.445,29.799999999999997,62.09999999999998,74.5,85.09030000000001,262.5,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
2023,水产品,69,81,0,0.0,0.0,0.0,34,0.1232876712328767,73,12.199726027397261,9.096604521071882,2.9,5.0,6.99,9.0,13.0,23.8,27.399999999999967,42.00000000000003,60.0,81,36.06271604938272,25.742586651905523,7.798,15.0,25.0,29.9,39.9,58.0,120.0,120.0,120.0,73,24.842945205479452,13.681583318756164,6.0,12.052,19.0,21.45,26.8,35.0,63.5,64.0,64.0,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
2024,水产品,76,90,0,0.0,0.0,0.0,31,0.15853658536585366,82,10.652560975609758,5.950867726119186,3.9059,4.982,6.0,9.0,12.75,20.899000000000004,22.0,30.0,30.0,90,44.480444444444444,64.04188220379491,5.66,10.0,13.9925,21.0,48.599999999999994,128.0,159.99,204.5199999999998,500.0,82,28.9115243902439,34.222788123829616,6.7454,8.541,12.75,16.689999999999998,33.375,74.5,84.44025,119.3689499999996,262.5,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
pooled_2023_2024,肉制品,181,326,3,0.0,0.0,0.006993006993006993,134,0.06643356643356643,286,16.037315734265736,16.357990867741673,1.0,5.635,7.90425,10.085,16.9,35.571,44.85,100.0,120.0,326,33.57490398773006,52.378321797011374,2.0,10.0,14.0,18.0,25.8,94.1,109.15,260.7525,500.0,286,24.679791958041957,30.639688568129575,2.422,8.9875,11.51625,15.7625,21.445,66.69999999999999,77.84375,137.11899999999915,310.0,7,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）；含淀粉的火腿肠；肉干/肉脯,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）; 含淀粉的火腿肠; 肉干/肉脯,3,斤/月,元/斤,0,3
2023,肉制品,83,160,1,0.0,0.0,0.013986013986013986,75,0.06293706293706294,143,10.364911188811188,7.479515879246603,0.71,4.333360000000001,7.4585,8.619,11.097000000000001,15.7754,23.80000000000001,46.26400000000013,55.56,160,20.899941875,17.959039274010962,1.59,9.62,13.0,16.67,24.0,31.67,40.0,99.0,125.0,143,15.033856643356643,10.346293294284015,2.065,7.5,10.4903,12.61445,16.795,22.0,25.900000000000006,69.89700000000005,74.125,7,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）；含淀粉的火腿肠；肉干/肉脯,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）; 含淀粉的火腿肠; 肉干/肉脯,3,斤/月,元/斤,0,3
2024,肉制品,98,166,2,0.0,0.0,0.0,75,0.06993006993006994,143,21.70972027972028,20.403515233729618,3.742,7.14,10.0,15.38,22.53,39.5,62.050000000000026,100.0,120.0,166,45.79173493975904,69.18887544686679,2.0,10.415,15.71875,22.0,32.787499999999994,109.15,122.0785,359.7858999999988,500.0,143,34.32572727272727,39.87164193965215,5.412,10.83,14.54575,18.5,34.9575,77.89999999999999,107.0,177.56082000000018,310.0,7,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）；含淀粉的火腿肠；肉干/肉脯,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）; 含淀粉的火腿肠; 肉干/肉脯,3,斤/月,元/斤,0,3
pooled_2023_2024,水产制品,41,41,0,0.0,0.0,0.0,9,0.3333333333333333,30,13.924666666666669,4.934924611333008,9.9,9.9,9.9,11.0,19.55,20.0,22.08999999999999,23.8,23.8,41,39.37780487804878,38.49697191093055,12.195,16.0,21.9,26.0,35.0,68.0,105.0,184.0,184.0,30,27.538999999999998,22.36503788628967,13.0,15.86,16.35,20.0,25.799999999999997,44.940000000000026,83.8499999999999,101.4,101.4,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
2023,水产制品,11,11,0,0.0,0.0,0.0,3,0.5,6,14.466666666666667,4.421161235090468,11.0,11.0,11.0,12.4,18.45,20.0,20.0,20.0,20.0,11,28.46272727272727,13.678928204292243,12.195,12.195,16.6,30.0,37.5,49.0,49.0,49.0,49.0,6,25.166666666666668,5.2977982848223535,15.975,20.25,25.0,25.25,28.875,30.0,30.0,30.0,30.0,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
2024,水产制品,30,30,0,0.0,0.0,0.0,8,0.4166666666666667,24,13.789166666666668,5.134344644405577,9.9,9.9,9.9,9.98,19.05,20.0,23.229999999999993,23.8,23.8,30,43.38,43.79359424107279,13.0,20.0,21.9,24.45,34.9,78.00000000000004,148.44999999999976,184.0,184.0,24,28.132083333333338,24.95483711569792,13.0,15.899999999999999,16.2375,18.2,23.305,56.579999999999984,95.54999999999993,101.4,101.4,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
pooled_2023_2024,蛋类,289,490,0,0.0,0.0,0.0,86,0.11654135338345864,266,6.172285714285715,2.2961274965305063,2.825,4.4,5.0,5.5,6.65725,8.15,12.25,15.0,16.67,490,7.804602040816326,5.365861054255371,2.945,4.3,5.0,5.995,8.0,13.9,16.9,29.505160000000007,50.0,266,7.384221804511278,3.6707883498109335,3.2275,4.95875,5.278499999999999,6.130000000000001,8.0,12.1425,14.8875,18.7055,29.995,9,蛋类,鸡蛋；鸭蛋/鹅蛋,蛋类,9,未纳入原六类,鸡蛋; 鸭蛋/鹅蛋,2,斤/月,元/斤,0,2
2023,蛋类,148,237,0,0.0,0.0,0.0,37,0.18604651162790697,86,5.080267441860465,1.1721183580511132,3.305,4.220000000000001,4.4775,5.0,5.28,5.78,6.9175,8.29500000000003,12.8,237,6.0666455696202535,2.6009623432750715,3.8,4.2,4.5,5.25,6.0,10.0,12.0,16.5,16.67,86,5.925470930232558,1.6838297426064737,3.9025,4.5,5.0,5.34,6.234999999999999,8.0,8.9875,10.964000000000013,12.8,9,蛋类,鸡蛋；鸭蛋/鹅蛋,蛋类,9,未纳入原六类,鸡蛋; 鸭蛋/鹅蛋,2,斤/月,元/斤,0,2
2024,蛋类,141,253,0,0.0,0.0,0.0,62,0.08333333333333333,180,6.694027777777778,2.5112052492166703,2.895,4.998,5.2375,6.0,7.0,9.991,13.2,15.190890000000007,16.67,253,9.432648221343873,6.635801211086895,2.26,5.09,5.8,6.67,11.27,16.88,19.920199999999998,34.7999999999999,50.0,180,8.081180555555553,4.13417000977603,2.895,5.09,5.56,6.64,8.90375,13.64,16.45,21.07629500000009,29.995,9,蛋类,鸡蛋；鸭蛋/鹅蛋,蛋类,9,未纳入原六类,鸡蛋; 鸭蛋/鹅蛋,2,斤/月,元/斤,0,2
pooled_2023_2024,蛋制品,104,132,1,0.0,0.0,0.0,38,0.15476190476190477,84,13.987940476190477,7.271499623842853,1.749,7.7250000000000005,10.0,12.5,16.15,21.439,29.399999999999977,35.89000000000003,50.0,132,16.50192424242424,10.900633234369806,1.593,8.32,10.149999999999999,13.215,20.0,32.0,35.130999999999986,60.0,60.0,84,16.08542261904762,9.416109796607692,1.749,8.287,10.835,13.8,18.5,29.0,32.44934999999998,46.27500000000001,52.5,10,蛋制品,咸蛋/松花蛋,蛋制品,10,未纳入原六类,咸蛋/松花蛋,1,斤/月,元/斤,0,1
2023,蛋制品,29,34,1,0.0,0.0,0.0,10,0.21428571428571427,14,14.55642857142857,9.691608271031228,1.539,3.7350000000000003,8.25,12.12,23.4,26.0,28.449999999999996,32.089999999999996,33.0,34,15.16070588235294,9.723856135983176,1.599,2.6100000000000008,10.0,12.2,20.0,32.0,33.0,33.0,33.0,14,15.945857142857141,10.30863567677525,1.539,3.8594999999999997,8.973749999999999,14.363499999999998,26.125,29.0,30.4,32.48,33.0,10,蛋制品,咸蛋/松花蛋,蛋制品,10,未纳入原六类,咸蛋/松花蛋,1,斤/月,元/斤,0,1
2024,蛋制品,75,98,0,0.0,0.0,0.0,29,0.18571428571428572,70,13.874242857142857,6.769621763748961,4.07,8.850000000000001,10.0,12.5,15.75,18.365200000000005,26.264999999999976,36.200000000000045,50.0,98,16.967244897959187,11.289661456176479,1.9849999999999999,8.675,11.67,13.9,18.0,28.109899999999996,40.533,60.0,60.0,70,16.113335714285714,9.307335757550518,4.2425,9.3625,11.0625,13.15,18.45,26.070000000000004,37.94804999999995,47.32500000000002,52.5,10,蛋制品,咸蛋/松花蛋,蛋制品,10,未纳入原六类,咸蛋/松花蛋,1,斤/月,元/斤,0,1
pooled_2023_2024,奶类,304,830,17,0.0,0.0013717421124828531,0.0027434842249657062,261,0.056241426611796985,729,11.777190946502056,19.5237875384529,2.0,3.872,4.9,7.0,11.79,24.94,37.325,75.0,385.0,830,27.267900602409636,59.60252896225476,2.9029,6.0,9.6775,13.21,17.6,57.650000000000034,103.77499999999952,273.0274000000006,1093.75,729,20.280758367626884,36.724528092642565,3.38788,5.75,8.0,10.3,14.85,45.80000000000018,74.345,169.94600000000048,592.71,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
2023,奶类,151,418,10,0.0,0.0,0.002777777777777778,162,0.03333333333333333,360,11.990697777777775,22.25277833090002,2.1803,4.0,4.9385,7.6,12.1951,21.0,35.71,56.230000000000075,385.0,418,25.626608851674643,44.04512188984782,4.0,7.5,10.316,14.4435,18.9675,55.0,71.59999999999991,284.286,400.0,360,19.491125972222225,28.032326550172648,4.4056999999999995,6.63225,8.75,11.0,16.14875,40.3125,54.769750000000016,174.3569500000015,230.0,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
2024,奶类,153,412,7,0.0,0.0027100271002710027,0.0027100271002710027,154,0.08401084010840108,369,11.56889159891599,16.459233332069925,2.0,3.5,4.89,6.0,11.18,24.94,39.32199999999997,86.65159999999996,150.0,412,28.933094660194172,72.0528573870476,2.7665,5.4164,8.09375,12.1975,16.4,61.687500000000064,123.75,260.0,1093.75,369,21.051131436314364,43.59202205294065,3.0,5.346,7.0,9.5,13.0,54.39999999999992,81.25099999999996,162.72599999999986,592.71,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
pooled_2023_2024,油脂,289,1196,17,0.0,0.0,0.0,251,0.056155507559395246,926,8.773453563714904,8.402798789689273,3.8499999999999996,4.99,5.7,7.0,9.275,13.0,16.3,44.975,125.0,1194,12.344774036850922,12.814871798105916,4.5,5.9532,7.3,9.5,12.3525,17.57,21.823999999999977,82.99015,178.0,926,10.689594060475162,9.51930675284267,4.4174999999999995,5.657500000000001,7.0,8.4,11.445,15.99,19.525,63.625,104.0625,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
2023,油脂,132,525,2,0.0,0.0,0.0,116,0.09186351706036745,381,9.36525721784777,11.827607122276595,4.0,5.0,5.99,6.8,8.5,12.5,16.0,70.99999999999994,125.0,524,13.028040458015267,14.341745508844566,4.5575,6.0,7.5,9.184999999999999,12.26475,18.577999999999992,24.0,84.56874999999997,110.0,381,11.341674803149607,12.152115467991692,4.5,6.15,7.035,8.25,10.5,15.5,18.185000000000002,80.0,104.0625,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
2024,油脂,157,671,15,0.0,0.0,0.0,186,0.044036697247706424,545,8.35973394495413,4.682120949455983,3.688,4.8,5.5,7.0,9.7,14.0,17.15999999999999,21.867999999999984,50.0,670,11.810398507462688,11.462946334497135,4.5,5.558,7.06,9.695,12.4,17.38,20.0,65.25,178.0,545,10.233735779816515,7.100844710968358,4.294,5.5,6.7,8.49,11.6,16.398000000000007,19.579999999999952,35.009999999999984,93.745,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
pooled_2023_2024,鲜菜,196,1436,9,0.0,0.0024834437086092716,0.09933774834437085,122,0.09850993377483444,1208,2.666451986754967,2.3339356116404626,0.5035000000000001,1.0,1.28,2.0,3.0,5.0,6.0,14.73950000000001,25.0,1432,6.573329608938548,9.299184164617909,1.0,2.0,3.0,4.5,7.8,12.0,15.0,34.070000000000164,149.0,1206,4.742509950248756,5.561149987261068,1.0,1.765,2.4537500000000003,3.5,5.5,8.0,10.39,21.942500000000052,77.5,13,_蔬菜,鲜豆类（豌豆/荷兰豆/扁豆/豇豆等）；茄果类（西红柿/茄子/青椒等）；花菜类（西兰花/菜花/芥蓝等）；根茎类（萝卜/胡萝卜/藕/莴笋/竹笋/洋葱等）；瓜类（黄瓜/南瓜/西葫芦/角瓜/冬瓜/苦瓜等）；叶菜类（菠菜/油菜/小白菜/芹菜/韭菜/蒜苗/白菜/生菜/卷心菜等）；菌藻类（各类菌菇/海藻/海带等）；辣椒和葱姜蒜类；其他新鲜或冷冻蔬菜,鲜菜,13,蔬菜,鲜豆类（豌豆/荷兰豆/扁豆/豇豆等）; 茄果类（西红柿/茄子/青椒等）; 花菜类（西兰花/菜花/芥蓝等）; 根茎类（萝卜/胡萝卜/藕/莴笋/竹笋/洋葱等）; 瓜类（黄瓜/南瓜/西葫芦/角瓜/冬瓜/苦瓜等）; 叶菜类（菠菜/油菜/小白菜/芹菜/韭菜/蒜苗/白菜/生菜/卷心菜等）; 菌藻类（各类菌菇/海藻/海带等）; 辣椒和葱姜蒜类（辣椒/大蒜/大葱/姜等）; 其他新鲜或冷冻蔬菜（罐装菜/干菜/发酵菜/腌制菜除外）,9,斤/月,元/斤,0,9
