period,item_code,households,module_observed_households,consumer_households,participation_total,participation_purchase,participation_own,participation_gift,quantity_total_sum,quantity_household_mean_all,quantity_household_sd_all,quantity_household_mean_winsor_p99,quantity_household_mean_excl_top1pct_consumers,quantity_consumer_mean_excl_top1pct_consumers,quantity_percap_mean_all,purchase_quantity_share,own_quantity_share,gift_quantity_share,top1pct_quantity_share,outer_fence_3iqr,share_consumers_above_outer_fence,quantity_consumer_n,quantity_consumer_mean,quantity_consumer_sd,quantity_consumer_p01,quantity_consumer_p10,quantity_consumer_p25,quantity_consumer_p50,quantity_consumer_p75,quantity_consumer_p90,quantity_consumer_p95,quantity_consumer_p99,quantity_consumer_max,quantity_pc_consumer_n,quantity_pc_consumer_mean,quantity_pc_consumer_sd,quantity_pc_consumer_p01,quantity_pc_consumer_p10,quantity_pc_consumer_p25,quantity_pc_consumer_p50,quantity_pc_consumer_p75,quantity_pc_consumer_p90,quantity_pc_consumer_p95,quantity_pc_consumer_p99,quantity_pc_consumer_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
pooled_2023_2024,主食加工品,3547,3547,3372,0.9506625317169439,0.817310403157598,0.39441781787425995,0.04398082886946716,56043.32662797449,15.800204857055116,105.109530384106,11.365506945511171,10.228809348220766,10.765071072588242,5.776631521089791,0.46349523549547833,0.513647262583685,0.022857501920836777,0.3588209443947802,49.3421733285107,0.059905100830367736,3372,16.620203626326955,107.74005982845958,0.0498801652892562,0.33066983242774306,0.8670520231213873,2.7754755568006724,12.985832349468714,34.285714285714285,55.71428571428571,128.81311457142854,3428.5714285714284,3372,6.076427047836741,33.372525643769045,0.02028151055349457,0.1189182971838819,0.339985835694051,1.132458132754763,4.831526533265239,13.081475352112683,21.428571428571427,42.99654463614837,1157.142857142857,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2023,主食加工品,1760,1760,1656,0.9409090909090909,0.6948863636363637,0.6318181818181818,0.05284090909090909,34584.949826941185,19.650539674398402,146.68204621934402,11.662448791408918,10.15018187936709,10.794244670980376,6.763879591000139,0.2224968700474338,0.7495739832203323,0.02792914673223384,0.48845474391999266,28.469049233687336,0.1280193236714976,1656,20.884631538007962,151.13527942020778,0.04683794466403163,0.3369441136615612,0.8208467678453352,2.1050949244478883,7.732897384305835,38.57142857142857,67.39285714285714,166.7142857142861,3428.5714285714284,1656,7.188664299613674,45.61735266778625,0.01859005049492545,0.11909713125491223,0.3139603970444622,0.8342723004694836,3.2188128772635816,14.285714285714285,24.69642857142857,53.60855357142857,1157.142857142857,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2024,主食加工品,1787,1787,1716,0.9602686066032456,0.9378847229994404,0.16060436485730273,0.035254616675993285,21458.376801033304,12.008045216023113,26.755132539014465,11.235988334154527,10.506744373087217,10.946072318016071,4.804299902151788,0.8519177361663631,0.133398846232812,0.014683417600824854,0.13383798931630847,59.65223046613062,0.027972027972027972,1716,12.504881585683744,27.18925989785585,0.05143858079904592,0.32967032967032966,1.0209571915619007,4.373913043478261,15.67877551020408,32.97142857142857,45.10714285714286,82.90446428571414,839.2857142857143,1716,5.003079210457603,13.365953855995832,0.021390678836469654,0.11816560632350105,0.3879479895104895,1.6721638655462185,5.987544642857142,12.419642857142858,18.667867008681927,38.23094642857143,419.64285714285717,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
pooled_2023_2024,主食原粮/薯类,3547,3547,3540,0.9980265012686778,0.9238793346489992,0.645052156752185,0.13701719763180153,1297987.5178305856,365.93953138725277,14492.767584203577,54.438958426704104,45.015836000082864,45.10576489620175,123.4694215964236,0.10040495790688339,0.8911048318522969,0.008490210240819815,0.8782341139455242,236.96361592670215,0.039265536723163845,3540,366.6631406301089,14507.084412928649,0.4699707602339181,1.8430751787894646,4.247527844738093,14.085336538461537,62.426549865229106,121.47142857142856,195.0962857142857,973.4551484230149,857574.6285714286,3540,123.71357017020186,4827.595653121968,0.19378275959481817,0.7139927360774818,1.6034841475814108,5.330035003684598,22.509920634920636,47.37564040349509,80.72857142857134,411.8313543599265,285858.20952380955,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2023,主食原粮/薯类,1760,1760,1757,0.9982954545454545,0.9636363636363636,0.6607954545454545,0.18920454545454546,1172615.0807137515,666.2585685873588,20569.63836915426,77.6734815943744,50.384292913575806,50.471212337808545,222.95750392739438,0.06228541065007652,0.9326223593212176,0.00509223002870583,0.9251506826928874,164.02651696129954,0.07228229937393284,1757,667.3961757050379,20587.1832965227,0.5101140101555264,1.7671801890696122,3.543956043956044,8.13245011971269,43.66459627329192,122.8102367346939,228.56925019731582,2718.660519480549,857574.6285714286,1757,223.33819403085604,6851.063096320038,0.1933923285155693,0.6870019581883988,1.3632176308539945,3.2487373737373737,17.57936507936508,48.50957142857147,92.68114900153606,1024.4095040067407,285858.20952380955,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2024,主食原粮/薯类,1787,1787,1783,0.9977616116396195,0.8847229994404029,0.6295467263570229,0.08561835478455512,125372.43711683407,70.1580509887152,364.54087672107204,51.330537214048626,47.23041276027895,47.33745052290848,25.484516782484878,0.456939113350132,0.5027891865351726,0.040271700114695434,0.333580792602181,257.64517520889376,0.021873247335950644,1783,70.31544426070334,364.93461274294697,0.4604238159501317,1.9726396052926667,5.5468463589401775,26.428571428571427,68.57142857142857,120.0,171.3602999210733,454.28165714285745,10885.714285714284,1783,25.541689001851083,112.84326491284394,0.2043533843817647,0.7516490695793605,2.1418705603788477,10.4918,25.807373015873015,47.14285714285714,71.91190476190472,168.0842541436466,2721.428571428571,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
pooled_2023_2024,奶类,3547,3547,2357,0.6645052156752185,0.5971243304200733,0.004792782633211165,0.08542430222723428,22934.17497636815,6.465795031397843,16.674324018407614,6.187471057319913,5.674900404776615,8.569513127315908,2.4184746831371955,0.8969566462811072,0.007013086441550944,0.09603026727734182,0.12825841144802982,41.10514285714286,0.06194314806957998,2357,9.730239701471426,19.664395203591628,0.04156537753222836,0.24930747922437674,0.584,1.7677053824362607,10.714285714285714,30.0,46.6307923655292,81.42857142857143,462.85714285714283,2357,3.639511964822924,8.350545748944244,0.013222543352601156,0.084985835694051,0.2136752136752137,0.668,3.75,10.155600200904072,16.376623376623364,35.764571428571486,231.42857142857142,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
2023,奶类,1760,1760,1142,0.6488636363636363,0.5761363636363637,0.005681818181818182,0.09204545454545454,6117.391908834034,3.475790857292065,10.431278225035063,3.2390004191349826,2.899611647903155,4.485416956225412,1.4018190309864091,0.8860658077593517,0.016356674093983448,0.09757751814666471,0.17145717716477524,12.030657920374098,0.13222416812609458,1142,5.356735471833655,12.556378317322979,0.03719414265470005,0.1724137931034483,0.43352601156069365,0.9895054945054944,3.332808988764045,16.260000000000023,26.958754285714328,52.67663142857128,171.42857142857142,1142,2.1604216239370224,5.402863894706771,0.012296685082872927,0.06238093220338984,0.1639799087336798,0.360200019537928,1.3333333333333333,5.920000000000021,10.714285714285714,25.796055714285714,53.42857142857143,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
2024,奶类,1787,1787,1215,0.6799104644655848,0.6177951874650252,0.00391717963066592,0.07890318970341355,16816.783067534117,9.41062286935317,20.67281323463238,8.994809397909753,8.432603539897979,12.445456472361908,3.419769561584528,0.9009183747035916,0.0036141969348640114,0.09546742836154434,0.11044587899458756,72.70548165285007,0.0205761316872428,1215,13.840973718135077,23.819232926094486,0.04374968032325712,0.37252173913043496,0.989010989010989,4.285714285714286,18.918128654970758,39.30194805194806,52.93256142857137,85.71428571428571,462.85714285714283,1215,5.029735149425146,10.193118965199242,0.015014959880320958,0.1313608607153242,0.3510320860783145,1.5582089552238807,6.0,13.45193928571429,20.46887899635774,40.88785714285696,231.42857142857142,11,奶类,液态牛奶/羊奶；酸奶；奶粉,奶类,11,未纳入原六类,液态牛奶/羊奶; 酸奶; 奶粉,3,斤/月,元/斤,0,3
pooled_2023_2024,干果,3547,3547,2239,0.6312376656329293,0.5864110515928954,0.041161544967578234,0.025655483507189172,8013.330240442998,2.2591852947400612,34.892299442275856,1.447780213804643,1.1841580155892462,1.8831104904948122,0.962835578607817,0.814606755108064,0.15268423445491516,0.03270901043702074,0.4792461159436988,6.615777080062793,0.07592675301473872,2239,3.5789773293626603,43.86683566789167,0.04120879120879121,0.12362637362637363,0.25,0.7000000000000001,1.8414442700156983,4.7923043478260965,8.571428571428571,41.839285714285424,2000.0,2239,1.5253138889334197,21.560837201097186,0.010945092322643343,0.0415,0.08547008547008547,0.25,0.7142857142857143,2.142857142857143,4.285714285714286,18.74339999999984,1000.0,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
