base_ssp,diet_pathway,group_system,group_code,group_name,covered_production_mt,emissions_mtco2e,covered_production_mt_baseline,emissions_mtco2e_baseline,covered_production_mt_change,covered_production_mt_change_percent,emissions_mtco2e_change,emissions_mtco2e_change_percent
SSP1,CGS,ECONOMIC,EU27,European Union (27),797.4385651774021,410.0255547709438,799.2279316536045,429.2749377553061,-1.7893664762024173,-0.22388687949134178,-19.249382984362285,-4.484161848585433
SSP1,CGS,FOCUS,CHINA_MAINLAND,China mainland,1469.6184315098794,862.9621070495781,1509.4776034260683,913.7186872175373,-39.85917191618887,-2.6405937938873913,-50.756580167959214,-5.55494605484359
SSP1,CGS,FOCUS,USA,United States,810.6691097666918,343.95811018330073,811.8306460505805,362.4862608220965,-1.1615362838887222,-0.14307618091771168,-18.52815063879575,-5.111407697708337
SSP1,CGS,GLOBAL,WORLD,World,9480.086625729464,6164.875132070173,9554.355297286489,6431.003077773271,-74.2686715570253,-0.7773279226712226,-266.1279457030978,-4.138202742009023
SSP1,CGS,UN_REGION,002,Africa,450.5618767330295,645.1919615932378,451.8589605365023,663.6821620923124,-1.2970838034727876,-0.2870550142311523,-18.490200499074604,-2.786002329907844
SSP1,CGS,UN_REGION,009,Oceania,155.9536700868254,137.79395447668855,156.36507107146656,144.96049523933826,-0.4114009846411477,-0.2631028667861024,-7.166540762649703,-4.943788823856687
SSP1,CGS,UN_REGION,019,Americas,2881.5138423646467,1685.8339668228716,2886.507540971421,1786.7341663372467,-4.99369860677416,-0.17300140518924367,-100.90019951437512,-5.647185877752459
SSP1,CGS,UN_REGION,142,Asia,4544.518631829832,3060.807029650627,4607.015989701758,3174.131984720975,-62.4973578719264,-1.3565691547767433,-113.3249550703481,-3.57026600077911
SSP1,CGS,UN_REGION,150,Europe,1447.5386047151305,635.2482195267484,1452.6077350053415,661.4942693833992,-5.069130290210978,-0.3489675958659455,-26.24604985665087,-3.9676911912049806
SSP1,CGS,UN_REPORTING_AREA,005,South America,1689.5548650290586,1071.8720138099397,1692.1503464052696,1138.188464866834,-2.595481376210955,-0.15338361521626265,-66.31645105689427,-5.826491227413133
SSP1,CGS,UN_REPORTING_AREA,011,Western Africa,87.90353718678125,183.5975993154932,88.93305272720697,190.44280341525945,-1.0295155404257201,-1.1576298224954207,-6.845204099766249,-3.5943621796200476
SSP1,CGS,UN_REPORTING_AREA,013,Central America,246.62583368025165,189.2212469873536,246.46751516941114,200.80617129886423,0.15831851084050186,0.06423504157604398,-11.584924311510633,-5.769207309006719
SSP1,CGS,UN_REPORTING_AREA,014,Eastern Africa,146.12369223876541,313.02548177677596,146.18160523346484,322.5157453747772,-0.05791299469942146,-0.03961715607577743,-9.490263598001263,-2.94257372984168
SSP1,CGS,UN_REPORTING_AREA,015,Northern Africa,149.30579853803349,95.53628389255918,149.42078092947477,95.08794628481282,-0.11498239144128775,-0.07695207502332879,0.44833760774636744,0.47149783465034734
SSP1,CGS,UN_REPORTING_AREA,017,Middle Africa,15.971663727226607,25.679095109946037,16.070735412716097,26.80164655067522,-0.09907168548948952,-0.6164726314335178,-1.1225514407291826,-4.188367452002318
SSP1,CGS,UN_REPORTING_AREA,018,Southern Africa,51.25718504222277,27.353501498463437,51.2527862336396,28.834020466787717,0.004398808583175651,0.008582574541660115,-1.4805189683242794,-5.134625502640555
SSP1,CGS,UN_REPORTING_AREA,021,Northern America,928.6603132362651,401.84326509775656,931.1970464577646,423.84683703626723,-2.536733221499503,-0.27241637322080736,-22.003571938510674,-5.191396989622432
SSP1,CGS,UN_REPORTING_AREA,029,Caribbean,16.672830419071197,22.89744092782168,16.692632938975663,23.89269313528132,-0.019802519904466465,-0.11863029623223609,-0.9952522074596395,-4.165508684284703
SSP1,CGS,UN_REPORTING_AREA,030,Eastern Asia,1501.2493985342687,916.0052984323327,1541.6471445729076,969.8351393343871,-40.39774603863884,-2.6204275200620186,-53.82984090205446,-5.5504114791096075
SSP1,CGS,UN_REPORTING_AREA,034,Southern Asia,2191.490997950196,1331.7189836255282,2200.0689878631415,1356.3140120459618,-8.577989912945668,-0.38989640598848796,-24.595028420433664,-1.8133727294708635
SSP1,CGS,UN_REPORTING_AREA,035,South-eastern Asia,553.2662651851164,580.9506781723879,568.0014768389879,613.2902835280496,-14.735211653871488,-2.5942206586988314,-32.33960535566166,-5.273131863368674
SSP1,CGS,UN_REPORTING_AREA,039,Southern Europe,119.36991995743418,102.69165703430411,120.19335067212388,108.98413368430259,-0.8234307146897066,-0.6850884097040821,-6.292476649998477,-5.773754800149233
SSP1,CGS,UN_REPORTING_AREA,053,Australia and New Zealand,152.54302304034542,134.94178290908206,152.93905544544978,141.79505123376967,-0.3960324051043642,-0.25894785602728065,-6.853268324687605,-4.833221092736872
SSP1,CGS,UN_REPORTING_AREA,054,Melanesia,3.395216434734774,2.661934429470391,3.4092795307916615,2.9421216228481897,-0.014063096056887492,-0.4124946614049496,-0.28018719337779885,-9.523304244185427
SSP1,CGS,UN_REPORTING_AREA,057,Micronesia,0.0028988981915004,0.02342786953117275,0.0033029328012159995,0.02893567223863219,-0.00040403460971559935,-12.232601570545153,-0.005507802707459441,-19.03464575502739
SSP1,CGS,UN_REPORTING_AREA,061,Polynesia,0.012531713553727501,0.16680926860491335,0.013433162423918128,0.19438671048175385,-0.000901448870190627,-6.710622873029304,-0.027577441876840497,-14.186896732032029
SSP1,CGS,UN_REPORTING_AREA,143,Central Asia,73.61500729209294,92.24901286174502,73.55889185047671,94.20619677237914,0.05611544161622817,0.07628641514922929,-1.9571839106341287,-2.077553258373299
SSP1,CGS,UN_REPORTING_AREA,145,Western Asia,224.89696286815752,139.88305655863306,223.73948857624447,140.4863530401972,1.1574742919130472,0.517331249516384,-0.6032964815641435,-0.429434225110481
SSP1,CGS,UN_REPORTING_AREA,151,Eastern Europe,770.5818199123466,242.55071762961472,774.6310556440342,249.63239613541273,-4.049235731687531,-0.5227308797116303,-7.08167850579801,-2.8368427397366225
SSP1,CGS,UN_REPORTING_AREA,154,Northern Europe,144.35475613091734,101.53574033888879,144.080616888891,105.92604205401345,0.27413924202633666,0.19026795411192232,-4.390301715124664,-4.144685886484812
SSP1,CGS,UN_REPORTING_AREA,155,Western Europe,413.23210871443234,188.4701045239407,413.7027118002926,196.95169750967042,-0.47060308586026167,-0.11375392822839947,-8.48159298572972,-4.30643304575391
SSP1,CGS,UN_SPECIAL_GROUP,LDC,Least developed countries,349.6200771267149,667.5101816933488,354.74201471917036,686.6834896985425,-5.121937592455481,-1.4438485941706825,-19.17330800519369,-2.79216091442811
SSP1,CGS,UN_SPECIAL_GROUP,LLDC,Landlocked developing countries,311.38909923394203,527.8584683509907,312.18439417283065,543.5134279752909,-0.7952949388886168,-0.25475166399520077,-15.654959624300204,-2.8803261922375034
SSP1,CGS,UN_SPECIAL_GROUP,PACIFIC_ISLANDS,Pacific island countries and areas,3.4106470464800016,2.8521715676064767,3.4260156260167953,3.1654440055685753,-0.015368579536793714,-0.4485846304986607,-0.3132724379620986,-9.896634955822847
SSP1,CGS,UN_SPECIAL_GROUP,SIDS,Small island developing States,27.68401858400756,31.012088168500824,27.80930186327717,32.600111880616765,-0.1252832792696097,-0.45050853806239965,-1.588023712115941,-4.871221663076996
SSP1,CGS,UN_SUBREGION,015,Northern Africa,149.30579853803349,95.53628389255918,149.42078092947477,95.08794628481282,-0.11498239144128775,-0.07695207502332879,0.44833760774636744,0.47149783465034734
SSP1,CGS,UN_SUBREGION,021,Northern America,928.6603132362651,401.84326509775656,931.1970464577646,423.84683703626723,-2.536733221499503,-0.27241637322080736,-22.003571938510674,-5.191396989622432
SSP1,CGS,UN_SUBREGION,030,Eastern Asia,1501.2493985342687,916.0052984323327,1541.6471445729076,969.8351393343871,-40.39774603863884,-2.6204275200620186,-53.82984090205446,-5.5504114791096075
SSP1,CGS,UN_SUBREGION,034,Southern Asia,2191.490997950196,1331.7189836255282,2200.0689878631415,1356.3140120459618,-8.577989912945668,-0.38989640598848796,-24.595028420433664,-1.8133727294708635
SSP1,CGS,UN_SUBREGION,035,South-eastern Asia,553.2662651851164,580.9506781723879,568.0014768389879,613.2902835280496,-14.735211653871488,-2.5942206586988314,-32.33960535566166,-5.273131863368674
SSP1,CGS,UN_SUBREGION,039,Southern Europe,119.36991995743418,102.69165703430411,120.19335067212388,108.98413368430259,-0.8234307146897066,-0.6850884097040821,-6.292476649998477,-5.773754800149233
SSP1,CGS,UN_SUBREGION,053,Australia and New Zealand,152.54302304034542,134.94178290908206,152.93905544544978,141.79505123376967,-0.3960324051043642,-0.25894785602728065,-6.853268324687605,-4.833221092736872
SSP1,CGS,UN_SUBREGION,054,Melanesia,3.395216434734774,2.661934429470391,3.4092795307916615,2.9421216228481897,-0.014063096056887492,-0.4124946614049496,-0.28018719337779885,-9.523304244185427
SSP1,CGS,UN_SUBREGION,057,Micronesia,0.0028988981915004,0.02342786953117275,0.0033029328012159995,0.02893567223863219,-0.00040403460971559935,-12.232601570545153,-0.005507802707459441,-19.03464575502739
SSP1,CGS,UN_SUBREGION,061,Polynesia,0.012531713553727501,0.16680926860491335,0.013433162423918128,0.19438671048175385,-0.000901448870190627,-6.710622873029304,-0.027577441876840497,-14.186896732032029
SSP1,CGS,UN_SUBREGION,143,Central Asia,73.61500729209294,92.24901286174502,73.55889185047671,94.20619677237914,0.05611544161622817,0.07628641514922929,-1.9571839106341287,-2.077553258373299
SSP1,CGS,UN_SUBREGION,145,Western Asia,224.89696286815752,139.88305655863306,223.73948857624447,140.4863530401972,1.1574742919130472,0.517331249516384,-0.6032964815641435,-0.429434225110481
SSP1,CGS,UN_SUBREGION,151,Eastern Europe,770.5818199123466,242.55071762961472,774.6310556440342,249.63239613541273,-4.049235731687531,-0.5227308797116303,-7.08167850579801,-2.8368427397366225
SSP1,CGS,UN_SUBREGION,154,Northern Europe,144.35475613091734,101.53574033888879,144.080616888891,105.92604205401345,0.27413924202633666,0.19026795411192232,-4.390301715124664,-4.144685886484812
SSP1,CGS,UN_SUBREGION,155,Western Europe,413.23210871443234,188.4701045239407,413.7027118002926,196.95169750967042,-0.47060308586026167,-0.11375392822839947,-8.48159298572972,-4.30643304575391
SSP1,CGS,UN_SUBREGION,202,Sub-Saharan Africa,301.25607819499606,549.6556777006786,302.4381796070275,568.5942158074996,-1.182101412031443,-0.39085720379861133,-18.938538106821056,-3.3307651714193254
SSP1,CGS,UN_SUBREGION,419,Latin America and the Caribbean,1952.8535291283813,1283.9907017251153,1955.310494513656,1362.8873293009794,-2.4569653852747706,-0.12565602200615977,-78.89662757586416,-5.7889325023169675
SSP1,CGS,WB_DEVELOPMENT_STATUS,DEVELOPING_ECONOMIES,"Developing economies (World Bank FY25 LIC, LMC and UMC)",7059.282148286274,4911.0058603500265,7125.873715539411,5116.679381484219,-66.59156725313733,-0.9345038925952509,-205.67352113419292,-4.019667948679095
SSP1,CGS,WB_INCOME_FY25,HIC,High income,2408.475668982842,1205.9629556758537,2416.241055366519,1264.3834422394123,-7.765386383677196,-0.3213829334796747,-58.4204865635586,-4.620472288065336
SSP1,CGS,WB_INCOME_FY25,LIC,Low income,134.74700557509902,346.61755100903105,134.78372338033316,352.58184624321217,-0.03671780523413304,-0.027242017295014964,-5.964295234181122,-1.6916058775377052
SSP1,CGS,WB_INCOME_FY25,LMC,Lower middle income,2728.6595168307836,1984.4112807792758,2746.851108575657,2041.60960143217,-18.19159174487322,-0.6622707611664502,-57.198320652894154,-2.801628705741299
SSP1,CGS,WB_INCOME_FY25,NCL,Not classified,12.328808460347895,47.906316044293,12.240526380559249,49.940254049639776,0.08828207978864633,0.7212278054386401,-2.0339380053467764,-4.072742608247603
SSP1,CGS,WB_INCOME_FY25,UMC,Upper middle income,4195.875625880391,2579.97702856172,4244.238883583421,2722.487933808837,-48.363257703029376,-1.1395036667256608,-142.51090524711708,-5.234583539466431
SSP1,MTS,ECONOMIC,EU27,European Union (27),797.6401280489818,417.2333137725733,799.2279316536045,429.2749377553061,-1.5878036046227635,-0.19866718138060735,-12.041623982732801,-2.8051076183713164
SSP1,MTS,FOCUS,CHINA_MAINLAND,China mainland,1485.196597612617,882.4624429902123,1509.4776034260683,913.7186872175373,-24.281005813451202,-1.6085701277276598,-31.256244227325055,-3.4207732275353564
SSP1,MTS,FOCUS,USA,United States,810.8847280881846,351.0149446157072,811.8306460505805,362.4862608220965,-0.9459179623959244,-0.11651666107921343,-11.471316206389304,-3.1646209653223956
SSP1,MTS,GLOBAL,WORLD,World,9505.536220565944,6262.878892766853,9554.355297286489,6431.003077773271,-48.81907672054513,-0.5109614955852715,-168.12418500641797,-2.6142762330107705
SSP1,MTS,UN_REGION,002,Africa,450.8752679126064,651.6746865708886,451.8589605365023,663.6821620923124,-0.9836926238959336,-0.21769904102996174,-12.007475521423771,-1.8092207697083862
SSP1,MTS,UN_REGION,009,Oceania,156.02540670282767,140.42895472366445,156.36507107146656,144.96049523933826,-0.3396643686388927,-0.2172252193609503,-4.531540515673811,-3.1260520379652212
SSP1,MTS,UN_REGION,019,Americas,2882.972366818775,1723.7712270853756,2886.507540971421,1786.7341663372467,-3.53517415264605,-0.12247236850995158,-62.96293925187115,-3.5239119751621084
SSP1,MTS,UN_REGION,142,Asia,4566.8836996983155,3102.0397443344923,4607.015989701758,3174.131984720975,-40.132290003442904,-0.8711124531182945,-72.0922403864829,-2.2712426809441633
SSP1,MTS,UN_REGION,150,Europe,1448.7794794334197,644.9642800524325,1452.6077350053415,661.4942693833992,-3.8282555719217726,-0.2635436587364537,-16.529989330966714,-2.498886248307919
SSP1,MTS,UN_REPORTING_AREA,005,South America,1690.4033593155941,1096.6852200606058,1692.1503464052696,1138.188464866834,-1.7469870896754855,-0.10324065431813745,-41.50324480622817,-3.646429926794592
SSP1,MTS,UN_REPORTING_AREA,011,Western Africa,88.2762140792746,186.08500214297567,88.93305272720697,190.44280341525945,-0.6568386479323749,-0.7385765222151508,-4.35780127228378,-2.288246756576895
SSP1,MTS,UN_REPORTING_AREA,013,Central America,246.49012061245614,193.57841269009862,246.46751516941114,200.80617129886423,0.0226054430449949,0.009171773825622509,-7.227758608765612,-3.599370757389908
SSP1,MTS,UN_REPORTING_AREA,014,Eastern Africa,146.08113316467967,316.3787759966772,146.18160523346484,322.5157453747772,-0.1004720687851659,-0.06873099294860685,-6.136969378100048,-1.9028433390030686
SSP1,MTS,UN_REPORTING_AREA,015,Northern Africa,149.26637387052773,95.20862772339254,149.42078092947477,95.08794628481282,-0.15440705894704365,-0.1033370713140136,0.12068143857972302,0.12691560107760402
SSP1,MTS,UN_REPORTING_AREA,017,Middle Africa,16.007557459678544,26.09817980559554,16.070735412716097,26.80164655067522,-0.06317795303755247,-0.393124218743357,-0.7034667450796803,-2.6247146560551826
SSP1,MTS,UN_REPORTING_AREA,018,Southern Africa,51.243989338445836,27.904100902247695,51.2527862336396,28.834020466787717,-0.008796895193761145,-0.017163740432879493,-0.9299195645400218,-3.225077701568335
SSP1,MTS,UN_REPORTING_AREA,021,Northern America,929.4072867313756,410.24798246365935,931.1970464577646,423.84683703626723,-1.7897597263889793,-0.19219989294394502,-13.598854572607877,-3.208436016108396
SSP1,MTS,UN_REPORTING_AREA,029,Caribbean,16.67160015934916,23.259611871011483,16.692632938975663,23.89269313528132,-0.021032779626501963,-0.1260003721605396,-0.6330812642698369,-2.649685661994261
SSP1,MTS,UN_REPORTING_AREA,030,Eastern Asia,1517.0010087924813,936.6535679841863,1541.6471445729076,969.8351393343871,-24.64613578042622,-1.5986885109986804,-33.181571350200784,-3.4213620443752757
SSP1,MTS,UN_REPORTING_AREA,034,Southern Asia,2193.312648096376,1339.4676569627661,2200.0689878631415,1356.3140120459618,-6.75633976676545,-0.30709672305901936,-16.846355083195704,-1.2420689407892649
SSP1,MTS,UN_REPORTING_AREA,035,South-eastern Asia,558.8016566575119,593.1514984878098,568.0014768389879,613.2902835280496,-9.199820181475957,-1.6196824403827859,-20.13878504023978,-3.2837280454515283
SSP1,MTS,UN_REPORTING_AREA,039,Southern Europe,119.61811837543883,105.11832363119818,120.19335067212388,108.98413368430259,-0.5752322966850585,-0.478589117840833,-3.8658100531044113,-3.5471310569872627
SSP1,MTS,UN_REPORTING_AREA,053,Australia and New Zealand,152.60845001928325,137.44967463288432,152.93905544544978,141.79505123376967,-0.3306054261665281,-0.21616808421079936,-4.345376600885345,-3.0645474317163357
SSP1,MTS,UN_REPORTING_AREA,054,Melanesia,3.4009858929552603,2.775394654875317,3.4092795307916615,2.9421216228481897,-0.008293637836401135,-0.2432665834964598,-0.16672696797287268,-5.666895844076924
SSP1,MTS,UN_REPORTING_AREA,057,Micronesia,0.0030692552633925,0.02574900855161408,0.0033029328012159995,0.02893567223863219,-0.00023367753782349955,-7.0748498951437755,-0.0031866636870181084,-11.01292432654658
SSP1,MTS,UN_REPORTING_AREA,061,Polynesia,0.012901535325778516,0.17813642735320276,0.013433162423918128,0.19438671048175385,-0.0005316270981396126,-3.9575721737201364,-0.01625028312855109,-8.35977062849491
SSP1,MTS,UN_REPORTING_AREA,143,Central Asia,73.51960152169521,92.87513479621511,73.55889185047671,94.20619677237914,-0.03929032878150451,-0.053413432140014816,-1.3310619761640368,-1.4129240132473964
