base_ssp,diet_pathway,economy_id,food_demand_mt,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day,food_demand_mt_baseline,kcal_per_capita_day_baseline,protein_g_per_capita_day_baseline,fat_g_per_capita_day_baseline,food_demand_mt_change,food_demand_mt_change_percent,kcal_per_capita_day_change,kcal_per_capita_day_change_percent,protein_g_per_capita_day_change,protein_g_per_capita_day_change_percent,fat_g_per_capita_day_change,fat_g_per_capita_day_change_percent,aggregation
SSP1,CGS,CHN,462.21997507922345,1981.7168521809829,70.6446672951177,54.24335469304197,565.0107979255489,2760.482246287739,92.87625563004066,84.11321816794336,-102.79082284632545,-18.192718302681033,-778.7653941067563,-28.211208210233195,-22.23158833492296,-23.93678360966588,-29.869863474901386,-35.51149762842528,China
SSP1,MTS,CHN,499.70092899870855,2293.1240165031572,79.42064579422808,67.36896420422036,565.0107979255489,2760.482246287739,92.87625563004066,84.11321816794336,-65.30986892684035,-11.559047927336463,-467.3582297845819,-16.930311014065722,-13.45560983581258,-14.487674750165514,-16.744253963722997,-19.906804576530224,China
SSP1,PTS,CHN,568.9575429019719,2742.178527419468,94.82996389444159,89.50051837092532,565.0107979255489,2760.482246287739,92.87625563004066,84.11321816794336,3.9467449764230196,0.6985255840974425,-18.303718868271062,-0.6630623650228373,1.9537082644009303,2.1035605399331025,5.387300202981962,6.404819979929299,China
SSP2,CGS,CHN,440.0216352288878,1914.6906834083375,68.06334244662467,52.416545567073676,538.2597773105457,2668.680746208162,89.4980961655574,81.3437022428377,-98.23814208165788,-18.251065047533732,-753.9900627998245,-28.253288216327242,-21.434753718932726,-23.949954956898523,-28.927156675764017,-35.56164260806195,China
SSP2,MTS,CHN,475.8046071827834,2216.0430023593112,76.51172025668208,65.12249935127947,538.2597773105457,2668.680746208162,89.4980961655574,81.3437022428377,-62.4551701277623,-11.603165007020245,-452.63774384885073,-16.961105013853317,-12.986375908875317,-14.510225876595817,-16.22120289155822,-19.941559634368,China
SSP2,PTS,CHN,541.8915303622883,2650.6591726120837,91.36417490537714,86.55075878527043,538.2597773105457,2668.680746208162,89.4980961655574,81.3437022428377,3.631753051742635,0.6747212414587089,-18.02157359607827,-0.6752989701628631,1.8660787398197414,2.085048531499245,5.207056542432738,6.401302619455351,China
SSP3,CGS,CHN,419.8556567430062,1804.3512619984388,63.65526016149264,49.222100510217196,513.9814459482476,2514.566275545463,83.60852139868784,76.31087830786173,-94.1257892052414,-18.313071405055904,-710.2150135470245,-28.244036375337277,-19.9532612371952,-23.865104780466005,-27.088777797644532,-35.497924278056416,China
SSP3,MTS,CHN,454.13210691398564,2088.178102500492,71.50879633778663,61.13397486403862,513.9814459482476,2514.566275545463,83.60852139868784,76.31087830786173,-59.84933903426196,-11.644260606303703,-426.38817304497115,-16.956728370680086,-12.099725060901207,-14.47188020848208,-15.176903443823107,-19.888256799502134,China
SSP3,PTS,CHN,517.0245524062436,2496.244270211788,85.27775484338812,81.15913788902104,513.9814459482476,2514.566275545463,83.60852139868784,76.31087830786173,3.043106457996032,0.5920654299848893,-18.322005333675406,-0.7286348151512079,1.6692334447002821,1.996487220172849,4.848259581159311,6.353300720245847,China
SSP4,CGS,CHN,429.7568861758966,1906.6303277159238,67.8611277234747,52.34403402663954,525.0497051341155,2656.5611635707296,89.17813401794362,81.16447574733677,-95.29281895821885,-18.14929482416866,-749.9308358548058,-28.229383390021813,-21.317006294468925,-23.903848773265103,-28.820441720697225,-35.50868955331471,China
SSP4,MTS,CHN,464.4239507889597,2206.335325808482,76.26138727251346,65.00261099289227,525.0497051341155,2656.5611635707296,89.17813401794362,81.16447574733677,-60.62575434515577,-11.546669534776688,-450.22583776224747,-16.947693278670506,-12.91674674543016,-14.484208363040175,-16.161864754444494,-19.912485857428596,China
SSP4,PTS,CHN,528.7253463132306,2638.9740266383424,91.0531947701695,86.36656817835427,525.0497051341155,2656.5611635707296,89.17813401794362,81.16447574733677,3.675641179115132,0.70005585055537,-17.58713693238724,-0.6620264262520492,1.8750607522258775,2.1026014648934055,5.202092431017505,6.409321791483635,China
SSP5,CGS,CHN,467.9869926242984,2005.6874275082969,71.80067734253117,55.18729074855551,571.0775159883033,2793.774018153562,94.40479861256824,85.59527165239759,-103.09052336400487,-18.051931739178528,-788.086590645265,-28.208673483409395,-22.60412127003707,-23.943826587463057,-30.407980903842073,-35.52530451369894,China
SSP5,MTS,CHN,505.4906403318119,2320.692071576582,80.71925975226922,68.53319479215716,571.0775159883033,2793.774018153562,94.40479861256824,85.59527165239759,-65.58687565649137,-11.484758867276913,-473.08194657698004,-16.933436401905034,-13.685538860299019,-14.496655955449544,-17.062076860240424,-19.93343385780645,China
SSP5,PTS,CHN,575.4718295106741,2776.4607221032243,96.45883622179191,91.11394899660988,571.0775159883033,2793.774018153562,94.40479861256824,85.59527165239759,4.394313522370794,0.7694775926812669,-17.313296050337613,-0.6197099671569006,2.05403760922367,2.1757766971712167,5.518677344212293,6.4474091122972865,China
SSP1,CGS,WORLD,3431.8227242608605,2438.7114340325197,67.35570274436992,76.47723617850936,3518.3446455414737,2530.998733551361,69.95583115033007,79.72116797436698,-86.52192128061324,-2.4591656019331665,-92.28729951884134,-3.646279956424503,-2.600128405960149,-3.7168144001786807,-3.2439317958576197,-4.069097177428027,World
SSP1,MTS,WORLD,3462.624513653343,2474.983310791769,68.35167390503814,77.86721323234116,3518.3446455414737,2530.998733551361,69.95583115033007,79.72116797436698,-55.72013188813071,-1.5837030621414727,-56.015422759592184,-2.213174665678097,-1.6041572452919297,-2.293100116049951,-1.8539547420258202,-2.3255488964009308,World
SSP1,PTS,WORLD,3519.229486619592,2527.4443265680884,70.11461446757777,80.29762476559617,3518.3446455414737,2530.998733551361,69.95583115033007,79.72116797436698,0.8848410781183702,0.025149357645770642,-3.5544069832726564,-0.14043495700549746,0.15878331724769623,0.22697652881356056,0.5764567912291909,0.7230912515162169,World
SSP2,CGS,WORLD,3382.212080262594,2314.78536479609,63.439381992742334,72.27075333938464,3464.774023169884,2399.198858502331,65.80725908597371,75.23703742351817,-82.5619429072899,-2.382895460286172,-84.41349370624084,-3.5184033789902203,-2.367877093231378,-3.5982004510138776,-2.966284084133534,-3.9425849099240406,World
SSP2,MTS,WORLD,3411.586683663099,2347.955126359393,64.34540494117813,73.54192629346215,3464.774023169884,2399.198858502331,65.80725908597371,75.23703742351817,-53.187339506785065,-1.5350882669723065,-51.243732142937915,-2.1358684779854475,-1.4618541447955806,-2.2214177662159496,-1.69511113005602,-2.2530274823476137,World
SSP2,PTS,WORLD,3465.5045695677845,2395.9104037386414,65.94959801754148,75.76321568046272,3464.774023169884,2399.198858502331,65.80725908597371,75.23703742351817,0.7305463979005253,0.021084965224726915,-3.288454763689515,-0.1370647019123039,0.1423389315677639,0.2162967027418805,0.5261782569445472,0.6993606805417274,World
SSP3,CGS,WORLD,3261.0445770995507,2142.814858830034,58.14216934235778,66.46707669022872,3340.258836641741,2220.028445534459,60.28416833156805,69.1666382347919,-79.21425954219012,-2.3715006356163526,-77.21358670442487,-3.4780449259440127,-2.141998989210265,-3.5531700087974794,-2.6995615445631813,-3.9029821507289286,World
SSP3,MTS,WORLD,3289.245568344539,2173.164122598972,58.961093103951136,67.62601070750397,3340.258836641741,2220.028445534459,60.28416833156805,69.1666382347919,-51.01326829720165,-1.5272250083616212,-46.86432293548705,-2.1109784890258387,-1.3230752276169113,-2.1947308293943535,-1.5406275272879384,-2.227414208072609,World
SSP3,PTS,WORLD,3340.6266841187967,2216.891647632796,60.40564068021505,69.6426017748937,3340.258836641741,2220.028445534459,60.28416833156805,69.1666382347919,0.36784747705587506,0.01101254408852892,-3.136797901663158,-0.14129539231683141,0.12147234864700351,0.2014995843998335,0.47596354010180164,0.6881403408477205,World
SSP4,CGS,WORLD,3349.9423560867976,2227.040469451033,60.726887541212356,69.23700278837316,3430.0504680441313,2306.622439884253,62.960753983140215,72.03786341459374,-80.10811195733368,-2.3354791045687606,-79.5819704332198,-3.450151574750715,-2.2338664419278587,-3.5480300037798895,-2.800860626220583,-3.8880395578933413,World
