base_ssp,diet_pathway,group_system,group_code,group_name,primary_production_mt,primary_food_demand_mt,primary_net_import_mt,primary_production_mt_baseline,primary_food_demand_mt_baseline,primary_net_import_mt_baseline,primary_production_mt_change,primary_production_mt_change_percent,primary_food_demand_mt_change,primary_food_demand_mt_change_percent,primary_net_import_mt_change,primary_net_import_mt_change_percent
SSP1,CGS,ECONOMIC,EU27,European Union (27),797.4385651774021,106.39336373633284,-52.02409375536098,799.2279316536045,102.35779623662938,-52.2246098386858,-1.7893664762024173,-0.22388687949134178,4.035567499703461,3.9426088173821983,0.20051608332482118,-0.3839494137805599
SSP1,CGS,FOCUS,CHINA_MAINLAND,China mainland,1469.6184315098794,332.61473568043385,-291.43031628344005,1509.4776034260683,488.00107462692597,-182.3102782864922,-39.85917191618887,-2.6405937938873913,-155.38633894649212,-31.84139278080158,-109.12003799694784,59.85402415187515
SSP1,CGS,FOCUS,USA,United States,810.6691097666918,106.23168842018538,16.723224851641632,811.8306460505805,104.03319562573675,9.434340725629937,-1.1615362838887222,-0.14307618091771168,2.198492794448626,2.113260850274923,7.288884126011695,77.25907233994891
SSP1,CGS,GLOBAL,WORLD,World,9480.086625729464,2319.7691435146867,1.5937156108702943e-12,9554.355297286489,2447.057767043174,-1.7548670849798498e-12,-74.2686715570253,-0.7773279226712226,-127.28862352848728,-5.201700803422082,3.348582695850144e-12,
SSP1,CGS,UN_REGION,002,Africa,450.5618767330295,433.0001707136814,395.8841340459052,451.8589605365023,429.7236889619703,392.32031055245295,-1.2970838034727876,-0.2870550142311523,3.276481751711117,0.7624624464212637,3.5638234934522757,0.908396378569809
SSP1,CGS,UN_REGION,009,Oceania,155.9536700868254,12.584327705061938,-15.278397300433781,156.36507107146656,12.262649320959866,-13.154159026484656,-0.4114009846411477,-0.2631028667861024,0.3216783841020714,2.623237244110399,-2.124238273949125,16.148795751002943
SSP1,CGS,UN_REGION,019,Americas,2881.5138423646467,313.9766466687312,-56.81219301216365,2886.507540971421,308.3603996120406,-78.6628943188343,-4.99369860677416,-0.17300140518924367,5.616247056690554,1.8213256513341491,21.850701306670658,-27.777647257811278
SSP1,CGS,UN_REGION,142,Asia,4544.518631829832,1375.9170610352826,-101.26909759012939,4607.015989701758,1518.648981929733,-65.67802243317838,-62.4973578719264,-1.3565691547767433,-142.73192089445047,-9.398611699794001,-35.59107515695101,54.19023569590846
SSP1,CGS,UN_REGION,150,Europe,1447.5386047151305,184.29093739192965,-222.52444614317682,1452.6077350053415,178.06204721846996,-234.82523477395713,-5.069130290210978,-0.3489675958659455,6.228890173459689,3.4981571147596924,12.300788630780318,-5.238273749676459
SSP1,CGS,UN_REPORTING_AREA,005,South America,1689.5548650290586,129.17568356008627,-101.98112139198294,1692.1503464052696,127.07098544651583,-113.29757067347867,-2.595481376210955,-0.15338361521626265,2.1046981135704357,1.65631682651608,11.316449281495736,-9.988254129569574
SSP1,CGS,UN_REPORTING_AREA,011,Western Africa,87.90353718678125,127.01764848452143,106.86715047504919,88.93305272720697,125.88325126503227,105.03428134734342,-1.0295155404257201,-1.1576298224954207,1.1343972194891592,0.901150238883508,1.832869127705763,1.7450199155878865
