编号,作者_年份,样本量,PCC,SE_PCC,弹性,Target,Indicator_Type,Path,N_check,N_used,LogN
P_01,孟娜_2026,2412,0.139,0.02,0.188,Yield,Capital,MCI,2412,2412,7.788211557847076
P_02,姚成胜_2025,651,0.362,0.034,0.182,Yield,Rate,AML,651,651,6.478509642208569
P_03,彭建仿_2024,341,0.116,0.054,0.194,Yield,Rate,AML,341,341,5.831882477283517
P_04,管宁宁_2024,533,0.086,0.043,,Efficiency,AMS,AMS,533,533,6.278521424165844
P_05,薛信阳_2024,491,0.432,0.04,,Efficiency,AMS,AMS,491,491,6.19644412779452
P_06,彭新宇_2023,341,0.386,0.05,,Efficiency,AMS,AMS,309,309,5.733341276897745
P_07,魏素豪_2023,677,0.13,0.038,,Efficiency,AMS,AMS,667,667,6.502790045915623
P_08,胡霞_2023,9297,0.071,0.01,0.407,Area,Rate,AML,9297,9297,9.137447046455858
P_09,刘颖_2023,859,0.083,0.034,0.207,Yield,Capital,MCI,859,859,6.755768921984255
P_10,宦梅丽_2023,1385,0.056,0.026,,Efficiency,AMS,AMS,1185,1185,7.077498053569231
P_11,卢华_2023,328,0.23,0.054,0.18,Yield,AMS,AMS,328,328,5.793013608384143
P_12,薛信阳_2022,2272,0.176,0.02,0.0235,Area,AMS,AMS,2272,2272,7.7284157798410416
P_14,刘琼_2022,260,0.196,0.061,,Efficiency,Capital,MCI,260,260,5.560681631015528
P_15,仇童伟_2021,3179,0.097,0.051,0.134,Yield,AMS,AMS,3179,3179,8.064321960910803
P_16,许佳彬_2021,298,0.205,0.057,,Efficiency,AMS,AMS,298,298,5.697093486505405
P_17,杨思雨_2022,544,0.079,0.043,,Efficiency,AMS,AMS,544,544,6.298949246855942
P_18,杨思雨_2021,597,0.329,0.039,,Efficiency,AMS,AMS,597,597,6.391917113392602
P_19,朱满德_2021,1189,0.103,0.029,0.015,Area,Rate,AML,1189,1189,7.080867896690782
P_20,睢忠林_2021,270,0.216,0.059,,Efficiency,Capital,MCI,210,210,5.3471075307174685
P_21,宦梅丽_2021,4805,0.028,0.014,,Efficiency,AMS,AMS,2063,2063,7.631916513071252
P_22,徐建玲_2020,300,-0.211,0.056,-0.158,Yield,Rate,AML,300,300,5.703782474656201
P_23,彭超_2020,83356,0.07,0.003,,Efficiency,Capital,MCI,226741,226741,12.331563675899696
P_24,张丽_2020,403,0.139,0.049,,Efficiency,AMS,AMS,394,394,5.976350909297934
P_25,彭继权_2021,881,0.482,0.03,1.22,Yield,Rate,AML,1682,1682,7.427738840532893
P_26,彭继权_2020,1682,0.168,0.024,1.104,Area,Rate,AML,1682,1682,7.427738840532893
P_27,刘成_2019,180,0.162,0.074,,Efficiency,Rate,AML,180,180,5.19295685089021
P_28,虞松波_2019,345,0.123,0.053,,Efficiency,AMS,AMS,345,345,5.843544417031359
P_29,陈实_2019,304,0.207,0.056,0.584,Yield,Capital,MCI,304,304,5.717027701406222
P_30,胡祎_2018,240,0.262,0.062,,Efficiency,AMS,AMS,240,240,5.480638923341991
P_31,杨进_2018,68241,-0.009,0.005,-0.221,Area,Capital,MCI,54211,54211,10.90063911886528
E_01,Sang_2026,1263,0.057,0.028,0.473,Yield,Capital,MCI,1819,1819,7.506042178518122
E_02,Li_2023,1113,0.095,0.03,0.147,Yield,AMS,AMS,847,847,6.741700694652054
E_03,Wu_2025,12795,0.12,0.009,0.219,Efficiency,AMS,AMS,21432,21432,9.972640411224445
E_04,Ding_2025,1060,0.124,0.03,0.227,Yield,AMS,AMS,993,993,6.900730664045172
E_05,Lu_2022,1058,0.092,0.031,0.078,Yield,AMS,AMS,404,404,6.00141487796115
E_06,Shi_2026,1097,0.059,0.03,,Yield,AMS,AMS,1688,1688,7.431299675155902
E_07,Huang_2024,4400,0.025,0.015,0.063,Area,Capital,MCI,4400,4400,8.389359819906351
E_08,Ma_2018,493,0.141,0.044,0.171,Yield,Capital,MCI,493,493,6.20050917404269
E_09,Wang_2024,11268,0.024,0.009,,Yield,Rate,AML,15416,15416,9.643161210094203
E_10,Yang_2023,3472,-0.024,0.017,,Yield,Capital,MCI,3472,3472,8.15248607578024
E_11,Zhou_2020,493,0.147,0.044,0.089,Yield,Capital,MCI,493,493,6.20050917404269
E_12,Zeng_2025,2889,-0.055,0.019,-0.606,Yield,Capital,MCI,2889,2889,7.968665700466235
E_13,Li_2024,2600,-0.106,0.02,-0.441,Area,Capital,MCI,1642,1642,7.403670290012373
E_14,Zhou_2025,264,0.31,0.058,0.51,Efficiency,Capital,MCI,987,987,6.894670039433481
E_15,Chandio_2022,28,0.488,0.165,0.366,Yield,Capital,MCI,28,28,3.332204510175204
