variant,model,group,group_label_cn,rmse_x,mae_x,mean_x,relative_rmse
robust_real_derived_cpi_nonfood,AIDADS_sat,grain,粮食/主粮,0.07854088500451215,0.053976246284116104,0.4162108514051832,0.1887045586133751
robust_real_derived_cpi_nonfood,AIDADS_sat,oil,食用油,0.03154163394659633,0.02533614027697826,0.1280012295893504,0.24641664808836
robust_real_derived_cpi_nonfood,AIDADS_sat,vegetable,蔬菜,0.0050995247487057764,0.003797550140895535,0.02945389632785241,0.17313582868435395
robust_real_derived_cpi_nonfood,AIDADS_sat,fruit,水果,0.005836404256041821,0.004824984906681737,0.021818264277288748,0.2675008507490259
robust_real_derived_cpi_nonfood,AIDADS_sat,pork,猪肉,0.041850414083963734,0.034557856546457856,0.10369770792339729,0.40358089799708136
robust_real_derived_cpi_nonfood,AIDADS_sat,beef,牛肉,0.0066136319815006,0.002748614624920239,0.005376298488145825,1.2301459816792102
robust_real_derived_cpi_nonfood,AIDADS_sat,mutton,羊肉,0.007994316040745696,0.004693341937125867,0.005959933828376933,1.3413430871803464
robust_real_derived_cpi_nonfood,AIDADS_sat,poultry,禽肉,0.010661334315621876,0.008263616444962029,0.017006827581773458,0.6268855413720917
robust_real_derived_cpi_nonfood,AIDADS_sat,aquatic,水产品,0.006635944086508396,0.005024150028127348,0.012086946516067662,0.5490174112781065
robust_real_derived_cpi_nonfood,AIDADS_sat,egg,蛋类,0.006690660587325524,0.005348769426125024,0.019618095147095598,0.3410453735268002
robust_real_derived_cpi_nonfood,AIDADS_sat,milk,奶类,0.003826582943310547,0.00311731505183395,0.01000442393094712,0.3824890838015782
robust_real_derived_cpi_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,3.6157779463044615,2.7167531422053535,187.40895904594552,0.019293517048019092
robust_real_derived_cpi_nonfood,MAIDADS_sat,grain,粮食/主粮,0.0784617450693308,0.05406536617676287,0.4162108514051832,0.18851441475981107
robust_real_derived_cpi_nonfood,MAIDADS_sat,oil,食用油,0.03153402503466211,0.025359993809630423,0.1280012295893504,0.24635720403490338
robust_real_derived_cpi_nonfood,MAIDADS_sat,vegetable,蔬菜,0.005093330377942025,0.003793081052720644,0.02945389632785241,0.17292552133843267
robust_real_derived_cpi_nonfood,MAIDADS_sat,fruit,水果,0.005839940149974853,0.0048294703832063475,0.021818264277288748,0.26766291194179975
robust_real_derived_cpi_nonfood,MAIDADS_sat,pork,猪肉,0.04195997407885297,0.03444591068464061,0.10369770792339729,0.4046374304613299
robust_real_derived_cpi_nonfood,MAIDADS_sat,beef,牛肉,0.0066226624491013825,0.0028395268525379003,0.005376298488145825,1.2318256628986763
robust_real_derived_cpi_nonfood,MAIDADS_sat,mutton,羊肉,0.007807371037926605,0.005105393550291099,0.005959933828376933,1.3099761277136166
robust_real_derived_cpi_nonfood,MAIDADS_sat,poultry,禽肉,0.010656671600100072,0.008215879402415652,0.017006827581773458,0.6266113741001896
robust_real_derived_cpi_nonfood,MAIDADS_sat,aquatic,水产品,0.006650282511355937,0.005016788464295541,0.012086946516067662,0.5502036848194414
robust_real_derived_cpi_nonfood,MAIDADS_sat,egg,蛋类,0.006681183715134939,0.00531835169275072,0.019618095147095598,0.3405623056183449
robust_real_derived_cpi_nonfood,MAIDADS_sat,milk,奶类,0.0038086227937453613,0.0031090492875247653,0.01000442393094712,0.38069386303832875
robust_real_derived_cpi_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,3.5981385047626815,2.7187118544717226,187.40895904594552,0.01919939432500959
