variant,model,group,group_label_cn,rmse_x,mae_x,mean_x,relative_rmse
baseline_real_national_nonfood,AIDADS_sat,grain,粮食/主粮,0.07852944840177872,0.05398623194325615,0.4162108514051832,0.18867708070717729
baseline_real_national_nonfood,AIDADS_sat,oil,食用油,0.03150944208488391,0.02536927532069967,0.1280012295893504,0.2461651515846491
baseline_real_national_nonfood,AIDADS_sat,vegetable,蔬菜,0.005226744696194371,0.003835717474387673,0.02945389632785241,0.17745511962204535
baseline_real_national_nonfood,AIDADS_sat,fruit,水果,0.006108024471463823,0.00498778203490109,0.021818264277288748,0.27995006357228147
baseline_real_national_nonfood,AIDADS_sat,pork,猪肉,0.04262827601948223,0.03566042332203172,0.10369770792339729,0.4110821432135437
baseline_real_national_nonfood,AIDADS_sat,beef,牛肉,0.0067261328776896286,0.0029115309770365258,0.005376298488145825,1.2510713258425006
baseline_real_national_nonfood,AIDADS_sat,mutton,羊肉,0.007818092729624162,0.0049804723930343036,0.005959933828376933,1.311775089246798
baseline_real_national_nonfood,AIDADS_sat,poultry,禽肉,0.01062937821148004,0.008198510563188467,0.017006827581773458,0.6250065251953132
baseline_real_national_nonfood,AIDADS_sat,aquatic,水产品,0.006480892689303279,0.004817853106374956,0.012086946516067662,0.536189407365042
baseline_real_national_nonfood,AIDADS_sat,egg,蛋类,0.007001456250463872,0.005590105656757721,0.019618095147095598,0.3568876691629471
baseline_real_national_nonfood,AIDADS_sat,milk,奶类,0.00375205355028266,0.0030678556094928776,0.01000442393094712,0.3750394401696903
baseline_real_national_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,3.664045665438679,2.8121181933603263,188.9050588369303,0.019396228391117976
baseline_real_national_nonfood,MAIDADS_sat,grain,粮食/主粮,0.0679492460037291,0.049251033380068004,0.4162108514051832,0.16325678625226472
baseline_real_national_nonfood,MAIDADS_sat,oil,食用油,0.031940454984789986,0.025131283870427526,0.1280012295893504,0.24953240751874314
baseline_real_national_nonfood,MAIDADS_sat,vegetable,蔬菜,0.004998766572293086,0.0037593724453891314,0.02945389632785241,0.1697149510085739
baseline_real_national_nonfood,MAIDADS_sat,fruit,水果,0.0059951770821981025,0.0049510218456307155,0.021818264277288748,0.2747779111117768
baseline_real_national_nonfood,MAIDADS_sat,pork,猪肉,0.04197582021879924,0.034423978075853866,0.10369770792339729,0.4047902413600816
baseline_real_national_nonfood,MAIDADS_sat,beef,牛肉,0.006665887391591437,0.002645587532764673,0.005376298488145825,1.239865570389929
baseline_real_national_nonfood,MAIDADS_sat,mutton,羊肉,0.007801171277005992,0.005060302531430524,0.005959933828376933,1.3089358878218422
baseline_real_national_nonfood,MAIDADS_sat,poultry,禽肉,0.010612266592306659,0.007987504157409342,0.017006827581773458,0.6240003634587339
baseline_real_national_nonfood,MAIDADS_sat,aquatic,水产品,0.006624593722217542,0.004963035108552601,0.012086946516067662,0.5480783515845962
baseline_real_national_nonfood,MAIDADS_sat,egg,蛋类,0.007137282964289427,0.005831114213691463,0.019618095147095598,0.3638112115765776
baseline_real_national_nonfood,MAIDADS_sat,milk,奶类,0.00378215079559556,0.003084292121606909,0.01000442393094712,0.37804783380840834
baseline_real_national_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,3.5703711849254667,2.6941168586278255,188.9050588369303,0.01890034712097118
