outcome,rf_b,rf_se,rf_p,ols_b,ols_se,ols_p,iv_b,iv_se,iv_p,kp_F,ar_lo,ar_hi,ar_unbounded,n,mean_y
fgds10,-0.0073382854176681,0.099248145108987,0.941101107730473,-0.0012908074836015,0.028448707009586,0.963835610476888,0.138823562020505,0.182788192450185,0.448075140252553,9.68664940123526,-0.24,0.69,FALSE,8386,2.65522475189726
fvs,-0.177773233683964,0.216148279065037,0.411372138019736,0.0270235853256259,0.0589649439555713,0.64702032294808,0.446625560908832,0.411392373358666,0.278379564732367,9.68664940123526,-0.390000000000001,1.71,FALSE,8386,3.92516053706947
hdds12,-0.0897283276882032,0.152512684528392,0.556685730051473,-0.00317183431785858,0.0436615999191753,0.94212919531222,0.332067686663746,0.304161881329314,0.275691200529728,9.68664940123526,-0.24,1.35,FALSE,8386,4.69503794512551
