subgroup,outcome,rf_b,rf_se,rf_p,iv_b,iv_se,kp_F,n,mean_y
"women 15-49 (MDD-W>=5, LPM)",mddw,0.0605280615454839,0.0470618595757062,0.199357660485556,-0.043966652067856,0.0976101936443467,10.8148683070729,965,0.137474541751528
women 15-49,fgds10,0.0282992663884225,0.2253443942682,0.900144244150775,0.281829415863783,0.433295374345192,10.8148683070729,965,2.80957230142566
"children 6-59m (CDDS-8, CAUTION n~100)",cdds8,0.643268564944393,0.89045038693497,0.472716785598752,1.28316955881444,1.45589685889865,2.00800964543782,85,2.24752475247525
children 6-59m (CDDS-7),cdds7,0.643268564944393,0.89045038693497,0.472716785598752,1.28316955881444,1.45589685889865,2.00800964543782,85,2.24752475247525
elderly 60+ (P2 crossref),fgds10,0.211006851655748,0.178295153232231,0.237459811007083,0.0201682750045677,0.283155082665605,8.20937426175277,1647,2.56387403446227
non-elderly adults,fgds10,-0.0289074088639256,0.108941008293009,0.790895799202823,0.0464751227015731,0.186838354139779,9.86962311651328,6130,2.72831816003833
all (DBI-16 variety subscore),dbi_variety,0.021589712690165,0.0435803230075562,0.620626579919932,0.0023894522352154,0.0661326698820331,10.3995778581494,8386,-11.7935785172212
