spec,term,b,se,p,n
"RF fgds10, detour_town_1km",detour_town_1km,-0.080118941547544,0.0851474707598137,0.347379196974581,8386
"RF fgds10, detour_town_2km",detour_town_2km,-0.0437409330198953,0.0867035521033674,0.614233886914156,8386
"RF fgds10, detour_town_5km",detour_town_5km,-0.0254310908199522,0.0892170679552782,0.775775486792631,8386
RF fgds10 + slope/TRI controls,detour_town_5km,0.022252125825083,0.118285650600979,0.850889466082681,8386
"RF fgds10, detour_county_5km",detour_county_5km,-0.0216289200902696,0.113810090425134,0.849384230894,8386
Poisson fgds10,detour_town_5km,-0.00838376757154717,0.0330524381191626,0.799765576065735,8386
Poisson fvs,detour_town_5km,-0.0543473938346484,0.0506298942188471,0.283080475866323,8386
"RF fgds10, drop <5km from county seat",detour_town_5km,-0.0322043256894303,0.0932682611790126,0.730104005662328,7671
"RF fgds10, 2023 only",detour_town_5km,-0.164250833351435,0.184692904302437,0.375045795527863,3923
"RF fgds10, 2024 only",detour_town_5km,-0.0138046678965709,0.114973346194198,0.904566683362555,4463
"RF fgds10, county cluster",detour_town_5km,-0.0254310908199522,0.0992937439184125,0.798734453007105,8386
"RF fgds10, WCB-county p (B=999)",detour_town_5km,,,0.814,
BH-FDR fgds10,detour_town_5km,,,0.775775486792631,
BH-FDR fvs,detour_town_5km,,,0.775775486792631,
BH-FDR hdds12,detour_town_5km,,,0.775775486792631,
