term,est,se,t,p,n
detour_town_1km,-0.528236826130726,0.16972346293579,-3.11233825302381,0.00200797726603941,8386
ln_dist_town,0.220023556541562,0.074157365234277,2.96698184794547,0.00321299021613102,8386
ln_dist_county,-0.195490325390171,0.037579286492489,-5.2020765596293,3.35283830775199e-07,8386
ln_vpop,0.130018906817309,0.0667839377184332,1.94685894931024,0.0523467432250569,8386
elevation_mean_z,-0.167084876846534,0.0665302796461016,-2.51141101067542,0.0124721391914508,8386
water_occ_z,0.00766094483762454,0.0581671070373211,0.131705790915631,0.895292251687662,8386
gaez_si,-0.131680528874487,0.0920341169508215,-1.43077951130721,0.15338054835952,8386
ln_income,-0.00113820222388295,0.00917119140055755,-0.124106255574795,0.90130198353908,8386
hh_size_rec,0.00455372958945965,0.00971064095778496,0.468942226291351,0.639401231112869,8386
dep_ratio,0.0744419847188006,0.0423110150307439,1.75939964249758,0.0793783561674487,8386
hb_fridge,0.0422531351325523,0.0372940303779165,1.1329731515844,0.257996639582288,8386
hb_vehicle,0.0141474269930765,0.0314330701937273,0.450080978596223,0.652929108031973,8386
ln_sown,-0.0709480572266454,0.0176599944965333,-4.01744503604306,7.19653007475801e-05,8386
female_i,0.00632669970948777,0.00765756116677327,0.826202960929622,0.409248615691873,8386
age_yrs_i,-0.00118242778999347,0.00133868903206443,-0.88327293469344,0.377691661360034,8386
I(I(age_yrs_i^2)),1.00642625846377e-05,1.7322418560223e-05,0.580996386252208,0.561614695361227,8386
age_miss,0.0358427126030056,0.0298004103179347,1.20275902984579,0.229877972510056,8386
