cat,lab,perishable,margin,b,se,p,n,mean_y
zhushi,Staples,0,buy_any,0.0154980269473778,0.0105462187083004,0.142581187021847,3427,0.998010798522307
zhushi,Staples,0,ln_buy,0.203626561953493,0.182828040910094,0.266142089313044,3427,2.72394571177657
zhushi,Staples,0,ssr,-0.09189747934743,0.0385783621562538,0.0177448496986039,3427,0.334131565481069
doulei,Beans,0,buy_any,-0.00956587641036226,0.00836568603292455,0.253622275126959,3443,0.986142533936652
doulei,Beans,0,ln_buy,-0.129824240968848,0.151632364970155,0.392481975233833,3443,1.13181850584424
doulei,Beans,0,ssr,0.0196085174856711,0.0233572983654509,0.401757007658668,3443,0.104807241094979
roulei,Meat,1,buy_any,0.0290284075928296,0.0125778131263044,0.0215836822001581,3458,0.971275696986764
roulei,Meat,1,ln_buy,-0.0291214654367191,0.161709405506971,0.857189334218869,3458,1.89481121436884
roulei,Meat,1,ssr,-0.00950970804695202,0.0264922308996364,0.719838622673718,3458,0.137063096573891
danlei,Eggs,1,buy_any,0.0182561751721373,0.0474030482948278,0.700376222551558,3444,0.823662609680159
danlei,Eggs,1,ln_buy,-0.101191651425096,0.131855379397157,0.443331898202735,3444,0.856573191560426
danlei,Eggs,1,ssr,0.0564453228381124,0.0448416885498572,0.208947999088911,3444,0.294408267536784
nailei,Dairy,1,buy_any,0.000707099970037565,0.0016268267267181,0.664082948465539,3093,0.999055118110236
nailei,Dairy,1,ln_buy,-0.0380412514138909,0.147974838654426,0.797267848034504,3093,1.27190802912392
nailei,Dairy,1,ssr,-0.000462585335778842,0.00169657472877944,0.785275701539484,3093,0.001214848143982
youzhi,Oils,0,buy_any,-0.00463240378442677,0.0400584207486014,0.908002851815655,3392,0.784443168771527
youzhi,Oils,0,ln_buy,-0.071113472110364,0.140596513315022,0.613314871142017,3392,1.05759899682711
youzhi,Oils,0,ssr,0.00483170761384902,0.0477421524302913,0.919445962703786,3392,0.271708274344715
shucai,Vegetables,1,buy_any,0.00444448092557404,0.0121932752726891,0.715701582089392,3349,0.977622784074397
shucai,Vegetables,1,ln_buy,0.189210737122551,0.154097338384342,0.220318058119716,3349,1.9832387521211
shucai,Vegetables,1,ssr,-0.041397344221592,0.0405250366184471,0.307707242491275,3349,0.535253682958232
shuiguo,Fruit,1,buy_any,0.0151890895609478,0.0110194461615618,0.168958482376126,3458,0.980845070422535
shuiguo,Fruit,1,ln_buy,0.0744976793442819,0.177033917943453,0.674150480955616,3458,2.43253675480894
shuiguo,Fruit,1,ssr,-0.0199931037750636,0.0239451843597004,0.404310491435194,3458,0.0939589214236622
tiaoliao,Condiments,0,buy_any,0.00191014933380359,0.00178684375342817,0.28579882601172,3305,0.999705188679245
tiaoliao,Condiments,0,ln_buy,0.0225190033645524,0.139667053740476,0.872002021442603,3305,1.05387002067952
tiaoliao,Condiments,0,ssr,-2.08974425181335e-05,0.00226666274457812,0.992649249585907,3305,0.00201069345452669
