treatment,iv,b_vill,F_vill_hc1,F_vill_countycl,b_pers,se_pers,F_pers_villcl,n_pers
access_dist,detour_county_1km,0.0294135155316092,0.0262738886823242,0.0369896151084813,0.0256404141989676,0.159045348631613,0.0259901106353787,8386
access_dist,detour_county_2km,0.00761269155696251,0.00162397480064305,0.00182636814190689,-0.0145758149103281,0.165649990483092,0.00774252932791484,8386
access_dist,detour_county_5km,0.0110916817767592,0.002822816813166,0.00257879107652859,-0.0181153588597431,0.184349049816665,0.00965632949539695,8386
access_dist,detour_town_1km,-0.166338742873807,1.26870636975972,1.61390362970296,-0.160945378867357,0.130451546639007,1.5221538768461,8386
access_dist,detour_town_2km,-0.137436934375242,0.909407630661899,0.974024647600153,-0.142072588677439,0.126561311459311,1.26013958563957,8386
access_dist,detour_town_5km,-0.164178988683805,1.17992705755293,0.979038617074522,-0.166051525598897,0.132264958519693,1.57614489593226,8386
retail_lnfresh,detour_county_1km,-0.390595711193354,1.44243657140359,0.990827801538364,-0.364746162041202,0.299708182857648,1.48109958607417,8386
retail_lnfresh,detour_county_2km,-0.506563013959137,2.12224566814154,1.36664550383266,-0.464042185218596,0.31928843711369,2.1122656884096,8386
retail_lnfresh,detour_county_5km,-0.915635425927178,5.06417476926031,4.33864912398352,-0.846448045610925,0.377267173696278,5.03387672695114,8386
retail_lnfresh,detour_town_1km,-0.50103219697566,4.53758595638903,3.10039043857778,-0.532727935064577,0.20978412771548,6.44860371225025,8386
retail_lnfresh,detour_town_2km,-0.571800522736276,4.78705585183885,3.81519567118294,-0.595025112375154,0.23192736978235,6.58213195327688,8386
retail_lnfresh,detour_town_5km,-0.754221506830744,6.96374766004482,7.40818253114776,-0.761158779223101,0.251184825743471,9.18255888833182,8386
retail_pc1,detour_county_1km,-0.492599806825073,3.06612916877353,2.89599865362899,-0.440554611683057,0.262666464325033,2.81313288174002,8386
retail_pc1,detour_county_2km,-0.508896956331306,2.87038704391291,2.6070599251416,-0.46697125901141,0.280656446331577,2.76840904434325,8386
retail_pc1,detour_county_5km,-0.642305321709332,3.39696846928891,3.40524198089938,-0.610580448068616,0.328056180469571,3.46409136732875,8386
retail_pc1,detour_town_1km,-0.51331064086278,7.8658530933781,6.21774043248517,-0.533833477823036,0.165538094017809,10.3995778581494,8386
retail_pc1,detour_town_2km,-0.465502408224461,5.69971808305364,5.22613801239395,-0.505199645138048,0.175942024307222,8.24492870785867,8386
retail_pc1,detour_town_5km,-0.409682328065044,3.79175050840071,4.38483171660527,-0.458521557846711,0.189865295260102,5.83214537067411,8386
