test,term,b,se,p,n
placebo: adult education yrs (hh),detour_town_5km,-0.0334920858496888,0.106050769245851,0.752332517391299,3470
bypass: ln income (hh RF),detour_town_5km,-0.157129167232975,0.218760108239021,0.473066320509677,3472
bypass: off-farm days (hh RF),detour_town_5km,-64.9965107929046,63.7926637610326,0.308963856469068,3472
main RF w/o income controls,detour_town_5km,-0.0206583658959677,0.0999539363621166,0.83638016505154,8386
main RF with income (baseline),detour_town_5km,-0.0073382854176681,0.099248145108987,0.941101107730473,8386
main RF + food self-suff rate,detour_town_5km,-0.0170231384664739,0.0993509485815348,0.864052139568869,8386
overid 2SLS (detour_town_1km+detour_county_1km),retail_pc1,0.150338420256633,0.183327617299829,0.412740657560784,8386
  Sargan J p (2 IVs),J,0.733961725557135,,0.391602045434357,8386
overid 2SLS (detour_town_1km+detour_county_1km+ntl_iv),retail_pc1,0.0686618788722611,0.116940510126723,0.557477894657003,8386
  Sargan J p (3 IVs),J,1.36049074653198,,0.506492697349527,8386
