treatment,iv,b_village,se_village,t_village,n_village,F_village,b_person,se_person,F_person,n_person
retail_pc1,detour_county_1km,-0.125794030884014,0.406555989656947,-0.309413793141159,345,0.0957368953860001,0.0415421681423716,0.39071864191628,0.0113044660261736,5401
retail_pc1,detour_county_2km,-0.068533098496174,0.466661259640754,-0.146858341206494,345,0.021567372381923,0.106119321895462,0.441848121637413,0.0576823447915685,5401
retail_pc1,detour_county_5km,-0.149465096165974,0.535933654856922,-0.27888731153836,345,0.0777781325370941,0.035441450549027,0.551447831159156,0.00413060922695618,5401
retail_pc1,detour_town_1km,-0.319658648823139,0.229864296138265,-1.39064071364464,345,1.93388159444607,-0.30958579303939,0.175981754069745,3.09475847483811,5401
retail_pc1,detour_town_2km,-0.216505069289495,0.231316329161973,-0.935969674401557,345,0.876039231399356,-0.236563380464974,0.194047518672129,1.48620544392487,5401
retail_pc1,detour_town_5km,-0.0838349576127194,0.209445919856891,-0.400270187502348,345,0.160216223003165,-0.160484322056593,0.196971900816381,0.663829689307291,5401
retail_lnfresh,detour_county_1km,0.21878419856908,0.531178079456704,0.411884840565815,345,0.169649121887927,0.318143849308265,0.45093596919842,0.49775691934916,5401
retail_lnfresh,detour_county_2km,0.150495016230274,0.629648186626118,0.239014451922241,345,0.057127908227689,0.316996351432962,0.51090007230171,0.384978608937806,5401
retail_lnfresh,detour_county_5km,-0.435427160740278,0.687671176567836,-0.633190942964185,345,0.400930770251874,-0.178329364843364,0.667196641822272,0.0714394367950624,5401
retail_lnfresh,detour_town_1km,-0.225096446339288,0.302883241143444,-0.743178940800767,345,0.55231493804975,-0.276086633882535,0.213408416939321,1.67366168913244,5401
retail_lnfresh,detour_town_2km,-0.285005652075661,0.326191183960551,-0.873738059426306,345,0.763418196490046,-0.346113967935728,0.24835324603771,1.94222066685273,5401
retail_lnfresh,detour_town_5km,-0.518174008963662,0.279176178770314,-1.85608246106835,345,3.44504210228556,-0.619280202968329,0.242327624155591,6.53083249231746,5401
access_dist,detour_county_1km,0.208473592076477,0.180271109082735,1.15644482988563,345,1.3373646445692,0.199353955427001,0.17310690388775,1.32623637836724,5401
access_dist,detour_county_2km,0.226576306888647,0.209324770607557,1.08241516869226,345,1.17162259741509,0.168015227428796,0.194004648536557,0.750020296285412,5401
access_dist,detour_county_5km,0.31981056415462,0.281451064293667,1.13629189840593,345,1.29115927838295,0.191788041417178,0.251980190611897,0.579308962968843,5401
access_dist,detour_town_1km,-0.113470398624268,0.131587835373388,-0.862316781048106,345,0.743590230877167,-0.0353139601575327,0.161949478601762,0.0475481623735281,5401
access_dist,detour_town_2km,-0.0531076176278997,0.140401797245252,-0.378254542818509,345,0.14307649916284,0.0154883788132414,0.169147590212055,0.00838456033429916,5401
access_dist,detour_town_5km,-0.0674933945332069,0.170032490722961,-0.3969441031313,345,0.157564621010712,-0.0146536480382034,0.179376935232106,0.00667357142858924,5401
