cat,lab,perishable,b,se,p,n
zhushi,Staples,0,0.197396951107983,0.227783331465855,0.386779826564691,337
doulei,Beans,0,-0.0360624391670858,0.26460187636394,0.89170720758849,240
roulei,Meat,1,-0.101052201702153,0.226406503488767,0.655641582511842,342
danlei,Eggs,1,-0.659335467996628,0.399441157086392,0.102731905096265,81
nailei,Dairy,1,-0.47095961465756,0.575271689160379,0.415674226917333,73
youzhi,,,,,,21
shucai,Vegetables,1,-0.0194919151891226,0.267148268927549,0.941880240527741,328
shuiguo,Fruit,1,0.207892857425293,0.229197355502034,0.365026039354908,340
tiaoliao,Condiments,0,-0.559035950982057,0.532034966851678,0.298425362808054,51
tang,,,,,,0
cha,,,,,,0
yan,Tobacco,0,-0.203812373239601,0.401020669272066,0.611692231040505,279
