outcome,b,se,p,n
ln_food_spend,-0.10883908937014,0.124863945464167,0.383987219385685,3472
food_ssr_w,-0.0386793527706831,0.0237101460357,0.103712535281508,3472
fafh_any (person),-0.00703076462141857,0.00354316092759111,0.0479963867522208,8386
ln restaurants 5km (village),-0.0495202276833462,0.156784423813683,0.752332325096572,353
