outcome,corridor_km,late_b,late_se,kp_F,n
fgds10,1,0.138823562020505,0.182788192450185,9.68664940123526,8386
fvs,1,0.446625560908832,0.411392373358666,9.68664940123526,8386
hdds12,1,0.332067686663746,0.304161881329314,9.68664940123526,8386
fgds10,2,0.0621794931516537,0.201350589844042,6.89166153789134,8386
fvs,2,0.438671099653899,0.471635509085817,6.89166153789134,8386
hdds12,2,0.220315817347964,0.314595888297753,6.89166153789134,8386
fgds10,5,0.017597155781526,0.238502967536656,4.26190290921237,8386
fvs,5,0.426298938902174,0.560174470052949,4.26190290921237,8386
hdds12,5,0.215167886021138,0.379205388078662,4.26190290921237,8386
