outcome,b,se_village,p_village,se_county,p_county,se_conley50,p_conley50
fgds10,-0.0073382854176681,0.099248145108987,0.941101107730473,0.114919861102632,0.949411323490689,0.102480404338843,0.942916612845963
fvs,-0.177773233683964,0.216148279065037,0.411372138019736,0.237237549757839,0.458144454757695,0.230847248051032,0.441268151857143
hdds12,-0.0897283276882032,0.152512684528392,0.556685730051473,0.131245507776836,0.498227058349472,0.129978449918417,0.490004449358137
