demand_group,G01_主食,G02_食用油,G03_蔬菜,G04_水果,G05_猪肉,G06_禽类及其他肉类,G07_牛羊肉,G08_海鲜,G09_乳制品,G10_坚果
G01_主食,-0.324673900178884,-0.43880805623432,0.0968065426972184,0.144969939345903,-0.0842830699111214,0.0731004073757457,0.527286666355626,-0.233926061829785,-0.875140978985896,0.576681000259591
G02_食用油,-0.267631975071936,0.462118644031059,-0.201404326743992,0.00128746264801775,-0.107677901414759,-0.341950668136328,0.8115758597819,0.0952946251897844,0.23659415420378,-0.899682571108301
G03_蔬菜,0.0702194067165277,-0.400075450484024,-1.038683866531,-0.0308591536601968,0.155765079494455,0.234826974982278,-0.539368773757371,0.13540552673823,0.130006613430526,0.516150368908889
G04_水果,0.0561871907181791,-0.102738685357036,-0.0663110280155882,-1.06410672237373,-0.0544748324456314,-0.354714765896639,0.147461778341985,0.0407242043829421,-0.310762165959264,0.773744273223834
G05_猪肉,-0.0752766984412101,-0.215347879223563,0.105637384554876,-0.0117312272445265,-0.695260271753548,-0.0248067187518175,-0.1112294507513,0.0492608616800834,-0.159320986522176,0.206915860191
G06_禽类及其他肉类,0.0964202103897523,-0.595332337131205,0.354882373690225,-0.420956021323904,-0.00793576608258237,0.735725119967779,-0.430080200075459,-0.652095185333374,0.12311662754164,0.0210140473277035
G07_牛羊肉,0.370212873803777,0.65158956471104,-0.364133829922378,0.162727023515549,-0.089168183701851,-0.288376965563215,-1.26757261759528,-0.00511848751778327,-0.028197625253088,-0.0745894653877957
G08_海鲜,-0.198761575549403,0.0328364190678575,0.142839161855301,0.125263159343966,0.0994161963560266,-0.497008990831864,0.00756121172912393,-0.382081657066619,0.0274078223507353,-0.162417402501532
G09_乳制品,-0.504655216060908,0.0961900057801499,0.119019788097285,-0.178497598117791,-0.0842682280437508,0.0656963160384771,-0.00206024002099104,0.0583843817175917,0.182513485252258,-0.365330737540343
G10_坚果,0.434651113784548,-0.639584065407158,-0.275255314529715,0.799377952972051,-0.588502961400793,0.160186454350793,0.170569429627179,-1.21961954603106,-2.19639532546618,-3.66506321632125
