food_group10,nobs,positive_rate,mean_predicted_probability,brier,pseudo_r2_mcfadden
G01_主食,584835,0.591683124300016,0.591756761195251,0.22632490941561,0.0471180445621245
G02_食用油,584835,0.334299417784503,0.334022702049878,0.201210857521084,0.0814825637487438
G03_蔬菜,584835,0.830384638402284,0.830491673154309,0.117388342476836,0.163292552664675
G04_水果,584835,0.832294578812828,0.832228809186301,0.118484588191923,0.146183402536011
G05_猪肉,584835,0.623543392580813,0.623060253031977,0.194610335649953,0.136503429181027
G06_禽类及其他肉类,584835,0.432229603221421,0.432608699611836,0.211060820512713,0.110040834963713
G07_牛羊肉,584835,0.344025237887609,0.343943751170103,0.187839326405915,0.142097665589765
G08_海鲜,584835,0.532442483777476,0.532440935257303,0.197358388237298,0.165472400879172
G09_乳制品,584835,0.708037309668539,0.708110876616208,0.193265976510419,0.0523621531196706
G10_坚果,584835,0.257392255935435,0.257576850811528,0.180967199526581,0.044459806443846
