demand_group,G01_主食,G02_食用油,G03_蔬菜,G04_水果,G05_猪肉,G06_禽类及其他肉类,G07_牛羊肉,G08_海鲜,G09_乳制品,G10_坚果
G01_主食,-0.301100861972598,-0.417985372899981,0.163294299891633,0.228366373574014,-0.0161519215646171,0.103895893196758,0.559144039342962,-0.182259031607025,-0.763922486062343,0.62009590061713
G02_食用油,-0.265977598174688,0.461805213621399,-0.166063916567867,0.019182872277058,-0.0784151945260913,-0.319406652166609,0.822338635581274,0.114816124428976,0.262702981299619,-0.868766615902938
G03_蔬菜,0.144307161659827,-0.330435626424401,-0.948042156967093,0.0970412378154484,0.245082451064291,0.276483268719076,-0.483130638828277,0.203520857634167,0.272869179142994,0.52443035600271
G04_水果,0.1407139381897,-0.0412863486592471,0.0479854019355608,-0.91083153831305,0.0645201957020629,-0.298951586875239,0.211902207754624,0.12180770710214,-0.140589914257534,0.808674911665336
G05_猪肉,0.0137926421868796,-0.140445646643436,0.212964187031386,0.146037351340526,-0.58936668873697,0.025150130083839,-0.0463003870714533,0.128779621858205,0.0126453195867935,0.236545745872564
G06_禽类及其他肉类,0.168398605675701,-0.519678870046096,0.444348686096836,-0.290226193212951,0.080044751192675,0.775538221938971,-0.361403180033344,-0.59387913236277,0.255707926725204,0.0245546092340105
G07_牛羊肉,0.454499809047891,0.718443564765095,-0.249618363738325,0.311309830077009,0.0229974185359513,-0.226037177868495,-1.19785207062666,0.0661773698894618,0.135919046809803,-0.0289428500136067
G08_海鲜,-0.118057463744502,0.0971697378190662,0.24223587898632,0.258759794904497,0.197354343358559,-0.456873566578068,0.0555178599790403,-0.311058651007755,0.18454126563495,-0.154501958505258
G09_乳制品,-0.44073289881723,0.133521460103623,0.192590623807388,-0.0809890732251733,-0.00927624851903545,0.0973078597401016,0.0356353110749475,0.116513874217844,0.278766122993296,-0.335543848639421
G10_坚果,1.09710514505542,-0.0608041959488219,0.584527922924676,1.97542981296713,0.294867847393502,0.596686832750401,0.699380723773461,-0.608220869971319,-0.887606178525928,-3.43841197309174
